CAMMENU_0EV,0EV
CAMMENU_100,100
CAMMENU_10M,1.0 m
CAMMENU_1600,1600
CAMMENU_200,200
CAMMENU_30M,3.0 m
CAMMENU_3200,3200
CAMMENU_400,400
CAMMENU_70M,7.0 m
CAMMENU_80,80
CAMMENU_800,800
CAMMENU_BRK_03EV,BRK±0,3EV
CAMMENU_BRK_07EV,BRK±0,7EV
CAMMENU_BRK_10EV,BRK±1,0EV
CAMMENU_BURST,Serieoptagelse
CAMMENU_BURST_BRK03EV_GUIDE,Tag 3 billeder med
CAMMENU_BURST_BRK03EV_GUIDE_2,et interval på 0,3 EV
CAMMENU_BURST_BRK07EV_GUIDE,Tag 3 billeder med
CAMMENU_BURST_BRK07EV_GUIDE_2,et interval på 0,7 EV
CAMMENU_BURST_BRK10EV_GUIDE,Tag 3 billeder med
CAMMENU_BURST_BRK10EV_GUIDE_2,et interval på 1,0 EV
CAMMENU_BURST_OFF_GUIDE,Fotografer én gang for hvert
CAMMENU_BURST_OFF_GUIDE_2,tryk på udløserknappen
CAMMENU_BURST_ON_GUIDE,Optag kontinuerligt, når
CAMMENU_BURST_ON_GUIDE_2,udløserknappen holdes nede
CAMMENU_CENTER,Center
CAMMENU_CENTERAF,Center-AF
CAMMENU_CLOSEEYE,Reduktion af lukkede øjne
CAMMENU_CLOSEEYE_AUTO_GUIDE,Analyserer øjne for at undgå
CAMMENU_CLOSEEYE_AUTO_GUIDE_2,lukkede øjne
CAMMENU_CLOSEEYE_OFF_GUIDE,Slå Reduktion af lukkede
CAMMENU_CLOSEEYE_OFF_GUIDE_2,øjne fra
CAMMENU_COLOR,Farvetilstand
CAMMENU_COLOR_BW,S-H
CAMMENU_COLOR_BW_GUIDE,Gør billederne sort-hvide
CAMMENU_COLOR_BW_GUIDE_2,
CAMMENU_COLOR_NORMAL_GUIDE,Fotografer i
CAMMENU_COLOR_NORMAL_GUIDE_2,standard farvetilstand
CAMMENU_COLOR_SEPIA,Sepia
CAMMENU_COLOR_SEPIA_GUIDE,Simulerer farver
CAMMENU_COLOR_SEPIA_GUIDE_2,på gamle billeder
CAMMENU_COLOR_VIVID,Levende
CAMMENU_COLOR_VIVID_GUIDE,Indstiller billedet til dybe
CAMMENU_COLOR_VIVID_GUIDE_2,og levende farver
CAMMENU_CONTINUOUS,Fortsat
CAMMENU_DRO,DRO
CAMMENU_DRO_ADV,Avanceret
CAMMENU_DRO_ADV_GUIDE,Gendan detaljerede skygger
CAMMENU_DRO_ADV_GUIDE_2,uden at miste lyse områder
CAMMENU_DRO_OFF_GUIDE,Ingen gengivelse af
CAMMENU_DRO_OFF_GUIDE_2,skyggedetaljer
CAMMENU_DRO_PLUS,DRO plus
CAMMENU_DRO_STANDARD_GUIDE,Gendan tabte billeddetaljer i
CAMMENU_DRO_STANDARD_GUIDE_2,skyggeområdet
CAMMENU_DRO_STD,DRO standard
CAMMENU_EV,EV
CAMMENU_EV2,EV
CAMMENU_EV_GUIDE,Juster billedets lysstyrke (+)
CAMMENU_EV_GUIDE2,Juster billedets lysstyrke (+)
CAMMENU_EV_GUIDE2_2,og mørke (－)
CAMMENU_EV_GUIDE_2,og mørke (－)
CAMMENU_FACE,Registrering af ansigter
CAMMENU_FACE_ADULT,Prioriter voksne
CAMMENU_FACE_ADULT_GUIDE,Fokuser med prioritet på
CAMMENU_FACE_ADULT_GUIDE_2,voksnes ansigter
CAMMENU_FACE_CHILD,Prioriter børn
CAMMENU_FACE_CHILD_GUIDE,Fokuser med prioritet på
CAMMENU_FACE_CHILD_GUIDE_2,børns ansigter
CAMMENU_FACE_ON_GUIDE,Indstil prioritet til fokusering
CAMMENU_FACE_ON_GUIDE_2,på personers ansigter
CAMMENU_FACE_TOUCH_GUIDE,Aktiver kun ansigtsregistr. ,
CAMMENU_FACE_TOUCH_GUIDE_2,når et ansigt berøres
CAMMENU_FLASHLEVEL,Blitzniveau
CAMMENU_FLASHLEVEL_DOWN_GUIDE,Optag med lavere
CAMMENU_FLASHLEVEL_DOWN_GUIDE_2,intensitet for blitz
CAMMENU_FLASHLEVEL_NORMAL_GUIDE,Optag med standard-
CAMMENU_FLASHLEVEL_NORMAL_GUIDE_2,intensitet for blitz
CAMMENU_FLASHLEVEL_UP_GUIDE,Optag med højere
CAMMENU_FLASHLEVEL_UP_GUIDE_2,intensitet for blitz
CAMMENU_FLASH_SYNCHRO,Langsom synkro
CAMMENU_FOCUS,Fokus
CAMMENU_FOUCS_10M_GUIDE,Indstil fokusering
CAMMENU_FOUCS_10M_GUIDE_2,ca. 1,0 m væk
CAMMENU_FOUCS_30M_GUIDE,Indstil fokusering
CAMMENU_FOUCS_30M_GUIDE_2,ca. 3,0 m væk
CAMMENU_FOUCS_70M_GUIDE,Indstil fokusering
CAMMENU_FOUCS_70M_GUIDE_2,ca. 7,0 m væk
CAMMENU_FOUCS_CENTER_GUIDE,Automatisk fokusering
CAMMENU_FOUCS_CENTER_GUIDE_2,på et motiv i midten
CAMMENU_FOUCS_INFINITY_GUIDE,Indstil fokusering
CAMMENU_FOUCS_INFINITY_GUIDE_2,til uendelig afstand
CAMMENU_FOUCS_MANUAL_GUIDE,Indstil fokusering manuelt
CAMMENU_FOUCS_MANUAL_GUIDE_2,
CAMMENU_FOUCS_MULTI_GUIDE,Automatisk fokusering
CAMMENU_FOUCS_MULTI_GUIDE_2,i hele billedet
CAMMENU_FOUCS_SPOT_GUIDE,Automatisk fokusering
CAMMENU_FOUCS_SPOT_GUIDE_2,på et punkt i midten
CAMMENU_FOUCS_TSPOT_GUIDE,Autofokusering ved at berøre
CAMMENU_FOUCS_TSPOT_GUIDE_2,ethvert punkt på skærmen
CAMMENU_IMAGESIZE,Billedformat
CAMMENU_IMAGESIZE_L,Stort
CAMMENU_IMAGESIZE_S,Lille
CAMMENU_INFINITY,∞
CAMMENU_ISO,ISO
CAMMENU_ISO_100_GUIDE,Indstil følsomhed til
CAMMENU_ISO_100_GUIDE_2,ISO 100
CAMMENU_ISO_1600_GUIDE,Indstil følsomhed til
CAMMENU_ISO_1600_GUIDE_2,ISO 1600
CAMMENU_ISO_200_GUIDE,Indstil følsomhed til
CAMMENU_ISO_200_GUIDE_2,ISO 200
CAMMENU_ISO_3200_GUIDE,Indstil følsomhed til
CAMMENU_ISO_3200_GUIDE_2,ISO 3200
CAMMENU_ISO_400_GUIDE,Indstil følsomhed til
CAMMENU_ISO_400_GUIDE_2,ISO 400
CAMMENU_ISO_64_GUIDE,Indstil følsomhed til
CAMMENU_ISO_64_GUIDE_2,ISO 64
CAMMENU_ISO_800_GUIDE,Indstil følsomhed til
CAMMENU_ISO_800_GUIDE_2,ISO 800
CAMMENU_ISO_80_GUIDE,Indstil følsomhed til
CAMMENU_ISO_80_GUIDE_2,ISO 80
CAMMENU_ISO_AUTO_GUIDE,Juster automatisk følsomhed
CAMMENU_ISO_AUTO_GUIDE_2,
CAMMENU_M03EV,-0.3EV
CAMMENU_M07EV,-0.7EV
CAMMENU_M10EV,-1.0EV
CAMMENU_M13EV,-1.3EV
CAMMENU_M17EV,-1.7EV
CAMMENU_M20EV,-2.0EV
CAMMENU_MACRO,Makro
CAMMENU_MENU,Menu
CAMMENU_METERINGMODE,Lysmålermetode
CAMMENU_METERING_CENTER_GUIDE,Eksponering baseret på
CAMMENU_METERING_CENTER_GUIDE_2,centreret lysstyrke
CAMMENU_METERING_MULTI_GUIDE,Eksponering afbalanceret
CAMMENU_METERING_MULTI_GUIDE_2,i hele billedet
CAMMENU_METERING_SPOT_GUIDE,Eksponering baseret på
CAMMENU_METERING_SPOT_GUIDE_2,lysstyrken i et centralt punkt
CAMMENU_MINUS,－
CAMMENU_MULTI,Multi
CAMMENU_MULTIAF,Multi-AF
CAMMENU_NORMAL_CAP,Normal
CAMMENU_P03EV,+0.3EV
CAMMENU_P07EV,+0.7EV
CAMMENU_P10EV,+1.0EV
CAMMENU_P13EV,+1.3EV
CAMMENU_P17EV,+1.7EV
CAMMENU_P20EV,+2.0EV
CAMMENU_PLUS,＋
CAMMENU_RECMODE,Opt. funkt.
CAMMENU_RECOGNITION,Scenegenkendelse
CAMMENU_RECOGNITION_ADV_GUIDE,Optag automatisk et ekstra
CAMMENU_RECOGNITION_ADV_GUIDE2,Optag automatisk et ekstra
CAMMENU_RECOGNITION_ADV_GUIDE2_2,bill. i tusmørke eller modlys
CAMMENU_RECOGNITION_ADV_GUIDE_2,bill. i tusmørke eller modlys
CAMMENU_RECOGNITION_AUTO2_GUIDE,Optag med optimale
CAMMENU_RECOGNITION_AUTO2_GUIDE_2,indstillinger for scenen
CAMMENU_RECOGNITION_AUTO_GUIDE,Optag med optimale indstill.
CAMMENU_RECOGNITION_AUTO_GUIDE_2,i tusmørke eller modlys
CAMMENU_RECOGNITION_OFF_GUIDE,Slå scenegenkendelse fra
CAMMENU_RECOGNITION_OFF_GUIDE_2,
CAMMENU_REDEYEREDUCTION,Rødøjereduktion
CAMMENU_REDEYE_FACE_GUIDE,Auto rødøjereduktion,
CAMMENU_REDEYE_FACE_GUIDE_2,når ansigter registreres
CAMMENU_REDEYE_OFF_GUIDE,Rødøjereduktion fra
CAMMENU_REDEYE_OFF_GUIDE_2,
CAMMENU_REDEYE_ON_GUIDE,Forberedende blitz mod
CAMMENU_REDEYE_ON_GUIDE_2,røde øjne ved brug af blitz
CAMMENU_REMAIN_NUMBER,Gn. bill. kapacitet
CAMMENU_REMAIN_TIME,Ca. tid tilbage
CAMMENU_SATURATION_DOWN_GUIDE,Tag billeder med mindre
CAMMENU_SATURATION_DOWN_GUIDE_2,farvemætning
CAMMENU_SATURATION_NORMAL_GUIDE,Angiv farvemætning til
CAMMENU_SATURATION_NORMAL_GUIDE_2,normal
CAMMENU_SATURATION_UP_GUIDE,Tag billeder med mere
CAMMENU_SATURATION_UP_GUIDE_2,farvemætning
CAMMENU_SELFTIMER,Selvudløser
CAMMENU_SELFTIMER_10SEC,Selvudløser 10sek
CAMMENU_SELFTIMER_2SEC,Selvudløser 2sek
CAMMENU_SELFTIMER_OFF,Selvudløser fra
CAMMENU_SETUP,Opsætning
CAMMENU_SETUP_CHANGE_GUIDE,Gå til display for
CAMMENU_SETUP_CHANGE_GUIDE_2,optageindstillinger
CAMMENU_SHOOTING,Fotografer
CAMMENU_SIZE_10MEG,10M
CAMMENU_SIZE_12M_GUIDE,Til udskrifter op til A3+
CAMMENU_SIZE_12M_GUIDE_2,
CAMMENU_SIZE_16_9,16:9
CAMMENU_SIZE_16_9_2MEG_GUIDE,Til visning på HDTV'er
CAMMENU_SIZE_16_9_2MEG_GUIDE_2,
CAMMENU_SIZE_16_9_A3_GUIDE,Til visning på HDTV'er og
CAMMENU_SIZE_16_9_A3_GUIDE_2,udskrifter op til A3
CAMMENU_SIZE_16_9_A4_GUIDE,Til visning på HDTV'er og
CAMMENU_SIZE_16_9_A4_GUIDE_2,udskrifter op til A4
CAMMENU_SIZE_16_9_GUIDE,Fotografer i højde-bredde-
CAMMENU_SIZE_16_9_GUIDE_2,forholdet i HDTV
CAMMENU_SIZE_320,320
CAMMENU_SIZE_320_GUIDE,Optag i lille størrelse
CAMMENU_SIZE_320_GUIDE_2,til vedhæftning i e-mails
CAMMENU_SIZE_3MEG,3M
CAMMENU_SIZE_3M_GUIDE,Til udskrifter op til 10x15 cm
CAMMENU_SIZE_3M_GUIDE_2,eller 13x18 cm
CAMMENU_SIZE_3_2_8MEG,3:2(8M)
CAMMENU_SIZE_3_2_GUIDE,Fotografer i højde-bredde-
CAMMENU_SIZE_3_2_GUIDE_2,forholdet 3:2
CAMMENU_SIZE_4_3,4:3
CAMMENU_SIZE_5MEG,5M
CAMMENU_SIZE_5M_GUIDE,Til udskrifter op til A4
CAMMENU_SIZE_5M_GUIDE_2,
CAMMENU_SIZE_640FINE,640(Fin)
CAMMENU_SIZE_640FINE_GUIDE,Optag film i høj kvalitet
CAMMENU_SIZE_640FINE_GUIDE_2,til visning på tv-skærm
CAMMENU_SIZE_640STD,640(Standard)
CAMMENU_SIZE_640STD_GUIDE,Optag film i standardkvalitet
CAMMENU_SIZE_640STD_GUIDE_2,til visning på tv-skærm
CAMMENU_SIZE_8M_GUIDE,Til udskrifter op til A3
CAMMENU_SIZE_8M_GUIDE_2,
CAMMENU_SIZE_HD_2MEG,16:9(2M)
CAMMENU_SIZE_HD_7MEG,16:9(7M)
CAMMENU_SIZE_HD_VGA,16:9(VGA)
CAMMENU_SIZE_VGA,VGA
CAMMENU_SIZE_VGA_GUIDE,Brug lille billedstørrelse
CAMMENU_SIZE_VGA_GUIDE_2,til vedhæftning i e-mails
CAMMENU_SMILE,Registrering af smil
CAMMENU_SMILESHUTTER_HIGH_GUIDE,Optag med høj følsomhed for
CAMMENU_SMILESHUTTER_HIGH_GUIDE_2,registrering af smil
CAMMENU_SMILESHUTTER_LOW_GUIDE,Optag med lav følsomhed for
CAMMENU_SMILESHUTTER_LOW_GUIDE_2,registrering af smil
CAMMENU_SMILESHUTTER_NORMAL_GUIDE,Optag m. standardfølsomhed
CAMMENU_SMILESHUTTER_NORMAL_GUIDE_2,for registrering af smil
CAMMENU_SMILE_DETECTION,Følsomhed for smilregist.
CAMMENU_SPOT,Spot
CAMMENU_SPOTAF,Spot - AF
CAMMENU_STEADYSHOT,SteadyShot
CAMMENU_STEADYSHOT_CONT_GUIDE,SteadyShot altid til
CAMMENU_STEADYSHOT_CONT_GUIDE_2,
CAMMENU_STEADYSHOT_OFF_GUIDE,SteadyShot fra
CAMMENU_STEADYSHOT_OFF_GUIDE_2,
CAMMENU_STEADYSHOT_SHOOT_GUIDE,SteadyShot til, når udløser-
CAMMENU_STEADYSHOT_SHOOT_GUIDE_2,knap trykkes halvvejs ned
CAMMENU_TOUCH,Ved berøring
CAMMENU_WATERWB,Hvidbalance under vandet
CAMMENU_WATERWB_AUTO_GUIDE,Autojuster hvidbalance
CAMMENU_WATERWB_AUTO_GUIDE_2,til optagelser under vandet
CAMMENU_WATERWB_FLASH_GUIDE,Brug ved optagelser med
CAMMENU_WATERWB_FLASH_GUIDE_2,blitz under vandet
CAMMENU_WATERWB_WATER1,Under vandet 1
CAMMENU_WATERWB_WATER1_GUIDE,Bruges til optagelser
CAMMENU_WATERWB_WATER1_GUIDE_2,i blåt vand
CAMMENU_WATERWB_WATER2,Under vandet 2
CAMMENU_WATERWB_WATER2_GUIDE,Bruges til optagelser
CAMMENU_WATERWB_WATER2_GUIDE_2,i grønt vand
CAMMENU_WB2,Hvidbalance
CAMMENU_WB_AUTO_GUIDE,Juster automatisk til
CAMMENU_WB_AUTO_GUIDE_2,naturlige farver
CAMMENU_WB_CLOUDY,Skyet
CAMMENU_WB_CLOUDY_GUIDE,Brug på overskyede dage
CAMMENU_WB_CLOUDY_GUIDE_2,eller i skygge
CAMMENU_WB_DAYLIGHT,Dagslys
CAMMENU_WB_DAYLIGHT_GUIDE,Brug til udendørsmotiver
CAMMENU_WB_DAYLIGHT_GUIDE_2,i solskin eller nattemotiver
CAMMENU_WB_FLASH,Blitz
CAMMENU_WB_FLASH_GUIDE,Brug til optagelse med blitz
CAMMENU_WB_FLASH_GUIDE_2,
CAMMENU_WB_FLUORESCENT1,Fluorescerende lys 1
CAMMENU_WB_FLUORESCENT1_GUIDE,Brug under hvidt
CAMMENU_WB_FLUORESCENT1_GUIDE_2,fluorescerende lys
CAMMENU_WB_FLUORESCENT2,Fluorescerende lys 2
CAMMENU_WB_FLUORESCENT2_GUIDE,Brug under naturligt hvidt
CAMMENU_WB_FLUORESCENT2_GUIDE_2,fluorescerende lys
CAMMENU_WB_FLUORESCENT3,Fluorescerende lys 3
CAMMENU_WB_FLUORESCENT3_GUIDE,Brug under dagslysagtigt
CAMMENU_WB_FLUORESCENT3_GUIDE_2,hvidt fluorescerende lys
CAMMENU_WB_INCANDESCENT,Skinnende
CAMMENU_WB_INCANDESCENT_GUIDE,Brug under skarpt lys
CAMMENU_WB_INCANDESCENT_GUIDE_2,eller videolys
CAMMODE_AUTO,Autojustering
CAMMODE_AUTO_GUIDE,Til optagelse med
CAMMODE_AUTO_GUIDE_2,auto indstillinger
CAMMODE_BEACH,Strand
CAMMODE_BEACH_GUIDE,Optag ved vandet
CAMMODE_BEACH_GUIDE_2,med klar blå farve
CAMMODE_COOKING,Gourmet
CAMMODE_COOKING_GUIDE,Naturlige billeder af mad
CAMMODE_COOKING_GUIDE_2,
CAMMODE_EASY,Nem optagelse
CAMMODE_EASY_GUIDE,Fuldautomatisk optagelse
CAMMODE_EASY_GUIDE_2,med enkelt display
CAMMODE_FIREWORKS,Fyrværkeri
CAMMODE_FIREWORKS_GUIDE,Optag fyrværkeri
CAMMODE_FIREWORKS_GUIDE_2,i al sin pragt
CAMMODE_HIGHSENSITIVITY,Høj følsomhed
CAMMODE_HIGHSENSITIVITY_GUIDE,Optagelse uden blitz i svag
CAMMODE_HIGHSENSITIVITY_GUIDE_2,belysning reducerer sløring
CAMMODE_HIGHSPEEDSHUTTER,Højhastigheds-lukker
CAMMODE_HIGHSPEEDSHUTTER_GUIDE,Optag motiv i fart
CAMMODE_HIGHSPEEDSHUTTER_GUIDE_2,og fang bevægelsen
CAMMODE_LANDSCAPE,Landskab
CAMMODE_LANDSCAPE_GUIDE,Optag landskaber
CAMMODE_LANDSCAPE_GUIDE_2,med fjernt fokus
CAMMODE_MOVIE,Filmtilstand
CAMMODE_MOVIE_GUIDE,Optag film med lyd
CAMMODE_MOVIE_GUIDE_2,
CAMMODE_PAUTO,Auto programmeret
CAMMODE_PAUTO_GUIDE,Auto eksponering
CAMMODE_PAUTO_GUIDE_2,med just. indst.
CAMMODE_SNOW,Sne
CAMMODE_SNOW_GUIDE,Optag hvidt motiv
CAMMODE_SNOW_GUIDE_2,i lyse farver
