CAMMENU_0EV,0EV
CAMMENU_100,100
CAMMENU_10M,1.0 m
CAMMENU_1600,1600
CAMMENU_200,200
CAMMENU_30M,3.0 m
CAMMENU_3200,3200
CAMMENU_400,400
CAMMENU_70M,7.0 m
CAMMENU_80,80
CAMMENU_800,800
CAMMENU_BRK_03EV,BRK±0,3EV
CAMMENU_BRK_07EV,BRK±0,7EV
CAMMENU_BRK_10EV,BRK±1,0EV
CAMMENU_BURST,Burst
CAMMENU_BURST_BRK03EV_GUIDE,3 opnamen maken
CAMMENU_BURST_BRK03EV_GUIDE_2,met 0,3 EV verschil
CAMMENU_BURST_BRK07EV_GUIDE,3 opnamen maken
CAMMENU_BURST_BRK07EV_GUIDE_2,met 0,7 EV verschil
CAMMENU_BURST_BRK10EV_GUIDE,3 opnamen maken
CAMMENU_BURST_BRK10EV_GUIDE_2,met 1,0 EV verschil
CAMMENU_BURST_OFF_GUIDE,Één beeld opnemen bij elke
CAMMENU_BURST_OFF_GUIDE_2,druk op de ontspanknop
CAMMENU_BURST_ON_GUIDE,Continu opnemen zolang op
CAMMENU_BURST_ON_GUIDE_2,ontspanknop wordt gedrukt
CAMMENU_CENTER,Midden
CAMMENU_CENTERAF,Midden-AF
CAMMENU_CLOSEEYE,Dichte-ogenvermindering
CAMMENU_CLOSEEYE_AUTO_GUIDE,Analyse van ogen om dichte
CAMMENU_CLOSEEYE_AUTO_GUIDE_2,ogen te voorkomen
CAMMENU_CLOSEEYE_OFF_GUIDE,Dichte-ogenvermindering
CAMMENU_CLOSEEYE_OFF_GUIDE_2,uitschakelen
CAMMENU_COLOR,Kleurfunctie
CAMMENU_COLOR_BW,Z-W
CAMMENU_COLOR_BW_GUIDE,Opnamen zwart-wit maken
CAMMENU_COLOR_BW_GUIDE_2,
CAMMENU_COLOR_NORMAL_GUIDE,Opnemen in de
CAMMENU_COLOR_NORMAL_GUIDE_2,standaardkleurenfunctie
CAMMENU_COLOR_SEPIA,Sepia
CAMMENU_COLOR_SEPIA_GUIDE,Kleuren van oude foto's
CAMMENU_COLOR_SEPIA_GUIDE_2,nabootsen
CAMMENU_COLOR_VIVID,Levendig
CAMMENU_COLOR_VIVID_GUIDE,Beeld instellen op diepe en
CAMMENU_COLOR_VIVID_GUIDE_2,levendige kleuren
CAMMENU_CONTINUOUS,Continu
CAMMENU_DRO,DRO
CAMMENU_DRO_ADV,Geavanceerd
CAMMENU_DRO_ADV_GUIDE,Beeld in schaduw zichtbaar
CAMMENU_DRO_ADV_GUIDE_2,maken en behoud helderheid
CAMMENU_DRO_OFF_GUIDE,Beeld in schaduw wordt niet
CAMMENU_DRO_OFF_GUIDE_2,zichtbaar gemaakt
CAMMENU_DRO_PLUS,DRO plus
CAMMENU_DRO_STANDARD_GUIDE,Beeld zichtbaar maken dat in
CAMMENU_DRO_STANDARD_GUIDE_2,schaduw verloren is gegaan
CAMMENU_DRO_STD,DRO standard
CAMMENU_EV,EV
CAMMENU_EV2,EV
CAMMENU_EV_GUIDE,Beeld instellen op helder (+)
CAMMENU_EV_GUIDE2,Beeld instellen op helder (+)
CAMMENU_EV_GUIDE2_2,of donker (－)
CAMMENU_EV_GUIDE_2,of donker (－)
CAMMENU_FACE,Gezichtsherkenning
CAMMENU_FACE_ADULT,Voorkeur voor volwassenen
CAMMENU_FACE_ADULT_GUIDE,Bij voorkeur scherpstellen op
CAMMENU_FACE_ADULT_GUIDE_2,het gezicht van volwassenen
CAMMENU_FACE_CHILD,Voorkeur voor kinderen
CAMMENU_FACE_CHILD_GUIDE,Bij voorkeur scherpstellen op
CAMMENU_FACE_CHILD_GUIDE_2,het gezicht van kinderen
CAMMENU_FACE_ON_GUIDE,Stel prioriteit in op
CAMMENU_FACE_ON_GUIDE_2,scherpstellen op gezichten
CAMMENU_FACE_TOUCH_GUIDE,Gezichtsherkenning inschak.
CAMMENU_FACE_TOUCH_GUIDE_2,alleen na aanraken gezicht
CAMMENU_FLASHLEVEL,Flitsniveau
CAMMENU_FLASHLEVEL_DOWN_GUIDE,Opnemen met een lagere
CAMMENU_FLASHLEVEL_DOWN_GUIDE_2,flitslichtintensiteit
CAMMENU_FLASHLEVEL_NORMAL_GUIDE,Opnemen met de standaard
CAMMENU_FLASHLEVEL_NORMAL_GUIDE_2,flitslichtintensiteit
CAMMENU_FLASHLEVEL_UP_GUIDE,Opnemen met een hogere
CAMMENU_FLASHLEVEL_UP_GUIDE_2,flitslichtintensiteit
CAMMENU_FLASH_SYNCHRO,Lgz synchro
CAMMENU_FOCUS,Scherpstellen
CAMMENU_FOUCS_10M_GUIDE,Scherpstelling instellen op
CAMMENU_FOUCS_10M_GUIDE_2,ong. 1,0 m afstand
CAMMENU_FOUCS_30M_GUIDE,Scherpstelling instellen op
CAMMENU_FOUCS_30M_GUIDE_2,ong. 3,0 m afstand
CAMMENU_FOUCS_70M_GUIDE,Scherpstelling instellen op
CAMMENU_FOUCS_70M_GUIDE_2,ong. 7,0 m afstand
CAMMENU_FOUCS_CENTER_GUIDE,Automatische scherpstelling
CAMMENU_FOUCS_CENTER_GUIDE_2,op onderwerp in het midden
CAMMENU_FOUCS_INFINITY_GUIDE,Scherpstelling instellen op
CAMMENU_FOUCS_INFINITY_GUIDE_2,een oneindige afstand
CAMMENU_FOUCS_MANUAL_GUIDE,Scherpstelling handmatig
CAMMENU_FOUCS_MANUAL_GUIDE_2,instellen
CAMMENU_FOUCS_MULTI_GUIDE,Automatische scherpstelling
CAMMENU_FOUCS_MULTI_GUIDE_2,in het gehele frame
CAMMENU_FOUCS_SPOT_GUIDE,Automatische scherpstelling
CAMMENU_FOUCS_SPOT_GUIDE_2,op een centraal punt
CAMMENU_FOUCS_TSPOT_GUIDE,Automat. scherpstellen door
CAMMENU_FOUCS_TSPOT_GUIDE_2,punt op scherm aan te raken
CAMMENU_IMAGESIZE,Beeldformaat
CAMMENU_IMAGESIZE_L,Groot
CAMMENU_IMAGESIZE_S,Klein
CAMMENU_INFINITY,∞
CAMMENU_ISO,ISO
CAMMENU_ISO_100_GUIDE,Gevoeligheid instellen op
CAMMENU_ISO_100_GUIDE_2,ISO 100
CAMMENU_ISO_1600_GUIDE,Gevoeligheid instellen op
CAMMENU_ISO_1600_GUIDE_2,ISO 1600
CAMMENU_ISO_200_GUIDE,Gevoeligheid instellen op
CAMMENU_ISO_200_GUIDE_2,ISO 200
CAMMENU_ISO_3200_GUIDE,Gevoeligheid instellen op
CAMMENU_ISO_3200_GUIDE_2,ISO 3200
CAMMENU_ISO_400_GUIDE,Gevoeligheid instellen op
CAMMENU_ISO_400_GUIDE_2,ISO 400
CAMMENU_ISO_64_GUIDE,Gevoeligheid instellen op
CAMMENU_ISO_64_GUIDE_2,ISO 64
CAMMENU_ISO_800_GUIDE,Gevoeligheid instellen op
CAMMENU_ISO_800_GUIDE_2,ISO 800
CAMMENU_ISO_80_GUIDE,Gevoeligheid instellen op
CAMMENU_ISO_80_GUIDE_2,ISO 80
CAMMENU_ISO_AUTO_GUIDE,Gevoeligheid automatisch
CAMMENU_ISO_AUTO_GUIDE_2,instellen
CAMMENU_M03EV,-0.3EV
CAMMENU_M07EV,-0.7EV
CAMMENU_M10EV,-1.0EV
CAMMENU_M13EV,-1.3EV
CAMMENU_M17EV,-1.7EV
CAMMENU_M20EV,-2.0EV
CAMMENU_MACRO,Macro
CAMMENU_MENU,Menu
CAMMENU_METERINGMODE,Lichtmeetfunctie
CAMMENU_METERING_CENTER_GUIDE,Belichting op basis van
CAMMENU_METERING_CENTER_GUIDE_2,helderheid van het midden
CAMMENU_METERING_MULTI_GUIDE,Belichting op basis van
CAMMENU_METERING_MULTI_GUIDE_2,gehele frame
CAMMENU_METERING_SPOT_GUIDE,Belichting op basis van
CAMMENU_METERING_SPOT_GUIDE_2,helderheid van centraal punt
CAMMENU_MINUS,－
CAMMENU_MULTI,Multi
CAMMENU_MULTIAF,Multi-AF
CAMMENU_NORMAL_CAP,Normaal
CAMMENU_P03EV,+0.3EV
CAMMENU_P07EV,+0.7EV
CAMMENU_P10EV,+1.0EV
CAMMENU_P13EV,+1.3EV
CAMMENU_P17EV,+1.7EV
CAMMENU_P20EV,+2.0EV
CAMMENU_PLUS,＋
CAMMENU_RECMODE,Opn. functie
CAMMENU_RECOGNITION,Scèneherkenning
CAMMENU_RECOGNITION_ADV_GUIDE,Autom nog 1 opname maken
CAMMENU_RECOGNITION_ADV_GUIDE2,Autom nog 1 opname maken
CAMMENU_RECOGNITION_ADV_GUIDE2_2,in schemer of met tegenlicht
CAMMENU_RECOGNITION_ADV_GUIDE_2,in schemer of met tegenlicht
CAMMENU_RECOGNITION_AUTO2_GUIDE,Opnemen met optimale
CAMMENU_RECOGNITION_AUTO2_GUIDE_2,instellingen voor de scène
CAMMENU_RECOGNITION_AUTO_GUIDE,Opn. met optimale instelling
CAMMENU_RECOGNITION_AUTO_GUIDE_2,in schemer of met tegenlicht
CAMMENU_RECOGNITION_OFF_GUIDE,Scèneherkenning
CAMMENU_RECOGNITION_OFF_GUIDE_2,uitschakelen
CAMMENU_REDEYEREDUCTION,Rode-ogeneffect
CAMMENU_REDEYE_FACE_GUIDE,Autom. rode-ogenverminder.
CAMMENU_REDEYE_FACE_GUIDE_2,bij herkennen van gezichten
CAMMENU_REDEYE_OFF_GUIDE,Rode-ogenvermindering uit
CAMMENU_REDEYE_OFF_GUIDE_2,
CAMMENU_REDEYE_ON_GUIDE,Bij gebr. flitser, vooraf flitsen
CAMMENU_REDEYE_ON_GUIDE_2,voor rode-ogenvermindering
CAMMENU_REMAIN_NUMBER,Capacit. beelden ong
CAMMENU_REMAIN_TIME,Ong. resterende tijd
CAMMENU_SATURATION_DOWN_GUIDE,Beelden opnemen met
CAMMENU_SATURATION_DOWN_GUIDE_2,lagere kleurverzadiging
CAMMENU_SATURATION_NORMAL_GUIDE,Kleurverzadiging instellen op
CAMMENU_SATURATION_NORMAL_GUIDE_2,Normaal
CAMMENU_SATURATION_UP_GUIDE,Beelden opnemen met
CAMMENU_SATURATION_UP_GUIDE_2,hogere kleurverzadiging
CAMMENU_SELFTIMER,Zelfontsp.
CAMMENU_SELFTIMER_10SEC,Zelfontsp. 10 sec
CAMMENU_SELFTIMER_2SEC,Zelfontspanner 2 sec
CAMMENU_SELFTIMER_OFF,Zelfontspanner Uit
CAMMENU_SETUP,Setup
CAMMENU_SETUP_CHANGE_GUIDE,Ga naar het scherm voor
CAMMENU_SETUP_CHANGE_GUIDE_2,opname-instellingen
CAMMENU_SHOOTING,Opnemen
CAMMENU_SIZE_10MEG,10M
CAMMENU_SIZE_12M_GUIDE,Voor afdrukken tot A3+
CAMMENU_SIZE_12M_GUIDE_2,
CAMMENU_SIZE_16_9,16:9
CAMMENU_SIZE_16_9_2MEG_GUIDE,Weergeven op HDTV's
CAMMENU_SIZE_16_9_2MEG_GUIDE_2,
CAMMENU_SIZE_16_9_A3_GUIDE,Weergeven op HDTV's en
CAMMENU_SIZE_16_9_A3_GUIDE_2,afdrukken tot A3
CAMMENU_SIZE_16_9_A4_GUIDE,Weergeven op HDTV's en
CAMMENU_SIZE_16_9_A4_GUIDE_2,afdrukken tot A4
CAMMENU_SIZE_16_9_GUIDE,Met HDTV-beeldverhouding
CAMMENU_SIZE_16_9_GUIDE_2,opnemen
CAMMENU_SIZE_320,320
CAMMENU_SIZE_320_GUIDE,Klein formaat opnemen
CAMMENU_SIZE_320_GUIDE_2,voor verzenden per e-mail
CAMMENU_SIZE_3MEG,3M
CAMMENU_SIZE_3M_GUIDE,Voor afdrukken tot 10x15 cm
CAMMENU_SIZE_3M_GUIDE_2,of 13x18 cm
CAMMENU_SIZE_3_2_8MEG,3:2(8M)
CAMMENU_SIZE_3_2_GUIDE,Met beeldverhouding 3:2
CAMMENU_SIZE_3_2_GUIDE_2,opnemen
CAMMENU_SIZE_4_3,4:3
CAMMENU_SIZE_5MEG,5M
CAMMENU_SIZE_5M_GUIDE,Voor afdrukken tot A4
CAMMENU_SIZE_5M_GUIDE_2,
CAMMENU_SIZE_640FINE,640(Fijn)
CAMMENU_SIZE_640FINE_GUIDE,Bewegend beelden van hoge
CAMMENU_SIZE_640FINE_GUIDE_2,kwaliteit opn. voor TV-weerg
CAMMENU_SIZE_640STD,640(Standaard)
CAMMENU_SIZE_640STD_GUIDE,Bewegende beelden van std.
CAMMENU_SIZE_640STD_GUIDE_2,kwaliteit opn. voor TV-weerg
CAMMENU_SIZE_8M_GUIDE,Voor afdrukken tot A3
CAMMENU_SIZE_8M_GUIDE_2,
CAMMENU_SIZE_HD_2MEG,16:9(2M)
CAMMENU_SIZE_HD_7MEG,16:9(7M)
CAMMENU_SIZE_HD_VGA,16:9(VGA)
CAMMENU_SIZE_VGA,VGA
CAMMENU_SIZE_VGA_GUIDE,Klein beeldformaat opnemen
CAMMENU_SIZE_VGA_GUIDE_2,voor verzenden per e-mail
CAMMENU_SMILE,Lach-herkenning
CAMMENU_SMILESHUTTER_HIGH_GUIDE,Opnemen met hoge gevoelig
CAMMENU_SMILESHUTTER_HIGH_GUIDE_2,heid van lach-herkenning
CAMMENU_SMILESHUTTER_LOW_GUIDE,Opnemen met lage gevoelig-
CAMMENU_SMILESHUTTER_LOW_GUIDE_2,heid van lach-herkenning
CAMMENU_SMILESHUTTER_NORMAL_GUIDE,Opnemen met std. gevoelig-
CAMMENU_SMILESHUTTER_NORMAL_GUIDE_2,heid van lach-herkenning
CAMMENU_SMILE_DETECTION,Lach-herkenn. gevoeligheid
CAMMENU_SPOT,Punt
CAMMENU_SPOTAF,Punt-AF
CAMMENU_STEADYSHOT,SteadyShot
CAMMENU_STEADYSHOT_CONT_GUIDE,SteadyShot altijd aan
CAMMENU_STEADYSHOT_CONT_GUIDE_2,
CAMMENU_STEADYSHOT_OFF_GUIDE,SteadyShot uit
CAMMENU_STEADYSHOT_OFF_GUIDE_2,
CAMMENU_STEADYSHOT_SHOOT_GUIDE,SteadyShot aan bij indrukken
CAMMENU_STEADYSHOT_SHOOT_GUIDE_2,ontspanknop tot halverwege
CAMMENU_TOUCH,Na aanraken
CAMMENU_WATERWB,Witbalans onderwater
CAMMENU_WATERWB_AUTO_GUIDE,Witbalans autom. bijregelen
CAMMENU_WATERWB_AUTO_GUIDE_2,voor opnemen onderwater
CAMMENU_WATERWB_FLASH_GUIDE,Gebruiken voor opnemen
CAMMENU_WATERWB_FLASH_GUIDE_2,onderwater met flitser
CAMMENU_WATERWB_WATER1,Onderwater 1
CAMMENU_WATERWB_WATER1_GUIDE,Gebruiken voor opnemen
CAMMENU_WATERWB_WATER1_GUIDE_2,in blauw water
CAMMENU_WATERWB_WATER2,Onderwater 2
CAMMENU_WATERWB_WATER2_GUIDE,Gebruiken voor opnemen
CAMMENU_WATERWB_WATER2_GUIDE_2,in groen water
CAMMENU_WB2,Witbalans
CAMMENU_WB_AUTO_GUIDE,Automatisch bijregelen voor
CAMMENU_WB_AUTO_GUIDE_2,natuurlijke kleuren
CAMMENU_WB_CLOUDY,Bewolkt
CAMMENU_WB_CLOUDY_GUIDE,Gebruiken op bewolkte dag
CAMMENU_WB_CLOUDY_GUIDE_2,of in de schaduw
CAMMENU_WB_DAYLIGHT,Daglicht
CAMMENU_WB_DAYLIGHT_GUIDE,Gebruiken bij zonnige scène
CAMMENU_WB_DAYLIGHT_GUIDE_2,buiten of bij nachtopname
CAMMENU_WB_FLASH,Flitser
CAMMENU_WB_FLASH_GUIDE,Gebruiken bij opnemen met
CAMMENU_WB_FLASH_GUIDE_2,de flitslicht
CAMMENU_WB_FLUORESCENT1,Fluorescerend licht 1
CAMMENU_WB_FLUORESCENT1_GUIDE,Gebruiken bij wit
CAMMENU_WB_FLUORESCENT1_GUIDE_2,fluorescerend licht
CAMMENU_WB_FLUORESCENT2,Fluorescerend licht 2
CAMMENU_WB_FLUORESCENT2_GUIDE,Gebruiken bij natuurlijk-wit
CAMMENU_WB_FLUORESCENT2_GUIDE_2,fluorescerend licht
CAMMENU_WB_FLUORESCENT3,Fluorescerend licht 3
CAMMENU_WB_FLUORESCENT3_GUIDE,Gebruiken bij dag-wit
CAMMENU_WB_FLUORESCENT3_GUIDE_2,fluorescerend licht
CAMMENU_WB_INCANDESCENT,Gloeilamp
CAMMENU_WB_INCANDESCENT_GUIDE,Gebruiken bij gloeilamplicht
CAMMENU_WB_INCANDESCENT_GUIDE_2,of videolamplicht
CAMMODE_AUTO,Autom. instellen
CAMMODE_AUTO_GUIDE,Voor opnemen met
CAMMODE_AUTO_GUIDE_2,autom. instellingen
CAMMODE_BEACH,Strand
CAMMODE_BEACH_GUIDE,Opname aan waterkant
CAMMODE_BEACH_GUIDE_2,met felblauwe kleur
CAMMODE_COOKING,Voedsel
CAMMODE_COOKING_GUIDE,Natuurlijke opnamen maken
CAMMODE_COOKING_GUIDE_2,van voedsel
CAMMODE_EASY,Eenvoudig opnemen
CAMMODE_EASY_GUIDE,Volautomatisch opnemen
CAMMODE_EASY_GUIDE_2,met vereenvoudigd scherm
CAMMODE_FIREWORKS,Vuurwerk
CAMMODE_FIREWORKS_GUIDE,Vuurwerk opnemen in
CAMMODE_FIREWORKS_GUIDE_2,schitterende details
CAMMODE_HIGHSENSITIVITY,Hoge gevoeligheid
CAMMODE_HIGHSENSITIVITY_GUIDE,Bij weinig licht zonder flitser
CAMMODE_HIGHSENSITIVITY_GUIDE_2,opnemen en zo blur vermind
CAMMODE_HIGHSPEEDSHUTTER,Korte sluitertijd
CAMMODE_HIGHSPEEDSHUTTER_GUIDE,Bewegend onderwerp
CAMMODE_HIGHSPEEDSHUTTER_GUIDE_2,in actie opnemen
CAMMODE_LANDSCAPE,Landschap
CAMMODE_LANDSCAPE_GUIDE,Landschappen opnemen
CAMMODE_LANDSCAPE_GUIDE_2,veraf scherpstellen
