CAMMENU_0EV,0EV
CAMMENU_100,100
CAMMENU_10M,1.0 m
CAMMENU_1600,1600
CAMMENU_200,200
CAMMENU_30M,3.0 m
CAMMENU_3200,3200
CAMMENU_400,400
CAMMENU_70M,7.0 m
CAMMENU_80,80
CAMMENU_800,800
CAMMENU_BRK_03EV,BRK±0,3EV
CAMMENU_BRK_07EV,BRK±0,7EV
CAMMENU_BRK_10EV,BRK±1,0EV
CAMMENU_BURST,Sarja
CAMMENU_BURST_BRK03EV_GUIDE,Kuvaa 3 kuvaa 0,3 EV välein
CAMMENU_BURST_BRK03EV_GUIDE_2,
CAMMENU_BURST_BRK07EV_GUIDE,Kuvaa 3 kuvaa 0,7 EV välein
CAMMENU_BURST_BRK07EV_GUIDE_2,
CAMMENU_BURST_BRK10EV_GUIDE,Kuvaa 3 kuvaa 1,0 EV välein
CAMMENU_BURST_BRK10EV_GUIDE_2,
CAMMENU_BURST_OFF_GUIDE,Kuvaa kerran jokaisella
CAMMENU_BURST_OFF_GUIDE_2,sulkimen painalluksella
CAMMENU_BURST_ON_GUIDE,Kuvaa jatkuvasti kun
CAMMENU_BURST_ON_GUIDE_2,suljin pidetään painettuna
CAMMENU_CENTER,Keskip.
CAMMENU_CENTERAF,Keskip. AF
CAMMENU_CLOSEEYE,Suljettujen silmien esto
CAMMENU_CLOSEEYE_AUTO_GUIDE,Analysoi silmät suljettujen
CAMMENU_CLOSEEYE_AUTO_GUIDE_2,silmien välttämiseksi
CAMMENU_CLOSEEYE_OFF_GUIDE,Poista suljettujen silmien
CAMMENU_CLOSEEYE_OFF_GUIDE_2,esto käytöstä
CAMMENU_COLOR,Väritila
CAMMENU_COLOR_BW,Mustavalko
CAMMENU_COLOR_BW_GUIDE,Tee kuvista mustavalkoisia
CAMMENU_COLOR_BW_GUIDE_2,
CAMMENU_COLOR_NORMAL_GUIDE,Kuvaa normaalivärimuodolla
CAMMENU_COLOR_NORMAL_GUIDE_2,
CAMMENU_COLOR_SEPIA,Seepia
CAMMENU_COLOR_SEPIA_GUIDE,Simuloi vanhojen kuvien
CAMMENU_COLOR_SEPIA_GUIDE_2,värejä
CAMMENU_COLOR_VIVID,Eloisa
CAMMENU_COLOR_VIVID_GUIDE,Asettaa kuvalle syvät
CAMMENU_COLOR_VIVID_GUIDE_2,ja elävät värit
CAMMENU_CONTINUOUS,Jatkuva
CAMMENU_DRO,DRO
CAMMENU_DRO_ADV,Lisäasetukset
CAMMENU_DRO_ADV_GUIDE,Tuo esiin varjon yksityiskohd.
CAMMENU_DRO_ADV_GUIDE_2,korostuksia menettämättä
CAMMENU_DRO_OFF_GUIDE,Ei varjon yksityiskohtia
CAMMENU_DRO_OFF_GUIDE_2,
CAMMENU_DRO_PLUS,DRO plus
CAMMENU_DRO_STANDARD_GUIDE,Tuo esiin varjoon katoavia
CAMMENU_DRO_STANDARD_GUIDE_2,kuvan yksityiskohtia
CAMMENU_DRO_STD,DRO standard
CAMMENU_EV,EV
CAMMENU_EV2,EV
CAMMENU_EV_GUIDE,Säädä kuvan kirkkaus (＋)
CAMMENU_EV_GUIDE2,Säädä kuvan kirkkaus (＋)
CAMMENU_EV_GUIDE2_2,ja tummuus (－)
CAMMENU_EV_GUIDE_2,ja tummuus (－)
CAMMENU_FACE,Kasvontunnistus
CAMMENU_FACE_ADULT,Etusija: aikuinen
CAMMENU_FACE_ADULT_GUIDE,Kohdistus ensisijaisesti
CAMMENU_FACE_ADULT_GUIDE_2,aikuisen kasvoihin
CAMMENU_FACE_CHILD,Etusija: lapsi
CAMMENU_FACE_CHILD_GUIDE,Kohdistus ensisijaisesti
CAMMENU_FACE_CHILD_GUIDE_2,lapsen kasvoihin
CAMMENU_FACE_ON_GUIDE,Aseta kasvoihin kohdistus
CAMMENU_FACE_ON_GUIDE_2,etusijalle
CAMMENU_FACE_TOUCH_GUIDE,Käynnistä kasvontunnistus
CAMMENU_FACE_TOUCH_GUIDE_2,vain kasvoa kosketettaessa
CAMMENU_FLASHLEVEL,Salamateho
CAMMENU_FLASHLEVEL_DOWN_GUIDE,Kuvaa vähemmän
CAMMENU_FLASHLEVEL_DOWN_GUIDE_2,voimakkaalla salamalla
CAMMENU_FLASHLEVEL_NORMAL_GUIDE,Kuvaa normaalilla salamalla
CAMMENU_FLASHLEVEL_NORMAL_GUIDE_2,
CAMMENU_FLASHLEVEL_UP_GUIDE,Kuvaa voimakkaammalla
CAMMENU_FLASHLEVEL_UP_GUIDE_2,salamalla
CAMMENU_FLASH_SYNCHRO,Hidas suljin
CAMMENU_FOCUS,Tarkennus
CAMMENU_FOUCS_10M_GUIDE,Aseta kohdistus
CAMMENU_FOUCS_10M_GUIDE_2,noin 1,0 m päähän
CAMMENU_FOUCS_30M_GUIDE,Aseta kohdistus
CAMMENU_FOUCS_30M_GUIDE_2,noin 3,0 m päähän
CAMMENU_FOUCS_70M_GUIDE,Aseta kohdistus
CAMMENU_FOUCS_70M_GUIDE_2,noin 7,0 m päähän
CAMMENU_FOUCS_CENTER_GUIDE,Automaattinen kohdistus
CAMMENU_FOUCS_CENTER_GUIDE_2,keskellä olevaan kohteeseen
CAMMENU_FOUCS_INFINITY_GUIDE,Aseta kohdistus
CAMMENU_FOUCS_INFINITY_GUIDE_2,rajoittamattoman kauas
CAMMENU_FOUCS_MANUAL_GUIDE,Aseta kohdistus käsin
CAMMENU_FOUCS_MANUAL_GUIDE_2,
CAMMENU_FOUCS_MULTI_GUIDE,Automaattinen kohdistus
CAMMENU_FOUCS_MULTI_GUIDE_2,kehyksen laajuudelta
CAMMENU_FOUCS_SPOT_GUIDE,Automaattinen kohdistus
CAMMENU_FOUCS_SPOT_GUIDE_2,keskipisteeseen
CAMMENU_FOUCS_TSPOT_GUIDE,Automaattinen kohdistus
CAMMENU_FOUCS_TSPOT_GUIDE_2,koskettamalla näyttöä
CAMMENU_IMAGESIZE,Kuvakoko
CAMMENU_IMAGESIZE_L,Suuri
CAMMENU_IMAGESIZE_S,Pieni
CAMMENU_INFINITY,∞
CAMMENU_ISO,ISO
CAMMENU_ISO_100_GUIDE,Aseta herkkyydeksi ISO 100
CAMMENU_ISO_100_GUIDE_2,
CAMMENU_ISO_1600_GUIDE,Aseta herkkyydeksi ISO 1600
CAMMENU_ISO_1600_GUIDE_2,
CAMMENU_ISO_200_GUIDE,Aseta herkkyydeksi ISO 200
CAMMENU_ISO_200_GUIDE_2,
CAMMENU_ISO_3200_GUIDE,Aseta herkkyydeksi ISO 3200
CAMMENU_ISO_3200_GUIDE_2,
CAMMENU_ISO_400_GUIDE,Aseta herkkyydeksi ISO 400
CAMMENU_ISO_400_GUIDE_2,
CAMMENU_ISO_64_GUIDE,Aseta herkkyydeksi ISO 64
CAMMENU_ISO_64_GUIDE_2,
CAMMENU_ISO_800_GUIDE,Aseta herkkyydeksi ISO 800
CAMMENU_ISO_800_GUIDE_2,
CAMMENU_ISO_80_GUIDE,Aseta herkkyydeksi ISO 80
CAMMENU_ISO_80_GUIDE_2,
CAMMENU_ISO_AUTO_GUIDE,Herkkyyden automaattisäätö
CAMMENU_ISO_AUTO_GUIDE_2,
CAMMENU_M03EV,-0.3EV
CAMMENU_M07EV,-0.7EV
CAMMENU_M10EV,-1.0EV
CAMMENU_M13EV,-1.3EV
CAMMENU_M17EV,-1.7EV
CAMMENU_M20EV,-2.0EV
CAMMENU_MACRO,Makro
CAMMENU_MENU,Valikko
CAMMENU_METERINGMODE,Mittausmuoto
CAMMENU_METERING_CENTER_GUIDE,Valotus perustuu
CAMMENU_METERING_CENTER_GUIDE_2,keskustan kirkkauteen
CAMMENU_METERING_MULTI_GUIDE,Valotus tasapainotettu
CAMMENU_METERING_MULTI_GUIDE_2,kehyksen laajuudelta
CAMMENU_METERING_SPOT_GUIDE,Valotus perustuu
CAMMENU_METERING_SPOT_GUIDE_2,keskipisteen kirkkauteen
CAMMENU_MINUS,－
CAMMENU_MULTI,Monipiste
CAMMENU_MULTIAF,Monip. AF
CAMMENU_NORMAL_CAP,Normaali
CAMMENU_P03EV,+0.3EV
CAMMENU_P07EV,+0.7EV
CAMMENU_P10EV,+1.0EV
CAMMENU_P13EV,+1.3EV
CAMMENU_P17EV,+1.7EV
CAMMENU_P20EV,+2.0EV
CAMMENU_PLUS,＋
CAMMENU_RECMODE,Kuvaustapa
CAMMENU_RECOGNITION,Valotuksen tunnistus
CAMMENU_RECOGNITION_ADV_GUIDE,Kuvaa autom. yksi kuva lisää
CAMMENU_RECOGNITION_ADV_GUIDE2,Kuvaa autom. yksi kuva lisää
CAMMENU_RECOGNITION_ADV_GUIDE2_2,hämärässä tai taustavalossa
CAMMENU_RECOGNITION_ADV_GUIDE_2,hämärässä tai taustavalossa
CAMMENU_RECOGNITION_AUTO2_GUIDE,Kuvaa kohtauksen
CAMMENU_RECOGNITION_AUTO2_GUIDE_2,optimaalisilla asetuksilla
CAMMENU_RECOGNITION_AUTO_GUIDE,Kuvaa optim. asetuksilla
CAMMENU_RECOGNITION_AUTO_GUIDE_2,hämärässä tai taustavalossa
CAMMENU_RECOGNITION_OFF_GUIDE,Poista valotuksen tunnistus
CAMMENU_RECOGNITION_OFF_GUIDE_2,käytöstä
CAMMENU_REDEYEREDUCTION,Punasilm. esto
CAMMENU_REDEYE_FACE_GUIDE,Punasilm. autom. väh.
CAMMENU_REDEYE_FACE_GUIDE_2,kun havaitaan kasvot
CAMMENU_REDEYE_OFF_GUIDE,Punasilmäisyyden vähennys
CAMMENU_REDEYE_OFF_GUIDE_2,pois päältä
CAMMENU_REDEYE_ON_GUIDE,Käytä esisalamaa puna-
CAMMENU_REDEYE_ON_GUIDE_2,silmäisyyden vähentämiseksi
CAMMENU_REMAIN_NUMBER,Arvioitu kuvamäärä
CAMMENU_REMAIN_TIME,Aikaa jäljellä noin
CAMMENU_SATURATION_DOWN_GUIDE,Kuvaa pienemmällä
CAMMENU_SATURATION_DOWN_GUIDE_2,värikylläisyydellä
CAMMENU_SATURATION_NORMAL_GUIDE,Aseta värikylläisyys
CAMMENU_SATURATION_NORMAL_GUIDE_2,normaaliksi
CAMMENU_SATURATION_UP_GUIDE,Kuvaa suuremmalla
CAMMENU_SATURATION_UP_GUIDE_2,värikylläisyydellä
CAMMENU_SELFTIMER,Itselaukaisin
CAMMENU_SELFTIMER_10SEC,Itselaukaisin 10 s
CAMMENU_SELFTIMER_2SEC,Itselaukaisin 2 s
CAMMENU_SELFTIMER_OFF,Itselaukaisin pois
CAMMENU_SETUP,Asetus
CAMMENU_SETUP_CHANGE_GUIDE,Siirry Kuvausasetukset-
CAMMENU_SETUP_CHANGE_GUIDE_2,näyttöön
CAMMENU_SHOOTING,Kuvaaminen
CAMMENU_SIZE_10MEG,10M
CAMMENU_SIZE_12M_GUIDE,Enintään A3+-tulosteille
CAMMENU_SIZE_12M_GUIDE_2,
CAMMENU_SIZE_16_9,16:9
CAMMENU_SIZE_16_9_2MEG_GUIDE,HDTV: ssä katselua varten
CAMMENU_SIZE_16_9_2MEG_GUIDE_2,
CAMMENU_SIZE_16_9_A3_GUIDE,HDTV: ssä katselua varten ja
CAMMENU_SIZE_16_9_A3_GUIDE_2,tulostus enintään kokoon A3
CAMMENU_SIZE_16_9_A4_GUIDE,HDTV: ssä katselua varten ja
CAMMENU_SIZE_16_9_A4_GUIDE_2,tulostus enintään kokoon A4
CAMMENU_SIZE_16_9_GUIDE,Kuvaa HDTV-kuvasuhteella
CAMMENU_SIZE_16_9_GUIDE_2,
CAMMENU_SIZE_320,320
CAMMENU_SIZE_320_GUIDE,Kuvaa pienessä koossa
CAMMENU_SIZE_320_GUIDE_2,sähköpostin liitteeksi
CAMMENU_SIZE_3MEG,3M
CAMMENU_SIZE_3M_GUIDE,Enintään 10x15 cm: n tai
CAMMENU_SIZE_3M_GUIDE_2,13x18 cm: n tulosteille
CAMMENU_SIZE_3_2_8MEG,3:2(8M)
CAMMENU_SIZE_3_2_GUIDE,Kuvaa kuvasuhteella 3:2
CAMMENU_SIZE_3_2_GUIDE_2,
CAMMENU_SIZE_4_3,4:3
CAMMENU_SIZE_5MEG,5M
CAMMENU_SIZE_5M_GUIDE,Enintään A4-tulosteille
CAMMENU_SIZE_5M_GUIDE_2,
CAMMENU_SIZE_640FINE,640(hieno)
CAMMENU_SIZE_640FINE_GUIDE,Kuvaa korkealaatuista
CAMMENU_SIZE_640FINE_GUIDE_2,elokuvaa televisiolle
CAMMENU_SIZE_640STD,640(vakio)
CAMMENU_SIZE_640STD_GUIDE,Kuvaa normaalilaatuista
CAMMENU_SIZE_640STD_GUIDE_2,elokuvaa televisiolle
CAMMENU_SIZE_8M_GUIDE,Enintään A3-tulosteille
CAMMENU_SIZE_8M_GUIDE_2,
CAMMENU_SIZE_HD_2MEG,16:9(2M)
CAMMENU_SIZE_HD_7MEG,16:9(7M)
CAMMENU_SIZE_HD_VGA,16:9(VGA)
CAMMENU_SIZE_VGA,VGA
CAMMENU_SIZE_VGA_GUIDE,Kuvaa pienellä kuvakoolla
CAMMENU_SIZE_VGA_GUIDE_2,sähköpostin liitteeksi
CAMMENU_SMILE,Hymyn tunnistus
CAMMENU_SMILESHUTTER_HIGH_GUIDE,Kuvaa suurella hymyn-
CAMMENU_SMILESHUTTER_HIGH_GUIDE_2,tunnistustarkkuudella
CAMMENU_SMILESHUTTER_LOW_GUIDE,Kuvaa pienellä hymyn-
CAMMENU_SMILESHUTTER_LOW_GUIDE_2,tunnistustarkkuudella
CAMMENU_SMILESHUTTER_NORMAL_GUIDE,Kuvaa normaalilla hymyn-
CAMMENU_SMILESHUTTER_NORMAL_GUIDE_2,tunnistustarkkuudella
CAMMENU_SMILE_DETECTION,Hymyntunn. herkkyys
CAMMENU_SPOT,Pistemit.
CAMMENU_SPOTAF,Pistem. AF
CAMMENU_STEADYSHOT,SteadyShot
CAMMENU_STEADYSHOT_CONT_GUIDE,SteadyShot aina päällä
CAMMENU_STEADYSHOT_CONT_GUIDE_2,
CAMMENU_STEADYSHOT_OFF_GUIDE,SteadyShot pois päältä
CAMMENU_STEADYSHOT_OFF_GUIDE_2,
CAMMENU_STEADYSHOT_SHOOT_GUIDE,SteadyShot päällä kun suljin-
CAMMENU_STEADYSHOT_SHOOT_GUIDE_2,painike on puolessa välissä
CAMMENU_TOUCH,Kosketettaessa
CAMMENU_WATERWB,Vedenalainen valkotasap.
CAMMENU_WATERWB_AUTO_GUIDE,Valkotasapain. autom. säätö
CAMMENU_WATERWB_AUTO_GUIDE_2,vedenalaista kuvausta varten
CAMMENU_WATERWB_FLASH_GUIDE,Käytä vedenalaisessa
CAMMENU_WATERWB_FLASH_GUIDE_2,kuvauksessa salaman kanssa
CAMMENU_WATERWB_WATER1,Vedenalainen 1
CAMMENU_WATERWB_WATER1_GUIDE,Käytä sinisessä vedessä
CAMMENU_WATERWB_WATER1_GUIDE_2,kuvattaessa
CAMMENU_WATERWB_WATER2,Vedenalainen 2
CAMMENU_WATERWB_WATER2_GUIDE,Käytä vihreässä vedessä
CAMMENU_WATERWB_WATER2_GUIDE_2,kuvattaessa
CAMMENU_WB2,Valkotasap.
CAMMENU_WB_AUTO_GUIDE,Säädä automaattisesti
CAMMENU_WB_AUTO_GUIDE_2,luonnolliset värit
CAMMENU_WB_CLOUDY,Pilvinen
CAMMENU_WB_CLOUDY_GUIDE,Käytä pilvisinä päivinä tai
CAMMENU_WB_CLOUDY_GUIDE_2,varjossa
CAMMENU_WB_DAYLIGHT,Päivänvalo
CAMMENU_WB_DAYLIGHT_GUIDE,Käytä aurinkoisissa ulko-
CAMMENU_WB_DAYLIGHT_GUIDE_2,tiloissa tai yöllä
CAMMENU_WB_FLASH,Salamavalo
CAMMENU_WB_FLASH_GUIDE,Käytä kuvatessasi
CAMMENU_WB_FLASH_GUIDE_2,salaman kanssa
CAMMENU_WB_FLUORESCENT1,Loistevalo 1
CAMMENU_WB_FLUORESCENT1_GUIDE,Käytä valkoisessa
CAMMENU_WB_FLUORESCENT1_GUIDE_2,loistevalaistuksessa
CAMMENU_WB_FLUORESCENT2,Loistevalo 2
CAMMENU_WB_FLUORESCENT2_GUIDE,Käytä luonnollisen värisessä
CAMMENU_WB_FLUORESCENT2_GUIDE_2,loistevalaistuksessa
CAMMENU_WB_FLUORESCENT3,Loistevalo 3
CAMMENU_WB_FLUORESCENT3_GUIDE,Käytä päivänvärisessä
CAMMENU_WB_FLUORESCENT3_GUIDE_2,loistevalaistuksessa
CAMMENU_WB_INCANDESCENT,Hehkulamppu
CAMMENU_WB_INCANDESCENT_GUIDE,Käytä hehkulampun
CAMMENU_WB_INCANDESCENT_GUIDE_2,valossa tai videon valossa
CAMMODE_AUTO,Automaattisäätö
CAMMODE_AUTO_GUIDE,Automaattiasetuksil-
CAMMODE_AUTO_GUIDE_2,la kuvaamista varten
CAMMODE_BEACH,Hiekkaranta
CAMMODE_BEACH_GUIDE,Kuvaus rannoilla sy-
CAMMODE_BEACH_GUIDE_2,vä sininen tallent.
CAMMODE_COOKING,Gourmet
CAMMODE_COOKING_GUIDE,Luonnollinen kuva ruoasta
CAMMODE_COOKING_GUIDE_2,
CAMMODE_EASY,Helppo kuvaus
CAMMODE_EASY_GUIDE,Täysin automaattinen kuvaus
CAMMODE_EASY_GUIDE_2,ja yksinkertainen näyttö
CAMMODE_FIREWORKS,Ilotulitus
CAMMODE_FIREWORKS_GUIDE,Ilotulituksen kuvaus
CAMMODE_FIREWORKS_GUIDE_2,koko komeudessaan
CAMMODE_HIGHSENSITIVITY,Suuri herkkyys
CAMMODE_HIGHSENSITIVITY_GUIDE,Älä käytä salamaa vähässä
CAMMODE_HIGHSENSITIVITY_GUIDE_2,valossa: pienempi sumenn.
CAMMODE_HIGHSPEEDSHUTTER,Nopea suljin
