CAMMENU_0EV,0EV
CAMMENU_100,100
CAMMENU_10M,1.0 m
CAMMENU_1600,1600
CAMMENU_200,200
CAMMENU_30M,3.0 m
CAMMENU_3200,3200
CAMMENU_400,400
CAMMENU_70M,7.0 m
CAMMENU_80,80
CAMMENU_800,800
CAMMENU_BRK_03EV,BRK±0,3EV
CAMMENU_BRK_07EV,BRK±0,7EV
CAMMENU_BRK_10EV,BRK±1,0EV
CAMMENU_BURST,Rafale
CAMMENU_BURST_BRK03EV_GUIDE,Prenez 3 photos à 0,3 EV
CAMMENU_BURST_BRK03EV_GUIDE_2,d'intervalle
CAMMENU_BURST_BRK07EV_GUIDE,Prenez 3 photos à 0,7 EV
CAMMENU_BURST_BRK07EV_GUIDE_2,d'intervalle
CAMMENU_BURST_BRK10EV_GUIDE,Prenez 3 photos à 1,0 EV
CAMMENU_BURST_BRK10EV_GUIDE_2,d'intervalle
CAMMENU_BURST_OFF_GUIDE,Prenez une photo par
CAMMENU_BURST_OFF_GUIDE_2,pression du déclencheur
CAMMENU_BURST_ON_GUIDE,Prenez des photos en rafale
CAMMENU_BURST_ON_GUIDE_2,avec le déclencheur enfoncé
CAMMENU_CENTER,Centre
CAMMENU_CENTERAF,AF centre
CAMMENU_CLOSEEYE,Atténuation yeux fermés
CAMMENU_CLOSEEYE_AUTO_GUIDE,Analyse des yeux afin
CAMMENU_CLOSEEYE_AUTO_GUIDE_2,d'éviter les yeux fermés
CAMMENU_CLOSEEYE_OFF_GUIDE,Désactiver Atténuation
CAMMENU_CLOSEEYE_OFF_GUIDE_2,Yeux fermés
CAMMENU_COLOR,Mode couleur
CAMMENU_COLOR_BW,N&B
CAMMENU_COLOR_BW_GUIDE,Rend les images noires
CAMMENU_COLOR_BW_GUIDE_2,et blanches
CAMMENU_COLOR_NORMAL_GUIDE,Photographier en mode
CAMMENU_COLOR_NORMAL_GUIDE_2,couleur normal
CAMMENU_COLOR_SEPIA,Sépia
CAMMENU_COLOR_SEPIA_GUIDE,Simule la couleur dans les
CAMMENU_COLOR_SEPIA_GUIDE_2,photos anciennes
CAMMENU_COLOR_VIVID,Éclatant
CAMMENU_COLOR_VIVID_GUIDE,Donne une couleur profonde
CAMMENU_COLOR_VIVID_GUIDE_2,et éclatante à l'image
CAMMENU_CONTINUOUS,Rafale
CAMMENU_DRO,DRO
CAMMENU_DRO_ADV,Avancé
CAMMENU_DRO_ADV_GUIDE,Récupérer détails ombre
CAMMENU_DRO_ADV_GUIDE_2,sans perdre hautes lumières
CAMMENU_DRO_OFF_GUIDE,Ne pas récupérer détails
CAMMENU_DRO_OFF_GUIDE_2,ombre
CAMMENU_DRO_PLUS,DRO plus
CAMMENU_DRO_STANDARD_GUIDE,Récupérer détails image
CAMMENU_DRO_STANDARD_GUIDE_2,dans zone d'ombre
CAMMENU_DRO_STD,DRO standard
CAMMENU_EV,EV
CAMMENU_EV2,EV
CAMMENU_EV_GUIDE,Ajuster la luminosité (＋)
CAMMENU_EV_GUIDE2,Ajuster la luminosité (＋)
CAMMENU_EV_GUIDE2_2,et l'obscurité (－) de l'image
CAMMENU_EV_GUIDE_2,et l'obscurité (－) de l'image
CAMMENU_FACE,Détection de visage
CAMMENU_FACE_ADULT,Priorité adulte
CAMMENU_FACE_ADULT_GUIDE,Mise au point avec priorité
CAMMENU_FACE_ADULT_GUIDE_2,sur visage adulte
CAMMENU_FACE_CHILD,Priorité enfant
CAMMENU_FACE_CHILD_GUIDE,Mise au point avec priorité
CAMMENU_FACE_CHILD_GUIDE_2,sur visage enfant
CAMMENU_FACE_ON_GUIDE,Donner la priorité à la mise
CAMMENU_FACE_ON_GUIDE_2,au point sur les visages
CAMMENU_FACE_TOUCH_GUIDE,N'activer détection de visage
CAMMENU_FACE_TOUCH_GUIDE_2,que si le visage est effleuré
CAMMENU_FLASHLEVEL,Niv. flash
CAMMENU_FLASHLEVEL_DOWN_GUIDE,Prise de vue avec une
CAMMENU_FLASHLEVEL_DOWN_GUIDE_2,intensité de flash inférieure
CAMMENU_FLASHLEVEL_NORMAL_GUIDE,Prise de vue avec une
CAMMENU_FLASHLEVEL_NORMAL_GUIDE_2,intensité de flash standard
CAMMENU_FLASHLEVEL_UP_GUIDE,Prise de vue avec une
CAMMENU_FLASHLEVEL_UP_GUIDE_2,intensité de flash supérieure
CAMMENU_FLASH_SYNCHRO,Sync lente
CAMMENU_FOCUS,Mise au P
CAMMENU_FOUCS_10M_GUIDE,Régler la mise au point
CAMMENU_FOUCS_10M_GUIDE_2,à environ 1,0 m
CAMMENU_FOUCS_30M_GUIDE,Régler la mise au point
CAMMENU_FOUCS_30M_GUIDE_2,à environ 3,0 m
CAMMENU_FOUCS_70M_GUIDE,Régler la mise au point
CAMMENU_FOUCS_70M_GUIDE_2,à environ 7,0 m
CAMMENU_FOUCS_CENTER_GUIDE,Mise au point automatique
CAMMENU_FOUCS_CENTER_GUIDE_2,sur un sujet placé au centre
CAMMENU_FOUCS_INFINITY_GUIDE,Régler la mise au point
CAMMENU_FOUCS_INFINITY_GUIDE_2,à une distance illimitée
CAMMENU_FOUCS_MANUAL_GUIDE,Régler manuellement la mise
CAMMENU_FOUCS_MANUAL_GUIDE_2,au point
CAMMENU_FOUCS_MULTI_GUIDE,Mise au point automatique
CAMMENU_FOUCS_MULTI_GUIDE_2,sur toute l'image
CAMMENU_FOUCS_SPOT_GUIDE,Mise au point automatique
CAMMENU_FOUCS_SPOT_GUIDE_2,sur un point central
CAMMENU_FOUCS_TSPOT_GUIDE,Mise au point automatique
CAMMENU_FOUCS_TSPOT_GUIDE_2,en touchant un point d'écran
CAMMENU_IMAGESIZE,Taille Img
CAMMENU_IMAGESIZE_L,Grande
CAMMENU_IMAGESIZE_S,Petite
CAMMENU_INFINITY,∞
CAMMENU_ISO,ISO
CAMMENU_ISO_100_GUIDE,Régler la sensibilité
CAMMENU_ISO_100_GUIDE_2,sur 100 ISO
CAMMENU_ISO_1600_GUIDE,Régler la sensibilité
CAMMENU_ISO_1600_GUIDE_2,sur 1600 ISO
CAMMENU_ISO_200_GUIDE,Régler la sensibilité
CAMMENU_ISO_200_GUIDE_2,sur 200 ISO
CAMMENU_ISO_3200_GUIDE,Régler la sensibilité
CAMMENU_ISO_3200_GUIDE_2,sur 3200 ISO
CAMMENU_ISO_400_GUIDE,Régler la sensibilité
CAMMENU_ISO_400_GUIDE_2,sur 400 ISO
CAMMENU_ISO_64_GUIDE,Régler la sensibilité
CAMMENU_ISO_64_GUIDE_2,sur 64 ISO
CAMMENU_ISO_800_GUIDE,Régler la sensibilité
CAMMENU_ISO_800_GUIDE_2,sur 800 ISO
CAMMENU_ISO_80_GUIDE,Régler la sensibilité
CAMMENU_ISO_80_GUIDE_2,sur 80 ISO
CAMMENU_ISO_AUTO_GUIDE,Réglage automatique
CAMMENU_ISO_AUTO_GUIDE_2,de la sensibilité
CAMMENU_M03EV,-0.3EV
CAMMENU_M07EV,-0.7EV
CAMMENU_M10EV,-1.0EV
CAMMENU_M13EV,-1.3EV
CAMMENU_M17EV,-1.7EV
CAMMENU_M20EV,-2.0EV
CAMMENU_MACRO,Macro
CAMMENU_MENU,Menu
CAMMENU_METERINGMODE,Mode de mesure
CAMMENU_METERING_CENTER_GUIDE,Exposition basée sur la
CAMMENU_METERING_CENTER_GUIDE_2,luminosité au centre de l'img
CAMMENU_METERING_MULTI_GUIDE,Exposition équilibrée
CAMMENU_METERING_MULTI_GUIDE_2,sur toute l'image
CAMMENU_METERING_SPOT_GUIDE,Exposition basée sur la
CAMMENU_METERING_SPOT_GUIDE_2,luminosité d'un point central
CAMMENU_MINUS,－
CAMMENU_MULTI,Multi
CAMMENU_MULTIAF,AF multi
CAMMENU_NORMAL_CAP,Normal
CAMMENU_P03EV,+0.3EV
CAMMENU_P07EV,+0.7EV
CAMMENU_P10EV,+1.0EV
CAMMENU_P13EV,+1.3EV
CAMMENU_P17EV,+1.7EV
CAMMENU_P20EV,+2.0EV
CAMMENU_PLUS,＋
CAMMENU_RECMODE,Mode ENR
CAMMENU_RECOGNITION,Reconnaissance de scène
CAMMENU_RECOGNITION_ADV_GUIDE,Prise auto autre photo en
CAMMENU_RECOGNITION_ADV_GUIDE2,Prise auto autre photo en
CAMMENU_RECOGNITION_ADV_GUIDE2_2,nocturne ou contre-éclairage
CAMMENU_RECOGNITION_ADV_GUIDE_2,nocturne ou contre-éclairage
CAMMENU_RECOGNITION_AUTO2_GUIDE,Prise de vue optimale
CAMMENU_RECOGNITION_AUTO2_GUIDE_2,pour la scène
CAMMENU_RECOGNITION_AUTO_GUIDE,Prise de vue optimale en
CAMMENU_RECOGNITION_AUTO_GUIDE_2,nocturne ou contre-éclairage
CAMMENU_RECOGNITION_OFF_GUIDE,Désactiver la
CAMMENU_RECOGNITION_OFF_GUIDE_2,reconnaissance de scène
CAMMENU_REDEYEREDUCTION,Attén yeux roug
CAMMENU_REDEYE_FACE_GUIDE,Atténuation auto yeux rouges
CAMMENU_REDEYE_FACE_GUIDE_2,à la détection de visages
CAMMENU_REDEYE_OFF_GUIDE,Atténuation des yeux rouges
CAMMENU_REDEYE_OFF_GUIDE_2,désactivée
CAMMENU_REDEYE_ON_GUIDE,Préflash pour atténuer yeux
CAMMENU_REDEYE_ON_GUIDE_2,rouges avec flash
CAMMENU_REMAIN_NUMBER,Capacité appr. image
CAMMENU_REMAIN_TIME,Temps restant approx
CAMMENU_SATURATION_DOWN_GUIDE,Prendre images avec saturat.
CAMMENU_SATURATION_DOWN_GUIDE_2,couleurs plus basse
CAMMENU_SATURATION_NORMAL_GUIDE,Régler la saturation des
CAMMENU_SATURATION_NORMAL_GUIDE_2,couleurs sur Normal
CAMMENU_SATURATION_UP_GUIDE,Prendre images avec saturat.
CAMMENU_SATURATION_UP_GUIDE_2,couleurs plus élevée
CAMMENU_SELFTIMER,Retardateur
CAMMENU_SELFTIMER_10SEC,Retardateur 10 sec
CAMMENU_SELFTIMER_2SEC,Retardateur 2 sec
CAMMENU_SELFTIMER_OFF,Retardat. désactivé
CAMMENU_SETUP,Réglages
CAMMENU_SETUP_CHANGE_GUIDE,Aller sur Réglages Pr de vue
CAMMENU_SETUP_CHANGE_GUIDE_2,Affichage
CAMMENU_SHOOTING,Pr de vue
CAMMENU_SIZE_10MEG,10M
CAMMENU_SIZE_12M_GUIDE,Pour impressions A3+ max.
CAMMENU_SIZE_12M_GUIDE_2,
CAMMENU_SIZE_16_9,16:9
CAMMENU_SIZE_16_9_2MEG_GUIDE,Pour visualisation sur HDTV
CAMMENU_SIZE_16_9_2MEG_GUIDE_2,
CAMMENU_SIZE_16_9_A3_GUIDE,Pour visualis. sur HDTV et
CAMMENU_SIZE_16_9_A3_GUIDE_2,impress. jusqu'à A3(11x17")
CAMMENU_SIZE_16_9_A4_GUIDE,Pour visualis. sur HDTV et
CAMMENU_SIZE_16_9_A4_GUIDE_2,impress. jusqu'à A4(8x10")
CAMMENU_SIZE_16_9_GUIDE,Photographier avec
CAMMENU_SIZE_16_9_GUIDE_2,rapport HDTV
CAMMENU_SIZE_320,320
CAMMENU_SIZE_320_GUIDE,Prenez de petites photos
CAMMENU_SIZE_320_GUIDE_2,à joindre aux e-mails
CAMMENU_SIZE_3MEG,3M
CAMMENU_SIZE_3M_GUIDE,Pour impressions de
CAMMENU_SIZE_3M_GUIDE_2,10x15 cm ou 13x18 cm max.
CAMMENU_SIZE_3_2_8MEG,3:2(8M)
CAMMENU_SIZE_3_2_GUIDE,Photographier avec
CAMMENU_SIZE_3_2_GUIDE_2,rapport 3:2
CAMMENU_SIZE_4_3,4:3
CAMMENU_SIZE_5MEG,5M
CAMMENU_SIZE_5M_GUIDE,Pour impressions A4 max.
CAMMENU_SIZE_5M_GUIDE_2,
CAMMENU_SIZE_640FINE,640(Fine)
CAMMENU_SIZE_640FINE_GUIDE,Filmer des vidéos de qualité
CAMMENU_SIZE_640FINE_GUIDE_2,élevée pour affi. sur la TV
CAMMENU_SIZE_640STD,640(Standard)
CAMMENU_SIZE_640STD_GUIDE,Filmer des vidéos de qualité
CAMMENU_SIZE_640STD_GUIDE_2,standard pour affi. sur la TV
CAMMENU_SIZE_8M_GUIDE,Pour impressions A3 max.
CAMMENU_SIZE_8M_GUIDE_2,
CAMMENU_SIZE_HD_2MEG,16:9(2M)
CAMMENU_SIZE_HD_7MEG,16:9(7M)
CAMMENU_SIZE_HD_VGA,16:9(VGA)
CAMMENU_SIZE_VGA,VGA
CAMMENU_SIZE_VGA_GUIDE,Prenez de petites photos
CAMMENU_SIZE_VGA_GUIDE_2,à joindre aux e-mails
CAMMENU_SMILE,Détection de sourire
CAMMENU_SMILESHUTTER_HIGH_GUIDE,Prise de vue avec détection
CAMMENU_SMILESHUTTER_HIGH_GUIDE_2,sourire à sensibilité élevée
CAMMENU_SMILESHUTTER_LOW_GUIDE,Prise de vue avec détection
CAMMENU_SMILESHUTTER_LOW_GUIDE_2,de sourire à sensibilité faible
CAMMENU_SMILESHUTTER_NORMAL_GUIDE,Prise de vue avec détection
CAMMENU_SMILESHUTTER_NORMAL_GUIDE_2,sourire à sensibilité normale
CAMMENU_SMILE_DETECTION,Sensibilité sourire
CAMMENU_SPOT,Spot
CAMMENU_SPOTAF,AF spot
CAMMENU_STEADYSHOT,SteadyShot
CAMMENU_STEADYSHOT_CONT_GUIDE,SteadyShot toujours activé
CAMMENU_STEADYSHOT_CONT_GUIDE_2,
CAMMENU_STEADYSHOT_OFF_GUIDE,SteadyShot désactivé
CAMMENU_STEADYSHOT_OFF_GUIDE_2,
CAMMENU_STEADYSHOT_SHOOT_GUIDE,SteadyShot ON si déclench.
CAMMENU_STEADYSHOT_SHOOT_GUIDE_2,enfoncé à mi-course
CAMMENU_TOUCH,Lorsque effleuré
CAMMENU_WATERWB,Balance blanc sous l'eau
CAMMENU_WATERWB_AUTO_GUIDE,Réglage auto de balance
CAMMENU_WATERWB_AUTO_GUIDE_2,blanc pr prise sous l'eau
CAMMENU_WATERWB_FLASH_GUIDE,À utiliser lors de la prise de
CAMMENU_WATERWB_FLASH_GUIDE_2,vue sous l'eau avec flash
CAMMENU_WATERWB_WATER1,Sous l'eau 1
CAMMENU_WATERWB_WATER1_GUIDE,À utiliser pour prise de
CAMMENU_WATERWB_WATER1_GUIDE_2,vue dans eau bleue
CAMMENU_WATERWB_WATER2,Sous l'eau 2
CAMMENU_WATERWB_WATER2_GUIDE,À utiliser pour prise de
CAMMENU_WATERWB_WATER2_GUIDE_2,vue dans eau verte
CAMMENU_WB2,Bal blanc
CAMMENU_WB_AUTO_GUIDE,Réglage automatique pour
CAMMENU_WB_AUTO_GUIDE_2,des couleurs naturelles
CAMMENU_WB_CLOUDY,Nuageux
CAMMENU_WB_CLOUDY_GUIDE,À utiliser par temps nuageux
CAMMENU_WB_CLOUDY_GUIDE_2,ou à l'ombre
CAMMENU_WB_DAYLIGHT,Lumière jour
CAMMENU_WB_DAYLIGHT_GUIDE,À utiliser pour scènes de
CAMMENU_WB_DAYLIGHT_GUIDE_2,nuit ou extérieurs ensoleillés
CAMMENU_WB_FLASH,Flash
CAMMENU_WB_FLASH_GUIDE,À utiliser lors de la prise de
CAMMENU_WB_FLASH_GUIDE_2,vue avec flash
CAMMENU_WB_FLUORESCENT1,Éclairage fluorescent 1
CAMMENU_WB_FLUORESCENT1_GUIDE,À utiliser sous un éclairage
CAMMENU_WB_FLUORESCENT1_GUIDE_2,fluorescent blanc
CAMMENU_WB_FLUORESCENT2,Éclairage fluorescent 2
CAMMENU_WB_FLUORESCENT2_GUIDE,À utiliser sous un éclairage
CAMMENU_WB_FLUORESCENT2_GUIDE_2,blanc fluorescent naturel
CAMMENU_WB_FLUORESCENT3,Éclairage fluorescent 3
CAMMENU_WB_FLUORESCENT3_GUIDE,À utiliser sous un éclairage
CAMMENU_WB_FLUORESCENT3_GUIDE_2,blanc fluorescent de jour
CAMMENU_WB_INCANDESCENT,Incandescent
CAMMENU_WB_INCANDESCENT_GUIDE,À utiliser sous éclairage
CAMMENU_WB_INCANDESCENT_GUIDE_2,vidéo ou incandescent
CAMMODE_AUTO,Réglage automatique
CAMMODE_AUTO_GUIDE,Pour prise de vue
CAMMODE_AUTO_GUIDE_2,avec param. auto
CAMMODE_BEACH,Plage
CAMMODE_BEACH_GUIDE,Scène bord de mer
CAMMODE_BEACH_GUIDE_2,riche couleur bleue
CAMMODE_COOKING,Gastronomie
CAMMODE_COOKING_GUIDE,Prise de vue naturelle
CAMMODE_COOKING_GUIDE_2,d'aliments
CAMMODE_EASY,Prise de vue facile
CAMMODE_EASY_GUIDE,Prise de vue entièrement
CAMMODE_EASY_GUIDE_2,auto avec affichage simplifié
CAMMODE_FIREWORKS,Feux d'artifice
CAMMODE_FIREWORKS_GUIDE,Feux d'artifice dans
CAMMODE_FIREWORKS_GUIDE_2,toute leur splendeur
CAMMODE_HIGHSENSITIVITY,Sensibil élevée
CAMMODE_HIGHSENSITIVITY_GUIDE,Pr de vue sans flash faible
CAMMODE_HIGHSENSITIVITY_GUIDE_2,lumière réduisant le flou
CAMMODE_HIGHSPEEDSHUTTER,Obturat rapide
CAMMODE_HIGHSPEEDSHUTTER_GUIDE,Instantané d'un
CAMMODE_HIGHSPEEDSHUTTER_GUIDE_2,sujet en mouvement
CAMMODE_LANDSCAPE,Paysage
CAMMODE_LANDSCAPE_GUIDE,Paysage avec mise
CAMMODE_LANDSCAPE_GUIDE_2,au point distante
CAMMODE_MOVIE,Mode Film
CAMMODE_MOVIE_GUIDE,Enregistrer film
CAMMODE_MOVIE_GUIDE_2,avec son
CAMMODE_PAUTO,Programme Auto
CAMMODE_PAUTO_GUIDE,Exposition auto avec
CAMMODE_PAUTO_GUIDE_2,param. réglables
CAMMODE_SNOW,Neige
