CAMMENU_0EV,0EV
CAMMENU_100,100
CAMMENU_10M,1.0 m
CAMMENU_1600,1600
CAMMENU_200,200
CAMMENU_30M,3.0 m
CAMMENU_3200,3200
CAMMENU_400,400
CAMMENU_70M,7.0 m
CAMMENU_80,80
CAMMENU_800,800
CAMMENU_BRK_03EV,BRK±0.3EV
CAMMENU_BRK_07EV,BRK±0.7EV
CAMMENU_BRK_10EV,BRK±1.0EV
CAMMENU_BURST,Ριπή
CAMMENU_BURST_BRK03EV_GUIDE,Για 3 λήψεις
CAMMENU_BURST_BRK03EV_GUIDE_2,με διαφορά 0,3 EV
CAMMENU_BURST_BRK07EV_GUIDE,Για 3 λήψεις
CAMMENU_BURST_BRK07EV_GUIDE_2,με διαφορά 0,7 EV
CAMMENU_BURST_BRK10EV_GUIDE,Για 3 λήψεις
CAMMENU_BURST_BRK10EV_GUIDE_2,με διαφορά 1,0 EV
CAMMENU_BURST_OFF_GUIDE,Λήψη μία φορά με κάθε
CAMMENU_BURST_OFF_GUIDE_2,πάτημα του κλείστρου
CAMMENU_BURST_ON_GUIDE,Συνεχής λήψη εφόσον
CAMMENU_BURST_ON_GUIDE_2,είναι πατημένο το κλείστρο
CAMMENU_CENTER,Κεντρική
CAMMENU_CENTERAF,Κεντρική AF
CAMMENU_CLOSEEYE,Μείωση κλειστών ματιών
CAMMENU_CLOSEEYE_AUTO_GUIDE,Ανάλυση ματιών για
CAMMENU_CLOSEEYE_AUTO_GUIDE_2,αποφυγή κλειστών ματιών
CAMMENU_CLOSEEYE_OFF_GUIDE,Απενεργοποίηση μείωσης
CAMMENU_CLOSEEYE_OFF_GUIDE_2,κλειστών ματιών
CAMMENU_COLOR,Λειτουργ. χρώματος
CAMMENU_COLOR_BW,Ασπρόμαυρα
CAMMENU_COLOR_BW_GUIDE,Κάνει τις εικόνες
CAMMENU_COLOR_BW_GUIDE_2,ασπρόμαυρες
CAMMENU_COLOR_NORMAL_GUIDE,Λήψη σε τυπική
CAMMENU_COLOR_NORMAL_GUIDE_2,λειτουργία χρώματος
CAMMENU_COLOR_SEPIA,Σέπια
CAMMENU_COLOR_SEPIA_GUIDE,Προσομοιώνει τα χρώματα
CAMMENU_COLOR_SEPIA_GUIDE_2,παλιών φωτογραφιών
CAMMENU_COLOR_VIVID,Ζωντανά
CAMMENU_COLOR_VIVID_GUIDE,Ρυθμίζει την εικόνα σε
CAMMENU_COLOR_VIVID_GUIDE_2,βαθιά και ζωντανά χρώματα
CAMMENU_CONTINUOUS,Συνεχόμενα
CAMMENU_DRO,DRO
CAMMENU_DRO_ADV,Προηγμένο
CAMMENU_DRO_ADV_GUIDE,Ανάκτηση λεπτομ. σκιάς
CAMMENU_DRO_ADV_GUIDE_2,χωρίς απώλεια τονισμού
CAMMENU_DRO_OFF_GUIDE,Καμία ανάκτηση της
CAMMENU_DRO_OFF_GUIDE_2,λεπτομέρειας σκιάς
CAMMENU_DRO_PLUS,DRO plus
CAMMENU_DRO_STANDARD_GUIDE,Ανάκτηση λεπτομ. εικόνας
CAMMENU_DRO_STANDARD_GUIDE_2,που χάθηκε σε περιοχή σκιάς
CAMMENU_DRO_STD,DRO standard
CAMMENU_EV,EV
CAMMENU_EV2,EV
CAMMENU_EV_GUIDE,Ρύθμιση φωτεινότητας
CAMMENU_EV_GUIDE2,Ρύθμιση φωτεινότητας
CAMMENU_EV_GUIDE2_2,εικόνας (＋) (－)
CAMMENU_EV_GUIDE_2,εικόνας (＋) (－)
CAMMENU_FACE,Ανίχνευση προσώπου
CAMMENU_FACE_ADULT,Προτεραιότητα ενηλίκων
CAMMENU_FACE_ADULT_GUIDE,Εστίαση με προτεραιότητα
CAMMENU_FACE_ADULT_GUIDE_2,σε πρόσωπα ενηλίκων
CAMMENU_FACE_CHILD,Προτεραιότητα παιδιών
CAMMENU_FACE_CHILD_GUIDE,Εστίαση με προτεραιότητα
CAMMENU_FACE_CHILD_GUIDE_2,σε πρόσωπα παιδιών
CAMMENU_FACE_ON_GUIDE,Προτεραιότητα στην εστίαση
CAMMENU_FACE_ON_GUIDE_2,των προσώπων
CAMMENU_FACE_TOUCH_GUIDE,Ενεργή ανίχνευση προσώπου
CAMMENU_FACE_TOUCH_GUIDE_2,μόνο όταν αγγιχθεί πρόσωπο
CAMMENU_FLASHLEVEL, Ένταση φλας
CAMMENU_FLASHLEVEL_DOWN_GUIDE,Λήψη με χαμηλή
CAMMENU_FLASHLEVEL_DOWN_GUIDE_2,ένταση φλας
CAMMENU_FLASHLEVEL_NORMAL_GUIDE,Λήψη με τυπική
CAMMENU_FLASHLEVEL_NORMAL_GUIDE_2,ένταση φλας
CAMMENU_FLASHLEVEL_UP_GUIDE,Λήψη με υψηλή
CAMMENU_FLASHLEVEL_UP_GUIDE_2,ένταση φλας
CAMMENU_FLASH_SYNCHRO,Αργός συγχρονισμός
CAMMENU_FOCUS,Εστίαση
CAMMENU_FOUCS_10M_GUIDE,Ρύθμιση εστίασης
CAMMENU_FOUCS_10M_GUIDE_2,περίπου 1,0 μέτρο μακριά
CAMMENU_FOUCS_30M_GUIDE,Ρύθμιση εστίασης
CAMMENU_FOUCS_30M_GUIDE_2,περίπου 3,0 μέτρα μακριά
CAMMENU_FOUCS_70M_GUIDE,Ρύθμιση εστίασης
CAMMENU_FOUCS_70M_GUIDE_2,περίπου 7,0 μέτρα μακριά
CAMMENU_FOUCS_CENTER_GUIDE,Αυτόματη εστίαση σε θέμα
CAMMENU_FOUCS_CENTER_GUIDE_2,στο κέντρο
CAMMENU_FOUCS_INFINITY_GUIDE,Ρύθμιση εστίασης
CAMMENU_FOUCS_INFINITY_GUIDE_2,στο άπειρο
CAMMENU_FOUCS_MANUAL_GUIDE,Για χειροκίνητη ρύθμιση
CAMMENU_FOUCS_MANUAL_GUIDE_2,της εστίασης
CAMMENU_FOUCS_MULTI_GUIDE,Αυτόματη εστίαση
CAMMENU_FOUCS_MULTI_GUIDE_2,σε ολόκληρο το καρέ
CAMMENU_FOUCS_SPOT_GUIDE,Αυτόματη εστίαση σε
CAMMENU_FOUCS_SPOT_GUIDE_2,κεντρικό σημείο
CAMMENU_FOUCS_TSPOT_GUIDE,Αυτόματη εστίαση μ' άγγιγμα
CAMMENU_FOUCS_TSPOT_GUIDE_2,κάποιου σημείου στην οθόνη
CAMMENU_IMAGESIZE,Μέγ. εικόνας
CAMMENU_IMAGESIZE_L,Μεγάλο
CAMMENU_IMAGESIZE_S,Μικρό
CAMMENU_INFINITY,∞
CAMMENU_ISO,ISO
CAMMENU_ISO_100_GUIDE,Ρύθμιση ευαισθησίας
CAMMENU_ISO_100_GUIDE_2,σε ISO 100
CAMMENU_ISO_1600_GUIDE,Ρύθμιση ευαισθησίας
CAMMENU_ISO_1600_GUIDE_2,σε ISO 1600
CAMMENU_ISO_200_GUIDE,Ρύθμιση ευαισθησίας
CAMMENU_ISO_200_GUIDE_2,σε ISO 200
CAMMENU_ISO_3200_GUIDE,Ρύθμιση ευαισθησίας
CAMMENU_ISO_3200_GUIDE_2,σε ISO 3200
CAMMENU_ISO_400_GUIDE,Ρύθμιση ευαισθησίας
CAMMENU_ISO_400_GUIDE_2,σε ISO 400
CAMMENU_ISO_64_GUIDE,Ρύθμιση ευαισθησίας
CAMMENU_ISO_64_GUIDE_2,σε ISO 64
CAMMENU_ISO_800_GUIDE,Ρύθμιση ευαισθησίας
CAMMENU_ISO_800_GUIDE_2,σε ISO 800
CAMMENU_ISO_80_GUIDE,Ρύθμιση ευαισθησίας
CAMMENU_ISO_80_GUIDE_2,σε ISO 80
CAMMENU_ISO_AUTO_GUIDE,Αυτόματη προσαρμογή
CAMMENU_ISO_AUTO_GUIDE_2,ευαισθησίας
CAMMENU_M03EV,-0.3EV
CAMMENU_M07EV,-0.7EV
CAMMENU_M10EV,-1.0EV
CAMMENU_M13EV,-1.3EV
CAMMENU_M17EV,-1.7EV
CAMMENU_M20EV,-2.0EV
CAMMENU_MACRO,Μάκρο
CAMMENU_MENU,Μενού
CAMMENU_METERINGMODE,Λειτουργία φωτομέτρου
CAMMENU_METERING_CENTER_GUIDE,Η έκθεση βασίζεται σε
CAMMENU_METERING_CENTER_GUIDE_2,φωτεινότητα κέντρου
CAMMENU_METERING_MULTI_GUIDE,Η έκθεση βασίζεται σε
CAMMENU_METERING_MULTI_GUIDE_2,σε ολόκληρο το καρέ
CAMMENU_METERING_SPOT_GUIDE,Η έκθεση βασίζεται σε φω-
CAMMENU_METERING_SPOT_GUIDE_2,τεινότητα κεντρικού σημείου
CAMMENU_MINUS,－
CAMMENU_MULTI,Πολλαπλή
CAMMENU_MULTIAF,Πολλαπλή AF
CAMMENU_NORMAL_CAP,Normal
CAMMENU_P03EV,+0.3EV
CAMMENU_P07EV,+0.7EV
CAMMENU_P10EV,+1.0EV
CAMMENU_P13EV,+1.3EV
CAMMENU_P17EV,+1.7EV
CAMMENU_P20EV,+2.0EV
CAMMENU_PLUS,＋
CAMMENU_RECMODE,Λειτουργία ΕΓΓ
CAMMENU_RECOGNITION,Αναγνώριση σκηνής
CAMMENU_RECOGNITION_ADV_GUIDE,Μία ακόμη λήψη αυτόματα
CAMMENU_RECOGNITION_ADV_GUIDE2,Μία ακόμη λήψη αυτόματα
CAMMENU_RECOGNITION_ADV_GUIDE2_2,σε ημίφως ή πίσω φωτισμό
CAMMENU_RECOGNITION_ADV_GUIDE_2,σε ημίφως ή πίσω φωτισμό
CAMMENU_RECOGNITION_AUTO2_GUIDE,Λήψη με βέλτιστες ρυθμίσεις
CAMMENU_RECOGNITION_AUTO2_GUIDE_2,για τη σκηνή
CAMMENU_RECOGNITION_AUTO_GUIDE,Λήψη με βέλτιστες ρυθμίσεις
CAMMENU_RECOGNITION_AUTO_GUIDE_2,σε ημίφως ή πίσω φωτισμό
CAMMENU_RECOGNITION_OFF_GUIDE, Όχι αναγνώριση σκηνής
CAMMENU_RECOGNITION_OFF_GUIDE_2,
CAMMENU_REDEYEREDUCTION,Μείωση κόκκινων ματιών
CAMMENU_REDEYE_FACE_GUIDE,Αυτόματη μείωσ κόκκ ματιών
CAMMENU_REDEYE_FACE_GUIDE_2,όταν ανιχνεύονται πρόσωπα
CAMMENU_REDEYE_OFF_GUIDE,Η μείωση κόκκινων ματιών
CAMMENU_REDEYE_OFF_GUIDE_2,είναι ανενεργή
CAMMENU_REDEYE_ON_GUIDE,Προ-φλας για μείωση κόκκιν
CAMMENU_REDEYE_ON_GUIDE_2,ματιών κατά τη χρήση φλας
CAMMENU_REMAIN_NUMBER,Χωρητικ εικόνας περίπου
CAMMENU_REMAIN_TIME,Εναπομ χρόνος περίπου
CAMMENU_SATURATION_DOWN_GUIDE,Λήψη εικόνων με χαμηλό-
CAMMENU_SATURATION_DOWN_GUIDE_2,τερο κορεσμό χρώματος
CAMMENU_SATURATION_NORMAL_GUIDE,Κορεσμός χρώματος σε
CAMMENU_SATURATION_NORMAL_GUIDE_2,Κανονικό
CAMMENU_SATURATION_UP_GUIDE,Λήψη εικόνων με υψηλό-
CAMMENU_SATURATION_UP_GUIDE_2,τερο κορεσμό χρώματος
CAMMENU_SELFTIMER,Χρονοδιακόπτης
CAMMENU_SELFTIMER_10SEC,Χρονοδιακόπτης 10 δευτ.
CAMMENU_SELFTIMER_2SEC,Χρονοδιακόπτης 2 δευτ.
CAMMENU_SELFTIMER_OFF,Χρονοδιακόπτης ανενεργός
CAMMENU_SETUP,Διαμόρφωση
CAMMENU_SETUP_CHANGE_GUIDE,Μετάβ. σε Ρυθμίσεις λήψης
CAMMENU_SETUP_CHANGE_GUIDE_2,Προβολή
CAMMENU_SHOOTING,Λήψη
CAMMENU_SIZE_10MEG,10M
CAMMENU_SIZE_12M_GUIDE,Για εκτυπώσεις έως
CAMMENU_SIZE_12M_GUIDE_2,A3+
CAMMENU_SIZE_16_9,16:9
CAMMENU_SIZE_16_9_2MEG_GUIDE,Για προβολή σε HDTV
CAMMENU_SIZE_16_9_2MEG_GUIDE_2,
CAMMENU_SIZE_16_9_A3_GUIDE,Για προβολή σε HDTV και
CAMMENU_SIZE_16_9_A3_GUIDE_2,εκτύπωση έως A3
CAMMENU_SIZE_16_9_A4_GUIDE,Για προβολή σε HDTV και
CAMMENU_SIZE_16_9_A4_GUIDE_2,εκτύπωση έως A4
CAMMENU_SIZE_16_9_GUIDE,Λήψη σε αναλογία
CAMMENU_SIZE_16_9_GUIDE_2,διαστάσεων HDTV
CAMMENU_SIZE_320,320
CAMMENU_SIZE_320_GUIDE,Λήψη σε μικρό μέγεθος
CAMMENU_SIZE_320_GUIDE_2,για επισύναψη email
CAMMENU_SIZE_3MEG,3M
CAMMENU_SIZE_3M_GUIDE,Για εκτυπώσεις έως 10x15 εκ.
CAMMENU_SIZE_3M_GUIDE_2,ή 13x18 εκ.
CAMMENU_SIZE_3_2_8MEG,3:2(8M)
CAMMENU_SIZE_3_2_GUIDE,Λήψη σε αναλογία
CAMMENU_SIZE_3_2_GUIDE_2,διαστάσεων 3:2
CAMMENU_SIZE_4_3,4:3
CAMMENU_SIZE_5MEG,5M
CAMMENU_SIZE_5M_GUIDE,Για εκτυπώσεις έως A4
CAMMENU_SIZE_5M_GUIDE_2,
CAMMENU_SIZE_640FINE,640(Υψηλή)
CAMMENU_SIZE_640FINE_GUIDE,Λήψη ταινίας υψηλής
CAMMENU_SIZE_640FINE_GUIDE_2,ποιότητας για προβολή σε TV
CAMMENU_SIZE_640STD,640(Τυπική)
CAMMENU_SIZE_640STD_GUIDE,Λήψη ταινίας τυπικής
CAMMENU_SIZE_640STD_GUIDE_2,ποιότητας για προβολή σε TV
CAMMENU_SIZE_8M_GUIDE,Για εκτυπώσεις έως A3
CAMMENU_SIZE_8M_GUIDE_2,
CAMMENU_SIZE_HD_2MEG,16:9(2M)
CAMMENU_SIZE_HD_7MEG,16:9(7M)
CAMMENU_SIZE_HD_VGA,16:9(VGA)
CAMMENU_SIZE_VGA,VGA
CAMMENU_SIZE_VGA_GUIDE,Λήψη μικρού μέγεθ εικόνας
CAMMENU_SIZE_VGA_GUIDE_2,για επισύναψη email
CAMMENU_SMILE,Ανίχνευση χαμόγελου
CAMMENU_SMILESHUTTER_HIGH_GUIDE,Λήψη με υψηλή ευαισθησία
CAMMENU_SMILESHUTTER_HIGH_GUIDE_2,της ανίχνευσης χαμόγελου
CAMMENU_SMILESHUTTER_LOW_GUIDE,Λήψη με χαμηλή ευαισθησία
CAMMENU_SMILESHUTTER_LOW_GUIDE_2,της ανίχνευσης χαμόγελου
CAMMENU_SMILESHUTTER_NORMAL_GUIDE,Λήψη με τυπική ευαισθησία
CAMMENU_SMILESHUTTER_NORMAL_GUIDE_2,της ανίχνευσης χαμόγελου
CAMMENU_SMILE_DETECTION,Ευαισθησία χαμόγελου
CAMMENU_SPOT,Σημειακή
CAMMENU_SPOTAF,Σημειακή AF
CAMMENU_STEADYSHOT,SteadyShot
CAMMENU_STEADYSHOT_CONT_GUIDE,SteadyShot πάντα ενεργό
CAMMENU_STEADYSHOT_CONT_GUIDE_2,
CAMMENU_STEADYSHOT_OFF_GUIDE,SteadyShot ανενεργό
CAMMENU_STEADYSHOT_OFF_GUIDE_2,
CAMMENU_STEADYSHOT_SHOOT_GUIDE,SteadyShot ενεργό όταν
CAMMENU_STEADYSHOT_SHOOT_GUIDE_2,κλείστρο είναι μισοπατημένο
CAMMENU_TOUCH, Όταν αγγίξετε
CAMMENU_WATERWB,Υποβρύχια ισορ. λευκού
CAMMENU_WATERWB_AUTO_GUIDE,Αυτόμ. ρύθμ. ισορροπίας
CAMMENU_WATERWB_AUTO_GUIDE_2,λευκού για υποβρύχια λήψη
CAMMENU_WATERWB_FLASH_GUIDE,Χρήση για υποβρύχια
CAMMENU_WATERWB_FLASH_GUIDE_2,λήψη με φλας
CAMMENU_WATERWB_WATER1,Υποβρύχια 1
CAMMENU_WATERWB_WATER1_GUIDE,Χρήση για λήψη
CAMMENU_WATERWB_WATER1_GUIDE_2,σε μπλε νερό
CAMMENU_WATERWB_WATER2,Υποβρύχια 2
CAMMENU_WATERWB_WATER2_GUIDE,Χρήση για λήψη
CAMMENU_WATERWB_WATER2_GUIDE_2,σε πράσινο νερό
CAMMENU_WB2,Ισορροπία λευκού
CAMMENU_WB_AUTO_GUIDE,Αυτόματη προσαρμογή
CAMMENU_WB_AUTO_GUIDE_2,για φυσικά χρώματα
CAMMENU_WB_CLOUDY,Συννεφιά
CAMMENU_WB_CLOUDY_GUIDE,Χρήση σε συννεφιά ή
CAMMENU_WB_CLOUDY_GUIDE_2,σε σκιά
CAMMENU_WB_DAYLIGHT,Φως ημέρας
CAMMENU_WB_DAYLIGHT_GUIDE,Χρήση σε σκηνικά υπαίθρου
CAMMENU_WB_DAYLIGHT_GUIDE_2,με ήλιο ή τοπία τη νύχτα
CAMMENU_WB_FLASH,Φλας
CAMMENU_WB_FLASH_GUIDE,Χρήση κατά τη λήψη
CAMMENU_WB_FLASH_GUIDE_2,με φλας
CAMMENU_WB_FLUORESCENT1,Φως φθορισμού 1
CAMMENU_WB_FLUORESCENT1_GUIDE,Χρήση υπό λευκό
CAMMENU_WB_FLUORESCENT1_GUIDE_2,φως φθορισμού
CAMMENU_WB_FLUORESCENT2,Φως φθορισμού 2
CAMMENU_WB_FLUORESCENT2_GUIDE,Χρήση υπό φυσικό λευκό
CAMMENU_WB_FLUORESCENT2_GUIDE_2,φως φθορισμού
CAMMENU_WB_FLUORESCENT3,Φως φθορισμού 3
CAMMENU_WB_FLUORESCENT3_GUIDE,Χρήση υπό λευκό
CAMMENU_WB_FLUORESCENT3_GUIDE_2,φως φθορισμού ημέρας
CAMMENU_WB_INCANDESCENT,Πυράκτωσης
CAMMENU_WB_INCANDESCENT_GUIDE,Χρήση υπό φως πυράκτωσης
