CAMMENU_0EV,0EV
CAMMENU_100,100
CAMMENU_10M,1.0 m
CAMMENU_1600,1600
CAMMENU_200,200
CAMMENU_30M,3.0 m
CAMMENU_3200,3200
CAMMENU_400,400
CAMMENU_70M,7.0 m
CAMMENU_80,80
CAMMENU_800,800
CAMMENU_BRK_03EV,BRK±0,3EV
CAMMENU_BRK_07EV,BRK±0,7EV
CAMMENU_BRK_10EV,BRK±1,0EV
CAMMENU_BURST,Raffica
CAMMENU_BURST_BRK03EV_GUIDE,Riprendi 3 riprese a 0,3 EV
CAMMENU_BURST_BRK03EV_GUIDE_2,una dall'altra
CAMMENU_BURST_BRK07EV_GUIDE,Riprendi 3 riprese a 0,7 EV
CAMMENU_BURST_BRK07EV_GUIDE_2,una dall'altra
CAMMENU_BURST_BRK10EV_GUIDE,Riprendi 3 riprese a 1,0 EV
CAMMENU_BURST_BRK10EV_GUIDE_2,una dall'altra
CAMMENU_BURST_OFF_GUIDE,Riprendi una volta per
CAMMENU_BURST_OFF_GUIDE_2,pressione del puls. di scatto
CAMMENU_BURST_ON_GUIDE,Riprendi continuam. mentre
CAMMENU_BURST_ON_GUIDE_2,il puls. di scatto è premuto
CAMMENU_CENTER,Centro
CAMMENU_CENTERAF,Centro AF
CAMMENU_CLOSEEYE,Riduzione degli occhi chiusi
CAMMENU_CLOSEEYE_AUTO_GUIDE,Analizza gli occhi per evitare
CAMMENU_CLOSEEYE_AUTO_GUIDE_2,gli occhi chiusi
CAMMENU_CLOSEEYE_OFF_GUIDE,Disattiva la riduzione
CAMMENU_CLOSEEYE_OFF_GUIDE_2,degli occhi chiusi
CAMMENU_COLOR,Modo colore
CAMMENU_COLOR_BW,B/N
CAMMENU_COLOR_BW_GUIDE,Crea le immagini
CAMMENU_COLOR_BW_GUIDE_2,in bianco e nero
CAMMENU_COLOR_NORMAL_GUIDE,Riprendi nel modo del colore
CAMMENU_COLOR_NORMAL_GUIDE_2,standard
CAMMENU_COLOR_SEPIA,Seppia
CAMMENU_COLOR_SEPIA_GUIDE,Riproduci i colori
CAMMENU_COLOR_SEPIA_GUIDE_2,delle vecchie foto
CAMMENU_COLOR_VIVID,Vivace
CAMMENU_COLOR_VIVID_GUIDE,Imposta l'immagine sul
CAMMENU_COLOR_VIVID_GUIDE_2,colore forte e vivace
CAMMENU_CONTINUOUS,Continua
CAMMENU_DRO,DRO
CAMMENU_DRO_ADV,Avanzato
CAMMENU_DRO_ADV_GUIDE,Ricupera dett. ombra senza
CAMMENU_DRO_ADV_GUIDE_2,perdere punti più luminosi
CAMMENU_DRO_OFF_GUIDE,Senza ricupero dett. ombra
CAMMENU_DRO_OFF_GUIDE_2,
CAMMENU_DRO_PLUS,DRO plus
CAMMENU_DRO_STANDARD_GUIDE,Ricupera dettaglio immagine
CAMMENU_DRO_STANDARD_GUIDE_2,perso nell'area dell'ombra
CAMMENU_DRO_STD,DRO standard
CAMMENU_EV,EV
CAMMENU_EV2,EV
CAMMENU_EV_GUIDE,Regola la luminosità (＋)
CAMMENU_EV_GUIDE2,Regola la luminosità (＋)
CAMMENU_EV_GUIDE2_2,e l'oscurità  (－) dell'imm.
CAMMENU_EV_GUIDE_2,e l'oscurità  (－) dell'imm.
CAMMENU_FACE,Rilevamento visi
CAMMENU_FACE_ADULT,Priorità adulti
CAMMENU_FACE_ADULT_GUIDE,Messa a fuoco con priorità
CAMMENU_FACE_ADULT_GUIDE_2,su visi di adulti
CAMMENU_FACE_CHILD,Priorità bambini
CAMMENU_FACE_CHILD_GUIDE,Messa a fuoco con priorità
CAMMENU_FACE_CHILD_GUIDE_2,su visi di bambini
CAMMENU_FACE_ON_GUIDE,Imposta priorità per mettere
CAMMENU_FACE_ON_GUIDE_2,a fuoco i visi delle persone
CAMMENU_FACE_TOUCH_GUIDE,Attiva rilevamento visi
CAMMENU_FACE_TOUCH_GUIDE_2,solo quando si tocca un viso
CAMMENU_FLASHLEVEL,Liv. Flash
CAMMENU_FLASHLEVEL_DOWN_GUIDE,Riprendi con intensità
CAMMENU_FLASHLEVEL_DOWN_GUIDE_2,inferiore del flash
CAMMENU_FLASHLEVEL_NORMAL_GUIDE,Riprendi con intensità
CAMMENU_FLASHLEVEL_NORMAL_GUIDE_2,standard del flash
CAMMENU_FLASHLEVEL_UP_GUIDE,Riprendi con intensità
CAMMENU_FLASHLEVEL_UP_GUIDE_2,superiore del flash
CAMMENU_FLASH_SYNCHRO,Sincr. lenta
CAMMENU_FOCUS,Mes. fuoco
CAMMENU_FOUCS_10M_GUIDE,Imposta messa a fuoco
CAMMENU_FOUCS_10M_GUIDE_2,a distanza di circa 1,0 m
CAMMENU_FOUCS_30M_GUIDE,Imposta messa a fuoco
CAMMENU_FOUCS_30M_GUIDE_2,a distanza di circa 3,0 m
CAMMENU_FOUCS_70M_GUIDE,Imposta messa a fuoco
CAMMENU_FOUCS_70M_GUIDE_2,a distanza di circa 7,0 m
CAMMENU_FOUCS_CENTER_GUIDE,Messa a fuoco automatica
CAMMENU_FOUCS_CENTER_GUIDE_2,su un soggetto al centro
CAMMENU_FOUCS_INFINITY_GUIDE,Imposta la messa a fuoco
CAMMENU_FOUCS_INFINITY_GUIDE_2,ad una distanza illimitata
CAMMENU_FOUCS_MANUAL_GUIDE,Imposta manualmente la
CAMMENU_FOUCS_MANUAL_GUIDE_2,messa a fuoco
CAMMENU_FOUCS_MULTI_GUIDE,Messa a fuoco automatica
CAMMENU_FOUCS_MULTI_GUIDE_2,in tutto il fotogramma
CAMMENU_FOUCS_SPOT_GUIDE,Messa a fuoco automatica
CAMMENU_FOUCS_SPOT_GUIDE_2,su un punto centrale
CAMMENU_FOUCS_TSPOT_GUIDE,Mes. fuoco autom. toccando
CAMMENU_FOUCS_TSPOT_GUIDE_2,qualsiasi punto su schermo
CAMMENU_IMAGESIZE,Dim. imm.
CAMMENU_IMAGESIZE_L,Grande
CAMMENU_IMAGESIZE_S,Piccola
CAMMENU_INFINITY,∞
CAMMENU_ISO,ISO
CAMMENU_ISO_100_GUIDE,Imposta la sensibilità
CAMMENU_ISO_100_GUIDE_2,a ISO 100
CAMMENU_ISO_1600_GUIDE,Imposta la sensibilità
CAMMENU_ISO_1600_GUIDE_2,a ISO 1600
CAMMENU_ISO_200_GUIDE,Imposta la sensibilità
CAMMENU_ISO_200_GUIDE_2,a ISO 200
CAMMENU_ISO_3200_GUIDE,Imposta la sensibilità
CAMMENU_ISO_3200_GUIDE_2,a ISO 3200
CAMMENU_ISO_400_GUIDE,Imposta la sensibilità
CAMMENU_ISO_400_GUIDE_2,a ISO 400
CAMMENU_ISO_64_GUIDE,Imposta la sensibilità
CAMMENU_ISO_64_GUIDE_2,a ISO 64
CAMMENU_ISO_800_GUIDE,Imposta la sensibilità
CAMMENU_ISO_800_GUIDE_2,a ISO 800
CAMMENU_ISO_80_GUIDE,Imposta la sensibilità
CAMMENU_ISO_80_GUIDE_2,a ISO 80
CAMMENU_ISO_AUTO_GUIDE,Regolazione automatica
CAMMENU_ISO_AUTO_GUIDE_2,della sensibilità
CAMMENU_M03EV,-0.3EV
CAMMENU_M07EV,-0.7EV
CAMMENU_M10EV,-1.0EV
CAMMENU_M13EV,-1.3EV
CAMMENU_M17EV,-1.7EV
CAMMENU_M20EV,-2.0EV
CAMMENU_MACRO,Macro
CAMMENU_MENU,Menu
CAMMENU_METERINGMODE,Modo mis. esp.
CAMMENU_METERING_CENTER_GUIDE,Esposizione basata sulla
CAMMENU_METERING_CENTER_GUIDE_2,luminosità al centro
CAMMENU_METERING_MULTI_GUIDE,Esposizione bilanciata
CAMMENU_METERING_MULTI_GUIDE_2,in tutto il fotogramma
CAMMENU_METERING_SPOT_GUIDE,Esposizione basata sulla
CAMMENU_METERING_SPOT_GUIDE_2,luminosità di un punto centr.
CAMMENU_MINUS,－
CAMMENU_MULTI,Multipla
CAMMENU_MULTIAF,Multi AF
CAMMENU_NORMAL_CAP,Normale
CAMMENU_P03EV,+0.3EV
CAMMENU_P07EV,+0.7EV
CAMMENU_P10EV,+1.0EV
CAMMENU_P13EV,+1.3EV
CAMMENU_P17EV,+1.7EV
CAMMENU_P20EV,+2.0EV
CAMMENU_PLUS,＋
CAMMENU_RECMODE,Modo REG
CAMMENU_RECOGNITION,Identificazione scena
CAMMENU_RECOGNITION_ADV_GUIDE,Riprendi autom. altra ripresa
CAMMENU_RECOGNITION_ADV_GUIDE2,Riprendi autom. altra ripresa
CAMMENU_RECOGNITION_ADV_GUIDE2_2,al crepusc. o con retroillum.
CAMMENU_RECOGNITION_ADV_GUIDE_2,al crepusc. o con retroillum.
CAMMENU_RECOGNITION_AUTO2_GUIDE,Riprendi con le impostazioni
CAMMENU_RECOGNITION_AUTO2_GUIDE_2,ottimali per la scena
CAMMENU_RECOGNITION_AUTO_GUIDE,Riprendi con ottime impost.
CAMMENU_RECOGNITION_AUTO_GUIDE_2,al crepusc. o con retroillum.
CAMMENU_RECOGNITION_OFF_GUIDE,Disattiva identificaz. scena
CAMMENU_RECOGNITION_OFF_GUIDE_2,
CAMMENU_REDEYEREDUCTION,Rid. occhi rossi
CAMMENU_REDEYE_FACE_GUIDE,Riduzione occhi rossi autom.
CAMMENU_REDEYE_FACE_GUIDE_2,quando si rilevano i visi
CAMMENU_REDEYE_OFF_GUIDE,Riduzione degli occhi rossi
CAMMENU_REDEYE_OFF_GUIDE_2,disattivata
CAMMENU_REDEYE_ON_GUIDE,Prelampeg. per ridurre occhi
CAMMENU_REDEYE_ON_GUIDE_2,rossi quando si usa il flash
CAMMENU_REMAIN_NUMBER,Capacità imm. appr.
CAMMENU_REMAIN_TIME,Tempo riman. appr.
CAMMENU_SATURATION_DOWN_GUIDE,Riprendi immagini con
CAMMENU_SATURATION_DOWN_GUIDE_2,saturazione colore inferiore
CAMMENU_SATURATION_NORMAL_GUIDE,Imposta saturazione colore
CAMMENU_SATURATION_NORMAL_GUIDE_2,su normale
CAMMENU_SATURATION_UP_GUIDE,Riprendi immagini con
CAMMENU_SATURATION_UP_GUIDE_2,saturazione colore superiore
CAMMENU_SELFTIMER,Autoscatto
CAMMENU_SELFTIMER_10SEC,Autoscatto 10 sec.
CAMMENU_SELFTIMER_2SEC,Autoscatto 2 sec.
CAMMENU_SELFTIMER_OFF,Autoscatto spento
CAMMENU_SETUP,Imposta
CAMMENU_SETUP_CHANGE_GUIDE,Procedi al display
CAMMENU_SETUP_CHANGE_GUIDE_2,Impostazioni ripresa
CAMMENU_SHOOTING,Ripresa
CAMMENU_SIZE_10MEG,10M
CAMMENU_SIZE_12M_GUIDE,Per stampe fino ad A3+
CAMMENU_SIZE_12M_GUIDE_2,
CAMMENU_SIZE_16_9,16:9
CAMMENU_SIZE_16_9_2MEG_GUIDE,Per la visione su HDTV
CAMMENU_SIZE_16_9_2MEG_GUIDE_2,
CAMMENU_SIZE_16_9_A3_GUIDE,Per la visione su HDTV e
CAMMENU_SIZE_16_9_A3_GUIDE_2,la stampa fino ad A3
CAMMENU_SIZE_16_9_A4_GUIDE,Per la visione su HDTV e
CAMMENU_SIZE_16_9_A4_GUIDE_2,la stampa fino ad A4
CAMMENU_SIZE_16_9_GUIDE,Riprendi con rapporto di
CAMMENU_SIZE_16_9_GUIDE_2,aspetto HDTV
CAMMENU_SIZE_320,320
CAMMENU_SIZE_320_GUIDE,Riprendi a dimens. Piccola
CAMMENU_SIZE_320_GUIDE_2,di imm. per allegato e-mail
CAMMENU_SIZE_3MEG,3M
CAMMENU_SIZE_3M_GUIDE,Per stampe fino a 10x15 cm
CAMMENU_SIZE_3M_GUIDE_2,o 13x18 cm
CAMMENU_SIZE_3_2_8MEG,3:2(8M)
CAMMENU_SIZE_3_2_GUIDE,Riprendi con rapporto di
CAMMENU_SIZE_3_2_GUIDE_2,aspetto 3:2
CAMMENU_SIZE_4_3,4:3
CAMMENU_SIZE_5MEG,5M
CAMMENU_SIZE_5M_GUIDE,Per stampe fino ad A4
CAMMENU_SIZE_5M_GUIDE_2,
CAMMENU_SIZE_640FINE,640(Fine)
CAMMENU_SIZE_640FINE_GUIDE,Riprendi filmato di alta qual.
CAMMENU_SIZE_640FINE_GUIDE_2,per visualizzazione su TV
CAMMENU_SIZE_640STD,640(Standard)
CAMMENU_SIZE_640STD_GUIDE,Riprendi filmato di qual.
CAMMENU_SIZE_640STD_GUIDE_2,standard per visualizz. su TV
CAMMENU_SIZE_8M_GUIDE,Per stampe fino ad A3
CAMMENU_SIZE_8M_GUIDE_2,
CAMMENU_SIZE_HD_2MEG,16:9(2M)
CAMMENU_SIZE_HD_7MEG,16:9(7M)
CAMMENU_SIZE_HD_VGA,16:9(VGA)
CAMMENU_SIZE_VGA,VGA
CAMMENU_SIZE_VGA_GUIDE,Riprendi a dimens. piccola
CAMMENU_SIZE_VGA_GUIDE_2,di imm. per allegato e-mail
CAMMENU_SMILE,Rilevamento sorrisi
CAMMENU_SMILESHUTTER_HIGH_GUIDE,Riprendi con alta sensibilità
CAMMENU_SMILESHUTTER_HIGH_GUIDE_2,di rilevamento sorrisi
CAMMENU_SMILESHUTTER_LOW_GUIDE,Riprendi con bassa sensibil.
CAMMENU_SMILESHUTTER_LOW_GUIDE_2,di rilevamento sorrisi
CAMMENU_SMILESHUTTER_NORMAL_GUIDE,Riprendi con sensibilità
CAMMENU_SMILESHUTTER_NORMAL_GUIDE_2,standard di rilevam. sorrisi
CAMMENU_SMILE_DETECTION,Sensibilità rilevam. sorrisi
CAMMENU_SPOT,Punto
CAMMENU_SPOTAF,Punto AF
CAMMENU_STEADYSHOT,SteadyShot
CAMMENU_STEADYSHOT_CONT_GUIDE,SteadyShot sempre attivato
CAMMENU_STEADYSHOT_CONT_GUIDE_2,
CAMMENU_STEADYSHOT_OFF_GUIDE,SteadyShot disattivato
CAMMENU_STEADYSHOT_OFF_GUIDE_2,
CAMMENU_STEADYSHOT_SHOOT_GUIDE,SteadyShot attivato quando
CAMMENU_STEADYSHOT_SHOOT_GUIDE_2,puls. scat. è premuto a metà
CAMMENU_TOUCH,Quando è toccato
CAMMENU_WATERWB,Bil. bianco sott'acqua
CAMMENU_WATERWB_AUTO_GUIDE,Regolazione automatica
CAMMENU_WATERWB_AUTO_GUIDE_2,per bil. bianco sott'acqua
CAMMENU_WATERWB_FLASH_GUIDE,Usa quando si riprende
CAMMENU_WATERWB_FLASH_GUIDE_2,sott'acqua usando il flash
CAMMENU_WATERWB_WATER1,Sott'acqua 1
CAMMENU_WATERWB_WATER1_GUIDE,Usa quando si riprende
CAMMENU_WATERWB_WATER1_GUIDE_2,nell'acqua blu
CAMMENU_WATERWB_WATER2,Sott'acqua 2
CAMMENU_WATERWB_WATER2_GUIDE,Usa quando si riprende
CAMMENU_WATERWB_WATER2_GUIDE_2,nell'acqua verde
CAMMENU_WB2,Bil. bianco
CAMMENU_WB_AUTO_GUIDE,Regolazione automatica
CAMMENU_WB_AUTO_GUIDE_2,per colori naturali
CAMMENU_WB_CLOUDY,Nuvoloso
CAMMENU_WB_CLOUDY_GUIDE,Usa in giorni nuvolosi
CAMMENU_WB_CLOUDY_GUIDE_2,o all'ombra
CAMMENU_WB_DAYLIGHT,Luce giorno
CAMMENU_WB_DAYLIGHT_GUIDE,Usa per scene luminose
CAMMENU_WB_DAYLIGHT_GUIDE_2,all'esterno o scene notturne
CAMMENU_WB_FLASH,Flash
CAMMENU_WB_FLASH_GUIDE,Usa quando si riprende
CAMMENU_WB_FLASH_GUIDE_2,con il flash
CAMMENU_WB_FLUORESCENT1,Luce a fluorescenza 1
CAMMENU_WB_FLUORESCENT1_GUIDE,Usa con luce bianca
CAMMENU_WB_FLUORESCENT1_GUIDE_2,a fluorescenza
CAMMENU_WB_FLUORESCENT2,Luce a fluorescenza 2
CAMMENU_WB_FLUORESCENT2_GUIDE,Usa con luce bianca
CAMMENU_WB_FLUORESCENT2_GUIDE_2,naturale a fluorescenza
CAMMENU_WB_FLUORESCENT3,Luce a fluorescenza 3
CAMMENU_WB_FLUORESCENT3_GUIDE,Usa con luce bianca
CAMMENU_WB_FLUORESCENT3_GUIDE_2,del giorno a fluorescenza
CAMMENU_WB_INCANDESCENT,Incandescente
CAMMENU_WB_INCANDESCENT_GUIDE,Usa con luce incandescente
CAMMENU_WB_INCANDESCENT_GUIDE_2,o luci video
CAMMODE_AUTO,Regolaz. automatica
CAMMODE_AUTO_GUIDE,Per la ripresa con
CAMMODE_AUTO_GUIDE_2,impostaz. autom.
CAMMODE_BEACH,Spiaggia
CAMMODE_BEACH_GUIDE,Ripr. scene su acqua
CAMMODE_BEACH_GUIDE_2,con col. blu nitido
CAMMODE_COOKING,Cibi
CAMMODE_COOKING_GUIDE,Ripresa naturale del cibo
CAMMODE_COOKING_GUIDE_2,
CAMMODE_EASY,Ripresa facile
CAMMODE_EASY_GUIDE,Ripresa completam. autom.
CAMMODE_EASY_GUIDE_2,con display semplificato
CAMMODE_FIREWORKS,Fuochi artif.
CAMMODE_FIREWORKS_GUIDE,Ripr. fuochi artif.
CAMMODE_FIREWORKS_GUIDE_2,nel loro splendore
CAMMODE_HIGHSENSITIVITY,Alta sensibilità
CAMMODE_HIGHSENSITIVITY_GUIDE,Ripresa senza flash a bassa
CAMMODE_HIGHSENSITIVITY_GUIDE_2,luce che riduce la sfocatura
CAMMODE_HIGHSPEEDSHUTTER,Ott. alta vel.
CAMMODE_HIGHSPEEDSHUTTER_GUIDE,Ripr. soggetti in movimento
CAMMODE_HIGHSPEEDSHUTTER_GUIDE_2,per fermare l'azione
CAMMODE_LANDSCAPE,Panorama
CAMMODE_LANDSCAPE_GUIDE,Ripr. panorami con
CAMMODE_LANDSCAPE_GUIDE_2,mes. fuoco distante
CAMMODE_MOVIE,Modo filmato
CAMMODE_MOVIE_GUIDE,Registra filmato
