CAMMENU_0EV,0EV
CAMMENU_100,100
CAMMENU_10M,1.0 m
CAMMENU_1600,1600
CAMMENU_200,200
CAMMENU_30M,3.0 m
CAMMENU_3200,3200
CAMMENU_400,400
CAMMENU_70M,7.0 m
CAMMENU_80,80
CAMMENU_800,800
CAMMENU_BRK_03EV,BRK±0.3EV
CAMMENU_BRK_07EV,BRK±0.7EV
CAMMENU_BRK_10EV,BRK±1.0EV
CAMMENU_BURST,연사
CAMMENU_BURST_BRK03EV_GUIDE,0.3 EV씩 다른 노출로
CAMMENU_BURST_BRK03EV_GUIDE_2,3장 촬영합니다
CAMMENU_BURST_BRK07EV_GUIDE,0.7 EV씩 다른 노출로
CAMMENU_BURST_BRK07EV_GUIDE_2,3장 촬영합니다
CAMMENU_BURST_BRK10EV_GUIDE,1.0 EV씩 다른 노출로
CAMMENU_BURST_BRK10EV_GUIDE_2,3장 촬영합니다
CAMMENU_BURST_OFF_GUIDE,셔터를 누를때마다 1장씩
CAMMENU_BURST_OFF_GUIDE_2,촬영합니다
CAMMENU_BURST_ON_GUIDE,셔터를 누르고 있는
CAMMENU_BURST_ON_GUIDE_2,동안 연속으로 촬영합니다
CAMMENU_CENTER,중앙
CAMMENU_CENTERAF,중앙 AF
CAMMENU_CLOSEEYE,눈 깜박임 방지
CAMMENU_CLOSEEYE_AUTO_GUIDE,눈 깜박임을 피하기 위해
CAMMENU_CLOSEEYE_AUTO_GUIDE_2,눈을 분석합니다
CAMMENU_CLOSEEYE_OFF_GUIDE,눈 깜박임 방지 기능을
CAMMENU_CLOSEEYE_OFF_GUIDE_2,사용하지 않습니다
CAMMENU_COLOR,색상 모드
CAMMENU_COLOR_BW,흑백
CAMMENU_COLOR_BW_GUIDE,흑백 이미지로 변경합니다
CAMMENU_COLOR_BW_GUIDE_2,
CAMMENU_COLOR_NORMAL_GUIDE,표준 컬러 모드로
CAMMENU_COLOR_NORMAL_GUIDE_2,촬영합니다
CAMMENU_COLOR_SEPIA,세피아
CAMMENU_COLOR_SEPIA_GUIDE,오래된 사진같은 색상으로
CAMMENU_COLOR_SEPIA_GUIDE_2,이미지를 설정합니다
CAMMENU_COLOR_VIVID,선명하게
CAMMENU_COLOR_VIVID_GUIDE,깊고 선명한 색상으로
CAMMENU_COLOR_VIVID_GUIDE_2,이미지를 설정합니다
CAMMENU_CONTINUOUS,연속
CAMMENU_DRO,DRO
CAMMENU_DRO_ADV,고급
CAMMENU_DRO_ADV_GUIDE,밝은부분의 손실없이 어두운
CAMMENU_DRO_ADV_GUIDE_2,부분을 상세하게 복원합니다
CAMMENU_DRO_OFF_GUIDE,어두운 부분의 상세 복원을
CAMMENU_DRO_OFF_GUIDE_2,하지 않습니다
CAMMENU_DRO_PLUS,DRO plus
CAMMENU_DRO_STANDARD_GUIDE,암부에서 손실된 이미지의
CAMMENU_DRO_STANDARD_GUIDE_2,세부 사항을 복원합니다
CAMMENU_DRO_STD,DRO standard
CAMMENU_EV,EV
CAMMENU_EV2,EV
CAMMENU_EV_GUIDE,이미지의 밝기 (＋) 및
CAMMENU_EV_GUIDE2,이미지의 밝기 (＋) 및
CAMMENU_EV_GUIDE2_2,어둡기 (－)를 조절합니다
CAMMENU_EV_GUIDE_2,어둡기 (－)를 조절합니다
CAMMENU_FACE,얼굴 인식
CAMMENU_FACE_ADULT,어른 우선
CAMMENU_FACE_ADULT_GUIDE,어른의 얼굴에 우선적으로
CAMMENU_FACE_ADULT_GUIDE_2,초점을 맞춥니다
CAMMENU_FACE_CHILD,어린이 우선
CAMMENU_FACE_CHILD_GUIDE,어린이의 얼굴에 우선적으로
CAMMENU_FACE_CHILD_GUIDE_2,초점을 맞춥니다
CAMMENU_FACE_ON_GUIDE,사람의 얼굴에 초점이
CAMMENU_FACE_ON_GUIDE_2,우선적으로 맞춰집니다
CAMMENU_FACE_TOUCH_GUIDE,LCD의 얼굴을 터치했을 때만
CAMMENU_FACE_TOUCH_GUIDE_2,얼굴 인식이 작동합니다
CAMMENU_FLASHLEVEL,플래시 레벨
CAMMENU_FLASHLEVEL_DOWN_GUIDE,플래시의 광량을 감소시켜
CAMMENU_FLASHLEVEL_DOWN_GUIDE_2,촬영합니다
CAMMENU_FLASHLEVEL_NORMAL_GUIDE,플래시의 광량을 표준으로
CAMMENU_FLASHLEVEL_NORMAL_GUIDE_2,해서 촬영합니다
CAMMENU_FLASHLEVEL_UP_GUIDE,플래시의 광량을 증가시켜
CAMMENU_FLASHLEVEL_UP_GUIDE_2,촬영합니다
CAMMENU_FLASH_SYNCHRO,저속 동기
CAMMENU_FOCUS,초점
CAMMENU_FOUCS_10M_GUIDE,1.0 m 부근에 초점을
CAMMENU_FOUCS_10M_GUIDE_2,맞춥니다
CAMMENU_FOUCS_30M_GUIDE,3.0 m 부근에 초점을
CAMMENU_FOUCS_30M_GUIDE_2,맞춥니다
CAMMENU_FOUCS_70M_GUIDE,7.0 m 부근에 초점을
CAMMENU_FOUCS_70M_GUIDE_2,맞춥니다
CAMMENU_FOUCS_CENTER_GUIDE,화면 중앙 부근에서
CAMMENU_FOUCS_CENTER_GUIDE_2,자동으로 초점을 조절합니다
CAMMENU_FOUCS_INFINITY_GUIDE,무한대 거리에
CAMMENU_FOUCS_INFINITY_GUIDE_2,초점을 맞춥니다
CAMMENU_FOUCS_MANUAL_GUIDE,수동으로 초점을 조절합니다
CAMMENU_FOUCS_MANUAL_GUIDE_2,
CAMMENU_FOUCS_MULTI_GUIDE,화면 전체에서
CAMMENU_FOUCS_MULTI_GUIDE_2,자동으로 초점을 조절합니다
CAMMENU_FOUCS_SPOT_GUIDE,화면 중앙의 한 점에서
CAMMENU_FOUCS_SPOT_GUIDE_2,자동으로 초점을 조절합니다
CAMMENU_FOUCS_TSPOT_GUIDE,화면의 한 지점을
CAMMENU_FOUCS_TSPOT_GUIDE_2,터치했을 때
CAMMENU_IMAGESIZE,이미지 크기
CAMMENU_IMAGESIZE_L,대
CAMMENU_IMAGESIZE_S,소
CAMMENU_INFINITY,∞
CAMMENU_ISO,ISO
CAMMENU_ISO_100_GUIDE,감도를 ISO 100으로
CAMMENU_ISO_100_GUIDE_2,설정합니다
CAMMENU_ISO_1600_GUIDE,감도를 ISO 1600으로
CAMMENU_ISO_1600_GUIDE_2,설정합니다
CAMMENU_ISO_200_GUIDE,감도를 ISO 200으로
CAMMENU_ISO_200_GUIDE_2,설정합니다
CAMMENU_ISO_3200_GUIDE,감도를 ISO 3200으로
CAMMENU_ISO_3200_GUIDE_2,설정합니다
CAMMENU_ISO_400_GUIDE,감도를 ISO 400으로
CAMMENU_ISO_400_GUIDE_2,설정합니다
CAMMENU_ISO_64_GUIDE,감도를 ISO 64으로
CAMMENU_ISO_64_GUIDE_2,설정합니다
CAMMENU_ISO_800_GUIDE,감도를 ISO 800으로
CAMMENU_ISO_800_GUIDE_2,설정합니다
CAMMENU_ISO_80_GUIDE,감도를 ISO 80으로
CAMMENU_ISO_80_GUIDE_2,설정합니다
CAMMENU_ISO_AUTO_GUIDE,감도를 자동으로 조절합니다
CAMMENU_ISO_AUTO_GUIDE_2,
CAMMENU_M03EV,-0.3EV
CAMMENU_M07EV,-0.7EV
CAMMENU_M10EV,-1.0EV
CAMMENU_M13EV,-1.3EV
CAMMENU_M17EV,-1.7EV
CAMMENU_M20EV,-2.0EV
CAMMENU_MACRO,접사
CAMMENU_MENU,메뉴
CAMMENU_METERINGMODE,측광 모드
CAMMENU_METERING_CENTER_GUIDE,화면 중앙의 밝기로
CAMMENU_METERING_CENTER_GUIDE_2,노출을 결정합니다
CAMMENU_METERING_MULTI_GUIDE,화면 전체의 균형을 맞춰
CAMMENU_METERING_MULTI_GUIDE_2,노출을 결정합니다
CAMMENU_METERING_SPOT_GUIDE,화면 중앙 한 점의 밝기로
CAMMENU_METERING_SPOT_GUIDE_2,노출을 결정합니다
CAMMENU_MINUS,－
CAMMENU_MULTI,다중
CAMMENU_MULTIAF,다중 AF
CAMMENU_NORMAL_CAP,일반촬영
CAMMENU_P03EV,+0.3EV
CAMMENU_P07EV,+0.7EV
CAMMENU_P10EV,+1.0EV
CAMMENU_P13EV,+1.3EV
CAMMENU_P17EV,+1.7EV
CAMMENU_P20EV,+2.0EV
CAMMENU_PLUS,＋
CAMMENU_RECMODE,촬영 모드
CAMMENU_RECOGNITION,장면 인식
CAMMENU_RECOGNITION_ADV_GUIDE,황혼이나 역광에서
CAMMENU_RECOGNITION_ADV_GUIDE2,황혼이나 역광에서
CAMMENU_RECOGNITION_ADV_GUIDE2_2,1장 더 자동으로 촬영
CAMMENU_RECOGNITION_ADV_GUIDE_2,1장 더 자동으로 촬영
CAMMENU_RECOGNITION_AUTO2_GUIDE,장면에 맞게 최적의
CAMMENU_RECOGNITION_AUTO2_GUIDE_2,설정으로 촬영합니다
CAMMENU_RECOGNITION_AUTO_GUIDE,황혼이나 역광에서
CAMMENU_RECOGNITION_AUTO_GUIDE_2,최적의 설정으로 촬영
CAMMENU_RECOGNITION_OFF_GUIDE,장면 인식 꺼짐
CAMMENU_RECOGNITION_OFF_GUIDE_2,
CAMMENU_REDEYEREDUCTION,적안 감쇄
CAMMENU_REDEYE_FACE_GUIDE,얼굴이 인식 되었을 때에
CAMMENU_REDEYE_FACE_GUIDE_2,적안을 자동으로 줄입니다
CAMMENU_REDEYE_OFF_GUIDE,적안 감쇄 기능을
CAMMENU_REDEYE_OFF_GUIDE_2,사용하지 않습니다
CAMMENU_REDEYE_ON_GUIDE,플래시 촬영 시  사전
CAMMENU_REDEYE_ON_GUIDE_2,플래시로 적안을 줄입니다
CAMMENU_REMAIN_NUMBER,대략의 이미지 용량
CAMMENU_REMAIN_TIME,대략의 남은 시간
CAMMENU_SATURATION_DOWN_GUIDE,낮은 채도로 이미지를
CAMMENU_SATURATION_DOWN_GUIDE_2,촬영합니다
CAMMENU_SATURATION_NORMAL_GUIDE,채도를 표준으로 합니다.
CAMMENU_SATURATION_NORMAL_GUIDE_2,
CAMMENU_SATURATION_UP_GUIDE,높은 채도로 이미지를
CAMMENU_SATURATION_UP_GUIDE_2,촬영합니다
CAMMENU_SELFTIMER,셀프타이머
CAMMENU_SELFTIMER_10SEC,셀프타이머 10 초
CAMMENU_SELFTIMER_2SEC,셀프타이머 2 초
CAMMENU_SELFTIMER_OFF,셀프타이머 끔
CAMMENU_SETUP,설정
CAMMENU_SETUP_CHANGE_GUIDE,촬영 설정 화면으로
CAMMENU_SETUP_CHANGE_GUIDE_2,전환합니다
CAMMENU_SHOOTING,촬영
CAMMENU_SIZE_10MEG,10M
CAMMENU_SIZE_12M_GUIDE,A3＋ 크기로 인쇄하기
CAMMENU_SIZE_12M_GUIDE_2,적합하도록 촬영합니다
CAMMENU_SIZE_16_9,16:9
CAMMENU_SIZE_16_9_2MEG_GUIDE,HDTV 감상에 적합합니다
CAMMENU_SIZE_16_9_2MEG_GUIDE_2,
CAMMENU_SIZE_16_9_A3_GUIDE,HDTV 감상 및 A3 크기
CAMMENU_SIZE_16_9_A3_GUIDE_2,인쇄용으로 적합합니다
CAMMENU_SIZE_16_9_A4_GUIDE,HDTV 감상 및 A4 크기
CAMMENU_SIZE_16_9_A4_GUIDE_2,인쇄용으로 적합합니다
CAMMENU_SIZE_16_9_GUIDE,HDTV의 종횡비로 촬영합니다
CAMMENU_SIZE_16_9_GUIDE_2,
CAMMENU_SIZE_320,320
CAMMENU_SIZE_320_GUIDE,전자메일 첨부에 적합한
CAMMENU_SIZE_320_GUIDE_2,작은 크기로 촬영합니다
CAMMENU_SIZE_3MEG,3M
CAMMENU_SIZE_3M_GUIDE,L/2 또는 L판까지의 인쇄에
CAMMENU_SIZE_3M_GUIDE_2,적합한 크기로 촬영합니다
CAMMENU_SIZE_3_2_8MEG,3:2(8M)
CAMMENU_SIZE_3_2_GUIDE,3:2 종횡비로 촬영합니다
CAMMENU_SIZE_3_2_GUIDE_2,
CAMMENU_SIZE_4_3,4:3
CAMMENU_SIZE_5MEG,5M
CAMMENU_SIZE_5M_GUIDE,A4 크기로 인쇄하기
CAMMENU_SIZE_5M_GUIDE_2,적합하도록 촬영합니다
CAMMENU_SIZE_640FINE,640 (파인)
CAMMENU_SIZE_640FINE_GUIDE,TV 출력용 고화질
CAMMENU_SIZE_640FINE_GUIDE_2,동영상을 촬영합니다
CAMMENU_SIZE_640STD,640 (표준)
CAMMENU_SIZE_640STD_GUIDE,TV 출력용 표준 화질
CAMMENU_SIZE_640STD_GUIDE_2,동영상을 촬영합니다
CAMMENU_SIZE_8M_GUIDE,A3 크기로 인쇄하기
CAMMENU_SIZE_8M_GUIDE_2,적합하도록 촬영합니다
CAMMENU_SIZE_HD_2MEG,16:9(2M)
CAMMENU_SIZE_HD_7MEG,16:9(7M)
CAMMENU_SIZE_HD_VGA,16:9(VGA)
CAMMENU_SIZE_VGA,VGA
CAMMENU_SIZE_VGA_GUIDE,전자메일 첨부에 적합한
CAMMENU_SIZE_VGA_GUIDE_2,작은 크기로 촬영합니다
CAMMENU_SMILE,스마일 인식
CAMMENU_SMILESHUTTER_HIGH_GUIDE,스마일 인식 감도를 높여서
CAMMENU_SMILESHUTTER_HIGH_GUIDE_2,촬영합니다
CAMMENU_SMILESHUTTER_LOW_GUIDE,스마일 인식 감도를 낮춰서
CAMMENU_SMILESHUTTER_LOW_GUIDE_2,촬영합니다
CAMMENU_SMILESHUTTER_NORMAL_GUIDE,스마일 인식 감도를
CAMMENU_SMILESHUTTER_NORMAL_GUIDE_2,표준으로 촬영합니다
CAMMENU_SMILE_DETECTION,스마일 인식 감도
CAMMENU_SPOT,스팟
CAMMENU_SPOTAF,스팟 AF
CAMMENU_STEADYSHOT,SteadyShot
CAMMENU_STEADYSHOT_CONT_GUIDE,항상 SteadyShot 이
CAMMENU_STEADYSHOT_CONT_GUIDE_2,작동합니다
CAMMENU_STEADYSHOT_OFF_GUIDE,SteadyShot을
CAMMENU_STEADYSHOT_OFF_GUIDE_2,사용하지 않습니다
CAMMENU_STEADYSHOT_SHOOT_GUIDE,셔터를 중간까지 누르면
CAMMENU_STEADYSHOT_SHOOT_GUIDE_2,SteadyShot이 작동합니다
CAMMENU_TOUCH,터치했을때
CAMMENU_WATERWB,수중 화이트 밸런스
CAMMENU_WATERWB_AUTO_GUIDE,수중 촬영에 맞도록 화이트
CAMMENU_WATERWB_AUTO_GUIDE_2,밸런스를 자동 조절합니다
CAMMENU_WATERWB_FLASH_GUIDE,수중에서 플래시 촬영시에
CAMMENU_WATERWB_FLASH_GUIDE_2,사용합니다
CAMMENU_WATERWB_WATER1,수중 1
CAMMENU_WATERWB_WATER1_GUIDE,청색이 강한 수중에서의
CAMMENU_WATERWB_WATER1_GUIDE_2,촬영에 사용합니다
CAMMENU_WATERWB_WATER2,수중 2
CAMMENU_WATERWB_WATER2_GUIDE,녹색이 강한 수중에서의
CAMMENU_WATERWB_WATER2_GUIDE_2,촬영에 사용합니다
CAMMENU_WB2,화이트 밸런스
CAMMENU_WB_AUTO_GUIDE,자연스런 색상이 되도록
CAMMENU_WB_AUTO_GUIDE_2,자동으로 조절합니다
CAMMENU_WB_CLOUDY,흐림
CAMMENU_WB_CLOUDY_GUIDE,흐린 날 또는 그늘진
CAMMENU_WB_CLOUDY_GUIDE_2,곳에서의 촬영에 사용합니다
CAMMENU_WB_DAYLIGHT,일광
CAMMENU_WB_DAYLIGHT_GUIDE,맑은 날 실외 또는 야경
CAMMENU_WB_DAYLIGHT_GUIDE_2,촬영에 사용합니다
CAMMENU_WB_FLASH,플래시
CAMMENU_WB_FLASH_GUIDE,플래시 촬영시에 사용합니다
CAMMENU_WB_FLASH_GUIDE_2,
CAMMENU_WB_FLUORESCENT1,형광등 1
CAMMENU_WB_FLUORESCENT1_GUIDE,백색 형광등 조명에서의
CAMMENU_WB_FLUORESCENT1_GUIDE_2,촬영에 사용합니다
CAMMENU_WB_FLUORESCENT2,형광등 2
CAMMENU_WB_FLUORESCENT2_GUIDE,자연색 형광등 조명에서의
CAMMENU_WB_FLUORESCENT2_GUIDE_2,촬영에 사용합니다
CAMMENU_WB_FLUORESCENT3,형광등 3
CAMMENU_WB_FLUORESCENT3_GUIDE,주광색 형광등 조명에서의
CAMMENU_WB_FLUORESCENT3_GUIDE_2,촬영에 사용합니다
CAMMENU_WB_INCANDESCENT,백열등
CAMMENU_WB_INCANDESCENT_GUIDE,백열등이나 영상 불빛을
CAMMENU_WB_INCANDESCENT_GUIDE_2,사용한 촬영에 사용합니다
CAMMODE_AUTO,자동 조절
CAMMODE_AUTO_GUIDE,자동 설정 사용 촬영 시
CAMMODE_AUTO_GUIDE_2,
CAMMODE_BEACH,해변
CAMMODE_BEACH_GUIDE,풍부한 청색의
CAMMODE_BEACH_GUIDE_2,물가 장면 촬영
CAMMODE_COOKING,요리
CAMMODE_COOKING_GUIDE,요리를 먹음직스럽게 촬영
CAMMODE_COOKING_GUIDE_2,
CAMMODE_EASY,간단 촬영
CAMMODE_EASY_GUIDE,보기 쉬운 표시로
CAMMODE_EASY_GUIDE_2,전 자동 촬영
CAMMODE_FIREWORKS,불꽃
CAMMODE_FIREWORKS_GUIDE,불꽃놀이 촬영
CAMMODE_FIREWORKS_GUIDE_2,
CAMMODE_HIGHSENSITIVITY,고감도
CAMMODE_HIGHSENSITIVITY_GUIDE,플래시 없이도 저조도
CAMMODE_HIGHSENSITIVITY_GUIDE_2,환경에서 흔들림 없는 촬영
CAMMODE_HIGHSPEEDSHUTTER,고속 셔터
CAMMODE_HIGHSPEEDSHUTTER_GUIDE,빠르게 움직이는 피사체
CAMMODE_HIGHSPEEDSHUTTER_GUIDE_2,촬영
CAMMODE_LANDSCAPE,풍경
CAMMODE_LANDSCAPE_GUIDE,먼 초점의 풍경 촬영
