CAMMENU_0EV,0EV
CAMMENU_100,100
CAMMENU_10M,1.0 m
CAMMENU_1600,1600
CAMMENU_200,200
CAMMENU_30M,3.0 m
CAMMENU_3200,3200
CAMMENU_400,400
CAMMENU_70M,7.0 m
CAMMENU_80,80
CAMMENU_800,800
CAMMENU_BRK_03EV,BRK±0,3EV
CAMMENU_BRK_07EV,BRK±0,7EV
CAMMENU_BRK_10EV,BRK±1,0EV
CAMMENU_BURST,Serie
CAMMENU_BURST_BRK03EV_GUIDE,Ta 3 bilder som varierer
CAMMENU_BURST_BRK03EV_GUIDE_2,med 0,3 EV
CAMMENU_BURST_BRK07EV_GUIDE,Ta 3 bilder som varierer
CAMMENU_BURST_BRK07EV_GUIDE_2,med 0,7 EV
CAMMENU_BURST_BRK10EV_GUIDE,Ta 3 bilder som varierer
CAMMENU_BURST_BRK10EV_GUIDE_2,med 1,0 EV
CAMMENU_BURST_OFF_GUIDE,Ta ett bilde for hver gang
CAMMENU_BURST_OFF_GUIDE_2,lukkerknappen trykkes
CAMMENU_BURST_ON_GUIDE,Ta opp kontinuerlig
CAMMENU_BURST_ON_GUIDE_2,når lukkerknappen holdes
CAMMENU_CENTER,Senter
CAMMENU_CENTERAF,Senter-AF
CAMMENU_CLOSEEYE,Lukkede øyne-reduksjon
CAMMENU_CLOSEEYE_AUTO_GUIDE,Analyserer øynene for
CAMMENU_CLOSEEYE_AUTO_GUIDE_2,å unngå lukkede øyne
CAMMENU_CLOSEEYE_OFF_GUIDE,Slå av lukkede
CAMMENU_CLOSEEYE_OFF_GUIDE_2,øyne-reduksjon
CAMMENU_COLOR,Fargemodus
CAMMENU_COLOR_BW,S/HV
CAMMENU_COLOR_BW_GUIDE,Gjør bilder sort/hvite
CAMMENU_COLOR_BW_GUIDE_2,
CAMMENU_COLOR_NORMAL_GUIDE,Ta opp i standard
CAMMENU_COLOR_NORMAL_GUIDE_2,fargemodus
CAMMENU_COLOR_SEPIA,Bruntone
CAMMENU_COLOR_SEPIA_GUIDE,Simulerer fargene i gamle
CAMMENU_COLOR_SEPIA_GUIDE_2,fotografier
CAMMENU_COLOR_VIVID,Livlig
CAMMENU_COLOR_VIVID_GUIDE,Stiller inn bildet på dyp
CAMMENU_COLOR_VIVID_GUIDE_2,og levende farge
CAMMENU_CONTINUOUS,Fortsett
CAMMENU_DRO,DRO
CAMMENU_DRO_ADV,Avansert
CAMMENU_DRO_ADV_GUIDE,Fremhev detaljer i skyggen
CAMMENU_DRO_ADV_GUIDE_2,uten detaljtap i lyse områder
CAMMENU_DRO_OFF_GUIDE,Ingen fremheving av
CAMMENU_DRO_OFF_GUIDE_2,skyggedetaljer
CAMMENU_DRO_PLUS,DRO plus
CAMMENU_DRO_STANDARD_GUIDE,Fremhev detaljer tapt
CAMMENU_DRO_STANDARD_GUIDE_2,i skyggefulle partier
CAMMENU_DRO_STD,DRO standard
CAMMENU_EV,EV
CAMMENU_EV2,EV
CAMMENU_EV_GUIDE,Justere bildets lysstyrke (＋)
CAMMENU_EV_GUIDE2,Justere bildets lysstyrke (＋)
CAMMENU_EV_GUIDE2_2,og mørkhet (－)
CAMMENU_EV_GUIDE_2,og mørkhet (－)
CAMMENU_FACE,Ansiktsregistrering
CAMMENU_FACE_ADULT,Voksenprioritet
CAMMENU_FACE_ADULT_GUIDE,Fokuser med prioritet
CAMMENU_FACE_ADULT_GUIDE_2,på voksnes ansikter
CAMMENU_FACE_CHILD,Barneprioritet
CAMMENU_FACE_CHILD_GUIDE,Fokuser med prioritet
CAMMENU_FACE_CHILD_GUIDE_2,på barns ansikter
CAMMENU_FACE_ON_GUIDE,Prioriter fokusering på
CAMMENU_FACE_ON_GUIDE_2,folks ansikter
CAMMENU_FACE_TOUCH_GUIDE,Aktiver ansiktsregistrering
CAMMENU_FACE_TOUCH_GUIDE_2,kun ved berøring av et ansikt
CAMMENU_FLASHLEVEL,Blitsnivå
CAMMENU_FLASHLEVEL_DOWN_GUIDE,Fotografer med lavere
CAMMENU_FLASHLEVEL_DOWN_GUIDE_2,blitsintensitet
CAMMENU_FLASHLEVEL_NORMAL_GUIDE,Fotografer med standard
CAMMENU_FLASHLEVEL_NORMAL_GUIDE_2,blitsintensitet
CAMMENU_FLASHLEVEL_UP_GUIDE,Fotografer med høyere
CAMMENU_FLASHLEVEL_UP_GUIDE_2,blitsintensitet
CAMMENU_FLASH_SYNCHRO,Sakte synk
CAMMENU_FOCUS,Fokus
CAMMENU_FOUCS_10M_GUIDE,Stille inn fokus
CAMMENU_FOUCS_10M_GUIDE_2,på ca. 1,0 m
CAMMENU_FOUCS_30M_GUIDE,Stille inn fokus
CAMMENU_FOUCS_30M_GUIDE_2,på ca. 3,0 m
CAMMENU_FOUCS_70M_GUIDE,Stille inn fokus
CAMMENU_FOUCS_70M_GUIDE_2,på ca. 7,0 m
CAMMENU_FOUCS_CENTER_GUIDE,Autofokus
CAMMENU_FOUCS_CENTER_GUIDE_2,på et motiv i sentrum
CAMMENU_FOUCS_INFINITY_GUIDE,Stille inn fokus på uendelig
CAMMENU_FOUCS_INFINITY_GUIDE_2,
CAMMENU_FOUCS_MANUAL_GUIDE,Stille inn fokus manuelt
CAMMENU_FOUCS_MANUAL_GUIDE_2,
CAMMENU_FOUCS_MULTI_GUIDE,Autofokus i hele rammen
CAMMENU_FOUCS_MULTI_GUIDE_2,
CAMMENU_FOUCS_SPOT_GUIDE,Autofokus på et sentralt
CAMMENU_FOUCS_SPOT_GUIDE_2,punkt
CAMMENU_FOUCS_TSPOT_GUIDE,Autofokus ved berøring hvor
CAMMENU_FOUCS_TSPOT_GUIDE_2,som helst på skjermen
CAMMENU_IMAGESIZE,Bildestørr.
CAMMENU_IMAGESIZE_L,Stor
CAMMENU_IMAGESIZE_S,Liten
CAMMENU_INFINITY,∞
CAMMENU_ISO,ISO
CAMMENU_ISO_100_GUIDE,Still inn følsomheten på
CAMMENU_ISO_100_GUIDE_2,ISO 100
CAMMENU_ISO_1600_GUIDE,Still inn følsomheten på
CAMMENU_ISO_1600_GUIDE_2,ISO 1600
CAMMENU_ISO_200_GUIDE,Still inn følsomheten på
CAMMENU_ISO_200_GUIDE_2,ISO 200
CAMMENU_ISO_3200_GUIDE,Still inn følsomheten på
CAMMENU_ISO_3200_GUIDE_2,ISO 3200
CAMMENU_ISO_400_GUIDE,Still inn følsomheten på
CAMMENU_ISO_400_GUIDE_2,ISO 400
CAMMENU_ISO_64_GUIDE,Still inn følsomheten på
CAMMENU_ISO_64_GUIDE_2,ISO 64
CAMMENU_ISO_800_GUIDE,Still inn følsomheten på
CAMMENU_ISO_800_GUIDE_2,ISO 800
CAMMENU_ISO_80_GUIDE,Still inn følsomheten på
CAMMENU_ISO_80_GUIDE_2,ISO 80
CAMMENU_ISO_AUTO_GUIDE,Automatisk justering av
CAMMENU_ISO_AUTO_GUIDE_2,følsomheten
CAMMENU_M03EV,-0.3EV
CAMMENU_M07EV,-0.7EV
CAMMENU_M10EV,-1.0EV
CAMMENU_M13EV,-1.3EV
CAMMENU_M17EV,-1.7EV
CAMMENU_M20EV,-2.0EV
CAMMENU_MACRO,Makro
CAMMENU_MENU,Meny
CAMMENU_METERINGMODE,Målemodus
CAMMENU_METERING_CENTER_GUIDE,Eksponering basert på
CAMMENU_METERING_CENTER_GUIDE_2,lysstyrken sentralt
CAMMENU_METERING_MULTI_GUIDE,Balansert eksponering
CAMMENU_METERING_MULTI_GUIDE_2,i hele rammen
CAMMENU_METERING_SPOT_GUIDE,Eksponering basert på lys-
CAMMENU_METERING_SPOT_GUIDE_2,styrken til et punkt i sentrum
CAMMENU_MINUS,－
CAMMENU_MULTI,Multi
CAMMENU_MULTIAF,Multi-AF
CAMMENU_NORMAL_CAP,Normal
CAMMENU_P03EV,+0.3EV
CAMMENU_P07EV,+0.7EV
CAMMENU_P10EV,+1.0EV
CAMMENU_P13EV,+1.3EV
CAMMENU_P17EV,+1.7EV
CAMMENU_P20EV,+2.0EV
CAMMENU_PLUS,＋
CAMMENU_RECMODE,REC-modus
CAMMENU_RECOGNITION,Scenegjenkjenning
CAMMENU_RECOGNITION_ADV_GUIDE,Automatisk opptak av et
CAMMENU_RECOGNITION_ADV_GUIDE2,Automatisk opptak av et
CAMMENU_RECOGNITION_ADV_GUIDE2_2,bilde til i halvlys eller motlys
CAMMENU_RECOGNITION_ADV_GUIDE_2,bilde til i halvlys eller motlys
CAMMENU_RECOGNITION_AUTO2_GUIDE,Fotografer med optimale
CAMMENU_RECOGNITION_AUTO2_GUIDE_2,innstillinger for scenen
CAMMENU_RECOGNITION_AUTO_GUIDE,Ta opp med optimale inn-
CAMMENU_RECOGNITION_AUTO_GUIDE_2,still. i halvlys eller motlys
CAMMENU_RECOGNITION_OFF_GUIDE,Slå av Scenegjenkjenning
CAMMENU_RECOGNITION_OFF_GUIDE_2,
CAMMENU_REDEYEREDUCTION,Rødøyered.
CAMMENU_REDEYE_FACE_GUIDE,Auto rødøyereduksjon
CAMMENU_REDEYE_FACE_GUIDE_2,når ansikter er registrert
CAMMENU_REDEYE_OFF_GUIDE,Rødøyereduksjon av
CAMMENU_REDEYE_OFF_GUIDE_2,
CAMMENU_REDEYE_ON_GUIDE,Forhåndsblits for red. av
CAMMENU_REDEYE_ON_GUIDE_2,røde øyne ved bruk av blits
CAMMENU_REMAIN_NUMBER,Ca. bildekapasitet
CAMMENU_REMAIN_TIME,Ca gjenv. opptakstid
CAMMENU_SATURATION_DOWN_GUIDE,Ta bilder med lavere
CAMMENU_SATURATION_DOWN_GUIDE_2,grad av fargemetning
CAMMENU_SATURATION_NORMAL_GUIDE,Still inn fargemetningen
CAMMENU_SATURATION_NORMAL_GUIDE_2,på Normal
CAMMENU_SATURATION_UP_GUIDE,Ta bilder med større
CAMMENU_SATURATION_UP_GUIDE_2,grad av fargemetning
CAMMENU_SELFTIMER,Selvutl.
CAMMENU_SELFTIMER_10SEC,Selvutløser 10 sek.
CAMMENU_SELFTIMER_2SEC,Selvutløser 2 sek.
CAMMENU_SELFTIMER_OFF,Selvutløser av
CAMMENU_SETUP,Oppsett
CAMMENU_SETUP_CHANGE_GUIDE,Gå til skjermbildet
CAMMENU_SETUP_CHANGE_GUIDE_2,Opptaksinnstillinger
CAMMENU_SHOOTING,Opptak
CAMMENU_SIZE_10MEG,10M
CAMMENU_SIZE_12M_GUIDE,For bilder på opptil A3+
CAMMENU_SIZE_12M_GUIDE_2,
CAMMENU_SIZE_16_9,16:9
CAMMENU_SIZE_16_9_2MEG_GUIDE,For visning på HDTV-er
CAMMENU_SIZE_16_9_2MEG_GUIDE_2,
CAMMENU_SIZE_16_9_A3_GUIDE,For visning på HDTV-er og
CAMMENU_SIZE_16_9_A3_GUIDE_2,utskrift i opptil A3-format
CAMMENU_SIZE_16_9_A4_GUIDE,For visning på HDTV-er og
CAMMENU_SIZE_16_9_A4_GUIDE_2,utskrift i opptil A4-format
CAMMENU_SIZE_16_9_GUIDE,Ta opp med HDTV-
CAMMENU_SIZE_16_9_GUIDE_2,bildeforhold
CAMMENU_SIZE_320,320
CAMMENU_SIZE_320_GUIDE,Ta opp med liten størrelse
CAMMENU_SIZE_320_GUIDE_2,for e-postvedlegg
CAMMENU_SIZE_3MEG,3M
CAMMENU_SIZE_3M_GUIDE,For bilder opptil 10x15 cm
CAMMENU_SIZE_3M_GUIDE_2,eller 13x18 cm
CAMMENU_SIZE_3_2_8MEG,3:2(8M)
CAMMENU_SIZE_3_2_GUIDE,Ta opp med bildeforhold 3:2
CAMMENU_SIZE_3_2_GUIDE_2,
CAMMENU_SIZE_4_3,4:3
CAMMENU_SIZE_5MEG,5M
CAMMENU_SIZE_5M_GUIDE,For bilder på opptil A4
CAMMENU_SIZE_5M_GUIDE_2,
CAMMENU_SIZE_640FINE,640 (fin)
CAMMENU_SIZE_640FINE_GUIDE,Ta opp film med høy kvalitet
CAMMENU_SIZE_640FINE_GUIDE_2,for TV-visning
CAMMENU_SIZE_640STD,640 (std. )
CAMMENU_SIZE_640STD_GUIDE,Ta opp film med standard
CAMMENU_SIZE_640STD_GUIDE_2,kvalitet for TV-visning
CAMMENU_SIZE_8M_GUIDE,For bilder på opptil A3
CAMMENU_SIZE_8M_GUIDE_2,
CAMMENU_SIZE_HD_2MEG,16:9(2M)
CAMMENU_SIZE_HD_7MEG,16:9(7M)
CAMMENU_SIZE_HD_VGA,16:9(VGA)
CAMMENU_SIZE_VGA,VGA
CAMMENU_SIZE_VGA_GUIDE,Ta opp med liten bildestr.
CAMMENU_SIZE_VGA_GUIDE_2,for e-postvedlegg
CAMMENU_SMILE,Smilregistrering
CAMMENU_SMILESHUTTER_HIGH_GUIDE,Ta bilder med høy
CAMMENU_SMILESHUTTER_HIGH_GUIDE_2,smilfølsomhet
CAMMENU_SMILESHUTTER_LOW_GUIDE,Ta bilder med lav
CAMMENU_SMILESHUTTER_LOW_GUIDE_2,smilfølsomhet
CAMMENU_SMILESHUTTER_NORMAL_GUIDE,Ta bilder med standard
CAMMENU_SMILESHUTTER_NORMAL_GUIDE_2,smilfølsomhet
CAMMENU_SMILE_DETECTION,Smilfølsomhet
CAMMENU_SPOT,Punkt
CAMMENU_SPOTAF,Punkt-AF
CAMMENU_STEADYSHOT,SteadyShot
CAMMENU_STEADYSHOT_CONT_GUIDE,SteadyShot alltid på
CAMMENU_STEADYSHOT_CONT_GUIDE_2,
CAMMENU_STEADYSHOT_OFF_GUIDE,SteadyShot av
CAMMENU_STEADYSHOT_OFF_GUIDE_2,
CAMMENU_STEADYSHOT_SHOOT_GUIDE,SteadyShot på når lukker-
CAMMENU_STEADYSHOT_SHOOT_GUIDE_2,knappen er trykket halvt ned
CAMMENU_TOUCH,Ved berøring
CAMMENU_WATERWB,Hvitbalanse under vann
CAMMENU_WATERWB_AUTO_GUIDE,Autojuster hvitbalansen for
CAMMENU_WATERWB_AUTO_GUIDE_2,opptak under vann
CAMMENU_WATERWB_FLASH_GUIDE,Brukes til undervanns-
CAMMENU_WATERWB_FLASH_GUIDE_2,opptak med blits
CAMMENU_WATERWB_WATER1,Under vann 1
CAMMENU_WATERWB_WATER1_GUIDE,Brukes ved opptak
CAMMENU_WATERWB_WATER1_GUIDE_2,i blått vann
CAMMENU_WATERWB_WATER2,Under vann 2
CAMMENU_WATERWB_WATER2_GUIDE,Brukes ved opptak
CAMMENU_WATERWB_WATER2_GUIDE_2,i grønt vann
CAMMENU_WB2,Hvitbalanse
CAMMENU_WB_AUTO_GUIDE,Automatisk justering for
CAMMENU_WB_AUTO_GUIDE_2,naturlige farger
CAMMENU_WB_CLOUDY,Overskyet
CAMMENU_WB_CLOUDY_GUIDE,Brukes på overskyede dager,
CAMMENU_WB_CLOUDY_GUIDE_2,eller i skyggen
CAMMENU_WB_DAYLIGHT,Dagslys
CAMMENU_WB_DAYLIGHT_GUIDE,Brukes for utendørs sol-
CAMMENU_WB_DAYLIGHT_GUIDE_2,skinnsscener el. nattscener
CAMMENU_WB_FLASH,Blits
CAMMENU_WB_FLASH_GUIDE,Brukes når du tar bilder
CAMMENU_WB_FLASH_GUIDE_2,med blits
CAMMENU_WB_FLUORESCENT1,Fluorescerende lys 1
CAMMENU_WB_FLUORESCENT1_GUIDE,Brukes i hvitt
CAMMENU_WB_FLUORESCENT1_GUIDE_2,fluorescerende lys
CAMMENU_WB_FLUORESCENT2,Fluorescerende lys 2
CAMMENU_WB_FLUORESCENT2_GUIDE,Brukes i naturlig hvitt
CAMMENU_WB_FLUORESCENT2_GUIDE_2,fluorescerende lys
CAMMENU_WB_FLUORESCENT3,Fluorescerende lys 3
CAMMENU_WB_FLUORESCENT3_GUIDE,Brukes i hvitt
CAMMENU_WB_FLUORESCENT3_GUIDE_2,fluorescerende lys
CAMMENU_WB_INCANDESCENT,Hvitglødende
CAMMENU_WB_INCANDESCENT_GUIDE,Brukes i strålende
CAMMENU_WB_INCANDESCENT_GUIDE_2,lys eller videolys
CAMMODE_AUTO,Autojustering
CAMMODE_AUTO_GUIDE,For fotografering m/
CAMMODE_AUTO_GUIDE_2,autom. innstillinger
CAMMODE_BEACH,Strand
CAMMODE_BEACH_GUIDE,Fotogr. vannkanten
CAMMODE_BEACH_GUIDE_2,med varm blå farge
CAMMODE_COOKING,Gourmet
CAMMODE_COOKING_GUIDE,Naturlig bilde av mat
CAMMODE_COOKING_GUIDE_2,
CAMMODE_EASY,Enkelt opptak
CAMMODE_EASY_GUIDE,Helautomatisk opptak
CAMMODE_EASY_GUIDE_2,med forenklet skjerm
CAMMODE_FIREWORKS,Fyrverkeri
CAMMODE_FIREWORKS_GUIDE,Ta opp fyrverkeri i
CAMMODE_FIREWORKS_GUIDE_2,all sin prakt
CAMMODE_HIGHSENSITIVITY,Høy følsomhet
CAMMODE_HIGHSENSITIVITY_GUIDE,Opptak uten blits i svakt lys,
CAMMODE_HIGHSENSITIVITY_GUIDE_2,med bildestabilisering
CAMMODE_HIGHSPEEDSHUTTER,Høyhast. -lukker
CAMMODE_HIGHSPEEDSHUTTER_GUIDE,"Frys" objekt i bevegelse
CAMMODE_HIGHSPEEDSHUTTER_GUIDE_2,
CAMMODE_LANDSCAPE,Landskap
CAMMODE_LANDSCAPE_GUIDE,Fotografer landskap
CAMMODE_LANDSCAPE_GUIDE_2,med fokus langt unna
CAMMODE_MOVIE,Filmmodus
CAMMODE_MOVIE_GUIDE,Ta opp film med lyd
CAMMODE_MOVIE_GUIDE_2,
CAMMODE_PAUTO,Program Auto
CAMMODE_PAUTO_GUIDE,Automatisk eksponering
CAMMODE_PAUTO_GUIDE_2,med justerbare innstillinger
CAMMODE_SNOW,Snø
CAMMODE_SNOW_GUIDE,Gjøre klare opptak av scener
CAMMODE_SNOW_GUIDE_2,i hvitt
CAMMODE_SOFTSNAP,Mykt snapshot
