CAMMENU_0EV,0EV
CAMMENU_100,100
CAMMENU_10M,1.0 m
CAMMENU_1600,1600
CAMMENU_200,200
CAMMENU_30M,3.0 m
CAMMENU_3200,3200
CAMMENU_400,400
CAMMENU_70M,7.0 m
CAMMENU_80,80
CAMMENU_800,800
CAMMENU_BRK_03EV,BRK±0,3EV
CAMMENU_BRK_07EV,BRK±0,7EV
CAMMENU_BRK_10EV,BRK±1,0EV
CAMMENU_BURST,Seria
CAMMENU_BURST_BRK03EV_GUIDE,Wykonuje 3 zdjęcia
CAMMENU_BURST_BRK03EV_GUIDE_2,z przesunięciem 0,3 EV
CAMMENU_BURST_BRK07EV_GUIDE,Wykonuje 3 zdjęcia
CAMMENU_BURST_BRK07EV_GUIDE_2,z przesunięciem 0,7 EV
CAMMENU_BURST_BRK10EV_GUIDE,Wykonuje 3 zdjęcia
CAMMENU_BURST_BRK10EV_GUIDE_2,z przesunięciem 1,0 EV
CAMMENU_BURST_OFF_GUIDE,Jedno zdjęcie za każdym
CAMMENU_BURST_OFF_GUIDE_2,wciśnięciem spustu migawki
CAMMENU_BURST_ON_GUIDE,Zdjęcia seryjne dopóki
CAMMENU_BURST_ON_GUIDE_2,spust pozostaje wciśnięty
CAMMENU_CENTER,Centralny
CAMMENU_CENTERAF,Centr AF
CAMMENU_CLOSEEYE,Redukcja zamkniętych oczu
CAMMENU_CLOSEEYE_AUTO_GUIDE,Analiza oczu aby uniknąć
CAMMENU_CLOSEEYE_AUTO_GUIDE_2,zamkniętych oczu
CAMMENU_CLOSEEYE_OFF_GUIDE,Redukcja zamkniętych oczu
CAMMENU_CLOSEEYE_OFF_GUIDE_2,wyłączona
CAMMENU_COLOR,Tryb koloru
CAMMENU_COLOR_BW,Czarno-białe
CAMMENU_COLOR_BW_GUIDE,Zamienia obraz na czarno-
CAMMENU_COLOR_BW_GUIDE_2,biały
CAMMENU_COLOR_NORMAL_GUIDE,Nagrywa w standardowym
CAMMENU_COLOR_NORMAL_GUIDE_2,trybie koloru
CAMMENU_COLOR_SEPIA,Sepia
CAMMENU_COLOR_SEPIA_GUIDE,Naśladuje kolorystykę
CAMMENU_COLOR_SEPIA_GUIDE_2,starych fotografii
CAMMENU_COLOR_VIVID,Intensywny
CAMMENU_COLOR_VIVID_GUIDE,Rejestruje obrazy w żywych
CAMMENU_COLOR_VIVID_GUIDE_2,i nasyconych barwach
CAMMENU_CONTINUOUS,Ciągły
CAMMENU_DRO,DRO
CAMMENU_DRO_ADV,Zaawansowany
CAMMENU_DRO_ADV_GUIDE,Wydobywa szczegóły z cienia
CAMMENU_DRO_ADV_GUIDE_2,bez straty jasnych miejsc
CAMMENU_DRO_OFF_GUIDE,Wydobycie szczegółów
CAMMENU_DRO_OFF_GUIDE_2,z cienia niemożliwe.
CAMMENU_DRO_PLUS,DRO plus
CAMMENU_DRO_STANDARD_GUIDE,Wydobywa szczegóły obrazu
CAMMENU_DRO_STANDARD_GUIDE_2,utracone w cieniu
CAMMENU_DRO_STD,DRO standard
CAMMENU_EV,EV
CAMMENU_EV2,EV
CAMMENU_EV_GUIDE,Reguluje jasność (＋)
CAMMENU_EV_GUIDE2,Reguluje jasność (＋)
CAMMENU_EV_GUIDE2_2,i ciemność (－) obrazu
CAMMENU_EV_GUIDE_2,i ciemność (－) obrazu
CAMMENU_FACE,Wykrywanie twarzy
CAMMENU_FACE_ADULT,Priorytet dorosłego
CAMMENU_FACE_ADULT_GUIDE,Priorytet ostrości na
CAMMENU_FACE_ADULT_GUIDE_2,twarzach dorosłych
CAMMENU_FACE_CHILD,Priorytet dziecka
CAMMENU_FACE_CHILD_GUIDE,Priorytet ostrości na
CAMMENU_FACE_CHILD_GUIDE_2,twarzach dzieci
CAMMENU_FACE_ON_GUIDE,Ustawia pierwszeństwo
CAMMENU_FACE_ON_GUIDE_2,ustawiania ostrości na twarze
CAMMENU_FACE_TOUCH_GUIDE,Aktywacja wykrywania twarzy
CAMMENU_FACE_TOUCH_GUIDE_2,gdy twarz zostanie dotknięta
CAMMENU_FLASHLEVEL,Moc błysku
CAMMENU_FLASHLEVEL_DOWN_GUIDE,Fotografuje z mniejszą
CAMMENU_FLASHLEVEL_DOWN_GUIDE_2,intensywnością błysku
CAMMENU_FLASHLEVEL_NORMAL_GUIDE,Fotografuje ze standardową
CAMMENU_FLASHLEVEL_NORMAL_GUIDE_2,intensywnością błysku
CAMMENU_FLASHLEVEL_UP_GUIDE,Fotografuje z większą
CAMMENU_FLASHLEVEL_UP_GUIDE_2,intensywnością błysku
CAMMENU_FLASH_SYNCHRO,Synch. z dł. czas.
CAMMENU_FOCUS,Ostrość
CAMMENU_FOUCS_10M_GUIDE,Ustawia ostrość na odległość
CAMMENU_FOUCS_10M_GUIDE_2,około 1 metra
CAMMENU_FOUCS_30M_GUIDE,Ustawia ostrość na odległość
CAMMENU_FOUCS_30M_GUIDE_2,około 3 metrów
CAMMENU_FOUCS_70M_GUIDE,Ustawia ostrość na odległość
CAMMENU_FOUCS_70M_GUIDE_2,około 7 metrów
CAMMENU_FOUCS_CENTER_GUIDE,Autofokus na
CAMMENU_FOUCS_CENTER_GUIDE_2,centralnym obiekcie
CAMMENU_FOUCS_INFINITY_GUIDE,Ustawia ostrość na
CAMMENU_FOUCS_INFINITY_GUIDE_2,nieskończoność
CAMMENU_FOUCS_MANUAL_GUIDE,Ręczne nastawianie ostrości.
CAMMENU_FOUCS_MANUAL_GUIDE_2,
CAMMENU_FOUCS_MULTI_GUIDE,Autofokus
CAMMENU_FOUCS_MULTI_GUIDE_2,w całej ramce
CAMMENU_FOUCS_SPOT_GUIDE,Autofokus na
CAMMENU_FOUCS_SPOT_GUIDE_2,centralnym punkcie
CAMMENU_FOUCS_TSPOT_GUIDE,Autofokus przez dotknięcie
CAMMENU_FOUCS_TSPOT_GUIDE_2,punktu na ekranie
CAMMENU_IMAGESIZE,Rozm. Obrazu
CAMMENU_IMAGESIZE_L,Duży
CAMMENU_IMAGESIZE_S,Mały
CAMMENU_INFINITY,∞
CAMMENU_ISO,ISO
CAMMENU_ISO_100_GUIDE,Nastawia czułość na ISO 100
CAMMENU_ISO_100_GUIDE_2,
CAMMENU_ISO_1600_GUIDE,Nastawia czułość na ISO
CAMMENU_ISO_1600_GUIDE_2,1600
CAMMENU_ISO_200_GUIDE,Nastawia czułość na ISO 200
CAMMENU_ISO_200_GUIDE_2,
CAMMENU_ISO_3200_GUIDE,Nastawia czułość na ISO
CAMMENU_ISO_3200_GUIDE_2,3200
CAMMENU_ISO_400_GUIDE,Nastawia czułość na ISO 400
CAMMENU_ISO_400_GUIDE_2,
CAMMENU_ISO_64_GUIDE,Nastawia czułość na ISO 64
CAMMENU_ISO_64_GUIDE_2,
CAMMENU_ISO_800_GUIDE,Nastawia czułość na ISO 800
CAMMENU_ISO_800_GUIDE_2,
CAMMENU_ISO_80_GUIDE,Nastawia czułość na ISO 80
CAMMENU_ISO_80_GUIDE_2,
CAMMENU_ISO_AUTO_GUIDE,Automatyczna regulacja
CAMMENU_ISO_AUTO_GUIDE_2,czułości
CAMMENU_M03EV,-0.3EV
CAMMENU_M07EV,-0.7EV
CAMMENU_M10EV,-1.0EV
CAMMENU_M13EV,-1.3EV
CAMMENU_M17EV,-1.7EV
CAMMENU_M20EV,-2.0EV
CAMMENU_MACRO,Makro
CAMMENU_MENU,Menu
CAMMENU_METERINGMODE,Tryb pomiaru
CAMMENU_METERING_CENTER_GUIDE,Naświetlenie w oparciu o
CAMMENU_METERING_CENTER_GUIDE_2,jasność centrum obrazu
CAMMENU_METERING_MULTI_GUIDE,Naświetlenie w oparciu
CAMMENU_METERING_MULTI_GUIDE_2,o jasność całego kadru
CAMMENU_METERING_SPOT_GUIDE,Naświetlenie w oparciu o
CAMMENU_METERING_SPOT_GUIDE_2,jasność centralnego punktu
CAMMENU_MINUS,－
CAMMENU_MULTI,Wielopunktowy
CAMMENU_MULTIAF,Multi AF
CAMMENU_NORMAL_CAP,Normalny
CAMMENU_P03EV,+0.3EV
CAMMENU_P07EV,+0.7EV
CAMMENU_P10EV,+1.0EV
CAMMENU_P13EV,+1.3EV
CAMMENU_P17EV,+1.7EV
CAMMENU_P20EV,+2.0EV
CAMMENU_PLUS,＋
CAMMENU_RECMODE,Tryb NAGR
CAMMENU_RECOGNITION,Rozpoznanie sceny
CAMMENU_RECOGNITION_ADV_GUIDE,Autom. robi dodatkowe zdj.
CAMMENU_RECOGNITION_ADV_GUIDE2,Autom. robi dodatkowe zdj.
CAMMENU_RECOGNITION_ADV_GUIDE2_2,dla zmierzchu i ośw. tylnego
CAMMENU_RECOGNITION_ADV_GUIDE_2,dla zmierzchu i ośw. tylnego
CAMMENU_RECOGNITION_AUTO2_GUIDE,Nagrywa z ustawieniami
CAMMENU_RECOGNITION_AUTO2_GUIDE_2,optymalnymi dla danej sceny
CAMMENU_RECOGNITION_AUTO_GUIDE,Zdjęcia z optymalnymi nast.
CAMMENU_RECOGNITION_AUTO_GUIDE_2,dla zmierzchu i ośw. tylnego
CAMMENU_RECOGNITION_OFF_GUIDE,Wyłącza rozpoznanie
CAMMENU_RECOGNITION_OFF_GUIDE_2,sceny
CAMMENU_REDEYEREDUCTION,Reduk czerw oczu
CAMMENU_REDEYE_FACE_GUIDE,Redukcja czerwonych oczu
CAMMENU_REDEYE_FACE_GUIDE_2,po wykryciu twarzy
CAMMENU_REDEYE_OFF_GUIDE,Redukcja czerwonych oczu
CAMMENU_REDEYE_OFF_GUIDE_2,wyłączona
CAMMENU_REDEYE_ON_GUIDE,Przedbłysk dla red. czerw.
CAMMENU_REDEYE_ON_GUIDE_2,oczu gdy używ. lampa błysk
CAMMENU_REMAIN_NUMBER,Przyb poj obrazu
CAMMENU_REMAIN_TIME,Poz czas w przybl
CAMMENU_SATURATION_DOWN_GUIDE,Robi zdjęcia o niższym
CAMMENU_SATURATION_DOWN_GUIDE_2,nasyceniu koloru
CAMMENU_SATURATION_NORMAL_GUIDE,Nastawia nasycenie koloru
CAMMENU_SATURATION_NORMAL_GUIDE_2,na normalne
CAMMENU_SATURATION_UP_GUIDE,Robi zdjęcia o wyższym
CAMMENU_SATURATION_UP_GUIDE_2,nasyceniu koloru
CAMMENU_SELFTIMER,Samowyzw
CAMMENU_SELFTIMER_10SEC,Samowyzw 10sek
CAMMENU_SELFTIMER_2SEC,Samowyzw 2sek
CAMMENU_SELFTIMER_OFF,Samowyzw wyłączony
CAMMENU_SETUP,Nastawienia
CAMMENU_SETUP_CHANGE_GUIDE,Przejście do wyświetlenia
CAMMENU_SETUP_CHANGE_GUIDE_2,nastawień nagrywania
CAMMENU_SHOOTING,Nagryw
CAMMENU_SIZE_10MEG,10M
CAMMENU_SIZE_12M_GUIDE,Dla druków maks A3+
CAMMENU_SIZE_12M_GUIDE_2,
CAMMENU_SIZE_16_9,16:9
CAMMENU_SIZE_16_9_2MEG_GUIDE,Do oglądania na
CAMMENU_SIZE_16_9_2MEG_GUIDE_2,telewizorach HDTV
CAMMENU_SIZE_16_9_A3_GUIDE,Do oglądania na HDTV i
CAMMENU_SIZE_16_9_A3_GUIDE_2,drukowania maks A3
CAMMENU_SIZE_16_9_A4_GUIDE,Do oglądania na HDTV i
CAMMENU_SIZE_16_9_A4_GUIDE_2,drukowania maks A4
CAMMENU_SIZE_16_9_GUIDE,Nagrywa w formacie HDTV
CAMMENU_SIZE_16_9_GUIDE_2,
CAMMENU_SIZE_320,320
CAMMENU_SIZE_320_GUIDE,Nagrywa w małym rozmiarze
CAMMENU_SIZE_320_GUIDE_2,załącznika e-mail
CAMMENU_SIZE_3MEG,3M
CAMMENU_SIZE_3M_GUIDE,Dla druków maks 10x15 cm
CAMMENU_SIZE_3M_GUIDE_2,lub 13x18 cm
CAMMENU_SIZE_3_2_8MEG,3:2(8M)
CAMMENU_SIZE_3_2_GUIDE,Nagrywa w formacie 3:2
CAMMENU_SIZE_3_2_GUIDE_2,
CAMMENU_SIZE_4_3,4:3
CAMMENU_SIZE_5MEG,5M
CAMMENU_SIZE_5M_GUIDE,Dla druków maks A4
CAMMENU_SIZE_5M_GUIDE_2,
CAMMENU_SIZE_640FINE,640(Wys. jakość)
CAMMENU_SIZE_640FINE_GUIDE,Nagrywa film wys. jakości
CAMMENU_SIZE_640FINE_GUIDE_2,do wyświetlenia na TV
CAMMENU_SIZE_640STD,640(Standard)
CAMMENU_SIZE_640STD_GUIDE,Nagr. film jakości standard
CAMMENU_SIZE_640STD_GUIDE_2,do wyświetlenia na TV
CAMMENU_SIZE_8M_GUIDE,Dla druków maks A3
CAMMENU_SIZE_8M_GUIDE_2,
CAMMENU_SIZE_HD_2MEG,16:9(2M)
CAMMENU_SIZE_HD_7MEG,16:9(7M)
CAMMENU_SIZE_HD_VGA,16:9(VGA)
CAMMENU_SIZE_VGA,VGA
CAMMENU_SIZE_VGA_GUIDE,Nagrywa w małym rozmiarze
CAMMENU_SIZE_VGA_GUIDE_2,załącznika e-mail
CAMMENU_SMILE,Wykrywanie uśmiechu
CAMMENU_SMILESHUTTER_HIGH_GUIDE,Zdjęcie z wysoką czułością
CAMMENU_SMILESHUTTER_HIGH_GUIDE_2,wykrywania uśmiechu
CAMMENU_SMILESHUTTER_LOW_GUIDE,Zdjęcie z niską czułością
CAMMENU_SMILESHUTTER_LOW_GUIDE_2,wykrywania uśmiechu
CAMMENU_SMILESHUTTER_NORMAL_GUIDE,Zdjęcie ze standardową
CAMMENU_SMILESHUTTER_NORMAL_GUIDE_2,czułością wykr. uśmiechu
CAMMENU_SMILE_DETECTION,Czułość wykryw. uśmiechu
CAMMENU_SPOT,Punktowy
CAMMENU_SPOTAF,Punktowy AF
CAMMENU_STEADYSHOT,SteadyShot
CAMMENU_STEADYSHOT_CONT_GUIDE,SteadyShot zawsze włączony
CAMMENU_STEADYSHOT_CONT_GUIDE_2,
CAMMENU_STEADYSHOT_OFF_GUIDE,SteadyShot wyłączony
CAMMENU_STEADYSHOT_OFF_GUIDE_2,
CAMMENU_STEADYSHOT_SHOOT_GUIDE,SteadyShot włączony gdy
CAMMENU_STEADYSHOT_SHOOT_GUIDE_2,spust jest lekko wciśnięty
CAMMENU_TOUCH,Po dotknięciu
CAMMENU_WATERWB,Podwodny balans bieli
CAMMENU_WATERWB_AUTO_GUIDE,Autom. ustawienie balansu
CAMMENU_WATERWB_AUTO_GUIDE_2,bieli do zdjęć podwodnych
CAMMENU_WATERWB_FLASH_GUIDE,Używane do zdjęć
CAMMENU_WATERWB_FLASH_GUIDE_2,podwodnych z lampą błysk.
CAMMENU_WATERWB_WATER1,Podwodny 1
CAMMENU_WATERWB_WATER1_GUIDE,Używane do zdjęć
CAMMENU_WATERWB_WATER1_GUIDE_2,w niebieskiej wodzie
CAMMENU_WATERWB_WATER2,Podwodny 2
CAMMENU_WATERWB_WATER2_GUIDE,Używane do zdjęć
CAMMENU_WATERWB_WATER2_GUIDE_2,w zielonej wodzie
CAMMENU_WB2,Balans bieli
CAMMENU_WB_AUTO_GUIDE,Automatyczne ustawienie
CAMMENU_WB_AUTO_GUIDE_2,naturalnych kolorów
CAMMENU_WB_CLOUDY,Pochmurnie
CAMMENU_WB_CLOUDY_GUIDE,Użyj w dzień zachmurzony
CAMMENU_WB_CLOUDY_GUIDE_2,lub w cieniu
CAMMENU_WB_DAYLIGHT,Światło dzienne
CAMMENU_WB_DAYLIGHT_GUIDE,Użyj dla sceny w słońcu
CAMMENU_WB_DAYLIGHT_GUIDE_2,lub dla scenerii nocnej
CAMMENU_WB_FLASH,Błysk
CAMMENU_WB_FLASH_GUIDE,Użyj gdy fotografujesz
CAMMENU_WB_FLASH_GUIDE_2,z lampą błyskową
CAMMENU_WB_FLUORESCENT1,Światło świetlówki 1
CAMMENU_WB_FLUORESCENT1_GUIDE,Użyj dla białego światła
CAMMENU_WB_FLUORESCENT1_GUIDE_2,świetlówek
CAMMENU_WB_FLUORESCENT2,Światło świetlówki 2
CAMMENU_WB_FLUORESCENT2_GUIDE,Użyj dla naturalnie białego
CAMMENU_WB_FLUORESCENT2_GUIDE_2,światła świetlówek
CAMMENU_WB_FLUORESCENT3,Światło świetlówki 3
CAMMENU_WB_FLUORESCENT3_GUIDE,Użyj dla światła świetlówek
CAMMENU_WB_FLUORESCENT3_GUIDE_2,o dziennej bieli
CAMMENU_WB_INCANDESCENT,Żarowe
CAMMENU_WB_INCANDESCENT_GUIDE,Użyj dla światła żarówek
CAMMENU_WB_INCANDESCENT_GUIDE_2,lub światła wideo
CAMMODE_AUTO,Auto regulacja
CAMMODE_AUTO_GUIDE,Fotografowanie z auto
CAMMODE_AUTO_GUIDE_2,nastawieniami
CAMMODE_BEACH,Plaża
CAMMODE_BEACH_GUIDE,Zdjęcie nad wodą
CAMMODE_BEACH_GUIDE_2,oddaje błękit wody
CAMMODE_COOKING,Kulinaria
CAMMODE_COOKING_GUIDE,Ładne zdjęcia jedzenia
CAMMODE_COOKING_GUIDE_2,
CAMMODE_EASY,Łatwe fotografowanie
CAMMODE_EASY_GUIDE,Całkowicie automatyczne fot.
CAMMODE_EASY_GUIDE_2,z uproszczonym wyświetl.
CAMMODE_FIREWORKS,Fajerwerki
CAMMODE_FIREWORKS_GUIDE,Fotografowanie
CAMMODE_FIREWORKS_GUIDE_2,fajerwerków
CAMMODE_HIGHSENSITIVITY,Duża czułość
CAMMODE_HIGHSENSITIVITY_GUIDE,Zdjęcia bez błysku
CAMMODE_HIGHSENSITIVITY_GUIDE_2,w słabym świetle
CAMMODE_HIGHSPEEDSHUTTER,Krótki czas migawki
CAMMODE_HIGHSPEEDSHUTTER_GUIDE,Zdjęcia szybko
CAMMODE_HIGHSPEEDSHUTTER_GUIDE_2,poruszających się obiektów
CAMMODE_LANDSCAPE,Pejzaż
