CAMMENU_0EV,0EV
CAMMENU_100,100
CAMMENU_10M,1.0 m
CAMMENU_1600,1600
CAMMENU_200,200
CAMMENU_30M,3.0 m
CAMMENU_3200,3200
CAMMENU_400,400
CAMMENU_70M,7.0 m
CAMMENU_80,80
CAMMENU_800,800
CAMMENU_BRK_03EV,BRK±0,3EV
CAMMENU_BRK_07EV,BRK±0,7EV
CAMMENU_BRK_10EV,BRK±1,0EV
CAMMENU_BURST,Burst
CAMMENU_BURST_BRK03EV_GUIDE,Fotografar 3 imagens a
CAMMENU_BURST_BRK03EV_GUIDE_2,0,3 EV de intervalo
CAMMENU_BURST_BRK07EV_GUIDE,Fotografar 3 imagens a
CAMMENU_BURST_BRK07EV_GUIDE_2,0,7 EV de intervalo
CAMMENU_BURST_BRK10EV_GUIDE,Fotografar 3 imagens a
CAMMENU_BURST_BRK10EV_GUIDE_2,1,0 EV de intervalo
CAMMENU_BURST_OFF_GUIDE,Fotografar uma vez ao premir
CAMMENU_BURST_OFF_GUIDE_2,o botão do obturador
CAMMENU_BURST_ON_GUIDE,Fotografar continuamente e
CAMMENU_BURST_ON_GUIDE_2,segurar o botão obturador
CAMMENU_CENTER,Centro
CAMMENU_CENTERAF,Centro AF
CAMMENU_CLOSEEYE,Redução Olhos Fechados
CAMMENU_CLOSEEYE_AUTO_GUIDE,Analisa olhos para evitar
CAMMENU_CLOSEEYE_AUTO_GUIDE_2,os olhos fechados
CAMMENU_CLOSEEYE_OFF_GUIDE,Desligar Redução dos Olhos
CAMMENU_CLOSEEYE_OFF_GUIDE_2,Fechados
CAMMENU_COLOR,Modo de Cor
CAMMENU_COLOR_BW,P&B
CAMMENU_COLOR_BW_GUIDE,Faz imag a preto e branco
CAMMENU_COLOR_BW_GUIDE_2,
CAMMENU_COLOR_NORMAL_GUIDE,Fotografar em modo de cor
CAMMENU_COLOR_NORMAL_GUIDE_2,standard
CAMMENU_COLOR_SEPIA,Sepia
CAMMENU_COLOR_SEPIA_GUIDE,Simula cores de fotos antig
CAMMENU_COLOR_SEPIA_GUIDE_2,
CAMMENU_COLOR_VIVID,Viva
CAMMENU_COLOR_VIVID_GUIDE,Definir a imag para cor
CAMMENU_COLOR_VIVID_GUIDE_2,profunda e viva
CAMMENU_CONTINUOUS,Contínuo
CAMMENU_DRO,DRO
CAMMENU_DRO_ADV,Avançado
CAMMENU_DRO_ADV_GUIDE,Recuperar detalhe de
CAMMENU_DRO_ADV_GUIDE_2,sombra sem perder realces
CAMMENU_DRO_OFF_GUIDE,Sem recuperação do detalhe
CAMMENU_DRO_OFF_GUIDE_2,de sombra
CAMMENU_DRO_PLUS,DRO plus
CAMMENU_DRO_STANDARD_GUIDE,Recupera detalhe da imagem
CAMMENU_DRO_STANDARD_GUIDE_2,perdido na área de sombra
CAMMENU_DRO_STD,DRO standard
CAMMENU_EV,EV
CAMMENU_EV2,EV
CAMMENU_EV_GUIDE,Ajustar brilho da imagem (+)
CAMMENU_EV_GUIDE2,Ajustar brilho da imagem (+)
CAMMENU_EV_GUIDE2_2,e escuridão (－)
CAMMENU_EV_GUIDE_2,e escuridão (－)
CAMMENU_FACE,Detecção de Cara
CAMMENU_FACE_ADULT,Prioridade de Adulto
CAMMENU_FACE_ADULT_GUIDE,Foca com prioridade em
CAMMENU_FACE_ADULT_GUIDE_2,caras de adultos
CAMMENU_FACE_CHILD,Prioridade de Criança
CAMMENU_FACE_CHILD_GUIDE,Foca com prioridade em
CAMMENU_FACE_CHILD_GUIDE_2,caras de crianças
CAMMENU_FACE_ON_GUIDE,Definir prioridade para focar
CAMMENU_FACE_ON_GUIDE_2,as caras das pessoas
CAMMENU_FACE_TOUCH_GUIDE,Activar detecção de cara
CAMMENU_FACE_TOUCH_GUIDE_2,só quando uma cara é tocada
CAMMENU_FLASHLEVEL,Nív. flash
CAMMENU_FLASHLEVEL_DOWN_GUIDE,Fotografar com baixa
CAMMENU_FLASHLEVEL_DOWN_GUIDE_2,intensidade de flash
CAMMENU_FLASHLEVEL_NORMAL_GUIDE,Fotografar com intensidade
CAMMENU_FLASHLEVEL_NORMAL_GUIDE_2,de flash normal
CAMMENU_FLASHLEVEL_UP_GUIDE,Fotografar com alta
CAMMENU_FLASHLEVEL_UP_GUIDE_2,intensidade de flash
CAMMENU_FLASH_SYNCHRO,Sinc. lenta
CAMMENU_FOCUS,Foco
CAMMENU_FOUCS_10M_GUIDE,Definir o foco
CAMMENU_FOUCS_10M_GUIDE_2,aprox. 1,0 m de distância
CAMMENU_FOUCS_30M_GUIDE,Definir o foco
CAMMENU_FOUCS_30M_GUIDE_2,aprox. 3,0 m de distância
CAMMENU_FOUCS_70M_GUIDE,Definir o foco
CAMMENU_FOUCS_70M_GUIDE_2,aprox. 7,0 m de distância
CAMMENU_FOUCS_CENTER_GUIDE,Foco automático
CAMMENU_FOUCS_CENTER_GUIDE_2,num motivo no centro
CAMMENU_FOUCS_INFINITY_GUIDE,Definir o foco a
CAMMENU_FOUCS_INFINITY_GUIDE_2,uma distância ilimitada
CAMMENU_FOUCS_MANUAL_GUIDE,Definir manualmente o foco
CAMMENU_FOUCS_MANUAL_GUIDE_2,
CAMMENU_FOUCS_MULTI_GUIDE,Foco automático
CAMMENU_FOUCS_MULTI_GUIDE_2,por todo o fotograma
CAMMENU_FOUCS_SPOT_GUIDE,Foco auto num ponto central
CAMMENU_FOUCS_SPOT_GUIDE_2,
CAMMENU_FOUCS_TSPOT_GUIDE,Foco automático tocando
CAMMENU_FOUCS_TSPOT_GUIDE_2,em qualquer ponto do ecrã
CAMMENU_IMAGESIZE,Tam imagem
CAMMENU_IMAGESIZE_L,Grande
CAMMENU_IMAGESIZE_S,Pequeno
CAMMENU_INFINITY,∞
CAMMENU_ISO,ISO
CAMMENU_ISO_100_GUIDE,Definir a sensib em
CAMMENU_ISO_100_GUIDE_2,ISO 100
CAMMENU_ISO_1600_GUIDE,Definir a sensib em
CAMMENU_ISO_1600_GUIDE_2,ISO 1600
CAMMENU_ISO_200_GUIDE,Definir a sensib em
CAMMENU_ISO_200_GUIDE_2,ISO 200
CAMMENU_ISO_3200_GUIDE,Definir a sensib em
CAMMENU_ISO_3200_GUIDE_2,ISO 3200
CAMMENU_ISO_400_GUIDE,Definir a sensib em
CAMMENU_ISO_400_GUIDE_2,ISO 400
CAMMENU_ISO_64_GUIDE,Definir a sensib em
CAMMENU_ISO_64_GUIDE_2,ISO 64
CAMMENU_ISO_800_GUIDE,Definir a sensib em
CAMMENU_ISO_800_GUIDE_2,ISO 800
CAMMENU_ISO_80_GUIDE,Definir a sensib em
CAMMENU_ISO_80_GUIDE_2,ISO 80
CAMMENU_ISO_AUTO_GUIDE,Sensibilidade de ajuste auto
CAMMENU_ISO_AUTO_GUIDE_2,
CAMMENU_M03EV,-0.3EV
CAMMENU_M07EV,-0.7EV
CAMMENU_M10EV,-1.0EV
CAMMENU_M13EV,-1.3EV
CAMMENU_M17EV,-1.7EV
CAMMENU_M20EV,-2.0EV
CAMMENU_MACRO,Macro
CAMMENU_MENU,Menu
CAMMENU_METERINGMODE,Modo de medição
CAMMENU_METERING_CENTER_GUIDE,Exposição baseada em
CAMMENU_METERING_CENTER_GUIDE_2,brilho central
CAMMENU_METERING_MULTI_GUIDE,Exposição balanceada
CAMMENU_METERING_MULTI_GUIDE_2,por todo o fotograma
CAMMENU_METERING_SPOT_GUIDE,Exposição baseada em
CAMMENU_METERING_SPOT_GUIDE_2,brilho de um ponto central
CAMMENU_MINUS,－
CAMMENU_MULTI,Multi
CAMMENU_MULTIAF,Multi AF
CAMMENU_NORMAL_CAP,Normal
CAMMENU_P03EV,+0.3EV
CAMMENU_P07EV,+0.7EV
CAMMENU_P10EV,+1.0EV
CAMMENU_P13EV,+1.3EV
CAMMENU_P17EV,+1.7EV
CAMMENU_P20EV,+2.0EV
CAMMENU_PLUS,＋
CAMMENU_RECMODE,Modo GRAV
CAMMENU_RECOGNITION,Reconhecimento de cena
CAMMENU_RECOGNITION_ADV_GUIDE,Tira automat mais uma foto
CAMMENU_RECOGNITION_ADV_GUIDE2,Tira automat mais uma foto
CAMMENU_RECOGNITION_ADV_GUIDE2_2,em crepúsculo ou luz fundo
CAMMENU_RECOGNITION_ADV_GUIDE_2,em crepúsculo ou luz fundo
CAMMENU_RECOGNITION_AUTO2_GUIDE,Fotografa com definiç ideais
CAMMENU_RECOGNITION_AUTO2_GUIDE_2,para a cena
CAMMENU_RECOGNITION_AUTO_GUIDE,Fotografa com definiç ideais
CAMMENU_RECOGNITION_AUTO_GUIDE_2,em crepúsculo ou luz fundo
CAMMENU_RECOGNITION_OFF_GUIDE,Desligar reconhec de cena
CAMMENU_RECOGNITION_OFF_GUIDE_2,
CAMMENU_REDEYEREDUCTION,Redução olhos verm
CAMMENU_REDEYE_FACE_GUIDE,Redução auto dos olho verm
CAMMENU_REDEYE_FACE_GUIDE_2,quando se detectarem caras
CAMMENU_REDEYE_OFF_GUIDE,Redução olhos verm deslig
CAMMENU_REDEYE_OFF_GUIDE_2,
CAMMENU_REDEYE_ON_GUIDE,Pré-flash p/ reduz olho verm
CAMMENU_REDEYE_ON_GUIDE_2,quando usar o flash
CAMMENU_REMAIN_NUMBER,Cap Imagem Aprox.
CAMMENU_REMAIN_TIME,Tempo restante aprox
CAMMENU_SATURATION_DOWN_GUIDE,Fotografar imagens com
CAMMENU_SATURATION_DOWN_GUIDE_2,menor saturação de cor
CAMMENU_SATURATION_NORMAL_GUIDE,Regular a saturação de cor
CAMMENU_SATURATION_NORMAL_GUIDE_2,para Normal
CAMMENU_SATURATION_UP_GUIDE,Fotografar imagens com
CAMMENU_SATURATION_UP_GUIDE_2,maior saturação de cor
CAMMENU_SELFTIMER,Temp. Auto
CAMMENU_SELFTIMER_10SEC,Temp. Auto 10seg
CAMMENU_SELFTIMER_2SEC,Temp. Auto 2seg
CAMMENU_SELFTIMER_OFF,Temp. Auto Desligado
CAMMENU_SETUP,Regulação
CAMMENU_SETUP_CHANGE_GUIDE,Ir para Definições de Filmar
CAMMENU_SETUP_CHANGE_GUIDE_2,Visor
CAMMENU_SHOOTING,Filmar
CAMMENU_SIZE_10MEG,10M
CAMMENU_SIZE_12M_GUIDE,Em impressões até A3+
CAMMENU_SIZE_12M_GUIDE_2,
CAMMENU_SIZE_16_9,16:9
CAMMENU_SIZE_16_9_2MEG_GUIDE,Para ver em HDTVs
CAMMENU_SIZE_16_9_2MEG_GUIDE_2,
CAMMENU_SIZE_16_9_A3_GUIDE,Para ver em HDTVs e
CAMMENU_SIZE_16_9_A3_GUIDE_2,imprimir até A3
CAMMENU_SIZE_16_9_A4_GUIDE,Para ver em HDTVs e
CAMMENU_SIZE_16_9_A4_GUIDE_2,imprimir até A4
CAMMENU_SIZE_16_9_GUIDE,Fotografar no modo HDTV
CAMMENU_SIZE_16_9_GUIDE_2,
CAMMENU_SIZE_320,320
CAMMENU_SIZE_320_GUIDE,Foto em taman pequeno
CAMMENU_SIZE_320_GUIDE_2,para anexo de e-mail
CAMMENU_SIZE_3MEG,3M
CAMMENU_SIZE_3M_GUIDE,Em impressões até 10x15cm
CAMMENU_SIZE_3M_GUIDE_2,ou 13x18cm
CAMMENU_SIZE_3_2_8MEG,3:2(8M)
CAMMENU_SIZE_3_2_GUIDE,Fotografar no modo 3:2
CAMMENU_SIZE_3_2_GUIDE_2,
CAMMENU_SIZE_4_3,4:3
CAMMENU_SIZE_5MEG,5M
CAMMENU_SIZE_5M_GUIDE,Em impressões até A4
CAMMENU_SIZE_5M_GUIDE_2,
CAMMENU_SIZE_640FINE,640(Qualid. )
CAMMENU_SIZE_640FINE_GUIDE,Captar filme alta qualidade
CAMMENU_SIZE_640FINE_GUIDE_2,para visualizar na TV
CAMMENU_SIZE_640STD,640(Normal)
CAMMENU_SIZE_640STD_GUIDE,Captar filme de qualid padrão
CAMMENU_SIZE_640STD_GUIDE_2,para visualizar na TV
CAMMENU_SIZE_8M_GUIDE,Em impressões até A3
CAMMENU_SIZE_8M_GUIDE_2,
CAMMENU_SIZE_HD_2MEG,16:9(2M)
CAMMENU_SIZE_HD_7MEG,16:9(7M)
CAMMENU_SIZE_HD_VGA,16:9(VGA)
CAMMENU_SIZE_VGA,VGA
CAMMENU_SIZE_VGA_GUIDE,Foto taman de img pequen
CAMMENU_SIZE_VGA_GUIDE_2,para anexo de e-mail
CAMMENU_SMILE,Detecção de sorriso
CAMMENU_SMILESHUTTER_HIGH_GUIDE,Foto com alta sensibilidade
CAMMENU_SMILESHUTTER_HIGH_GUIDE_2,de detecção de sorriso
CAMMENU_SMILESHUTTER_LOW_GUIDE,Foto com baixa sensibilidade
CAMMENU_SMILESHUTTER_LOW_GUIDE_2,de detecção de sorriso
CAMMENU_SMILESHUTTER_NORMAL_GUIDE,Foto c/ sensibilidade normal
CAMMENU_SMILESHUTTER_NORMAL_GUIDE_2,de detecção de sorriso
CAMMENU_SMILE_DETECTION,Sensib detecção sorriso
CAMMENU_SPOT,Ponto
CAMMENU_SPOTAF,Ponto AF
CAMMENU_STEADYSHOT,SteadyShot
CAMMENU_STEADYSHOT_CONT_GUIDE,SteadyShot sempre ligada
CAMMENU_STEADYSHOT_CONT_GUIDE_2,
CAMMENU_STEADYSHOT_OFF_GUIDE,SteadyShot desligada
CAMMENU_STEADYSHOT_OFF_GUIDE_2,
CAMMENU_STEADYSHOT_SHOOT_GUIDE,SteadyShot ligada qd o botão
CAMMENU_STEADYSHOT_SHOOT_GUIDE_2,obtur for premido até meio
CAMMENU_TOUCH,Quando tocada
CAMMENU_WATERWB,Equil. br. Subaquático
CAMMENU_WATERWB_AUTO_GUIDE,Ajustar auto equil. br.
CAMMENU_WATERWB_AUTO_GUIDE_2,para filmar debaixo de água
CAMMENU_WATERWB_FLASH_GUIDE,Usar quando fotografa
CAMMENU_WATERWB_FLASH_GUIDE_2,debaixo de água usando flash
CAMMENU_WATERWB_WATER1,Subaquático 1
CAMMENU_WATERWB_WATER1_GUIDE,Usar quando filma
CAMMENU_WATERWB_WATER1_GUIDE_2,em água azul
CAMMENU_WATERWB_WATER2,Subaquático 2
CAMMENU_WATERWB_WATER2_GUIDE,Usar quando fotografa
CAMMENU_WATERWB_WATER2_GUIDE_2,em água verde
CAMMENU_WB2,Equil. br.
CAMMENU_WB_AUTO_GUIDE,Ajuste auto p/ cor naturais
CAMMENU_WB_AUTO_GUIDE_2,
CAMMENU_WB_CLOUDY,Nebuloso
CAMMENU_WB_CLOUDY_GUIDE,Usar em dias nublados ou
CAMMENU_WB_CLOUDY_GUIDE_2,na sombra
CAMMENU_WB_DAYLIGHT,Luz do dia
CAMMENU_WB_DAYLIGHT_GUIDE,Usar em cenas exteriores
CAMMENU_WB_DAYLIGHT_GUIDE_2,ao sol ou cenas nocturnas
CAMMENU_WB_FLASH,Flash
CAMMENU_WB_FLASH_GUIDE,Usar quando fotografar
CAMMENU_WB_FLASH_GUIDE_2,com flash
CAMMENU_WB_FLUORESCENT1,Luz Fluorescente 1
CAMMENU_WB_FLUORESCENT1_GUIDE,Usar sob luz fluorescente
CAMMENU_WB_FLUORESCENT1_GUIDE_2,branca
CAMMENU_WB_FLUORESCENT2,Luz Fluorescente 2
CAMMENU_WB_FLUORESCENT2_GUIDE,Usar sob luz fluorescente
CAMMENU_WB_FLUORESCENT2_GUIDE_2,branca natural
CAMMENU_WB_FLUORESCENT3,Luz Fluorescente 3
CAMMENU_WB_FLUORESCENT3_GUIDE,Usar sob luz fluorescente
CAMMENU_WB_FLUORESCENT3_GUIDE_2,branca diurna
CAMMENU_WB_INCANDESCENT,Incandescente
CAMMENU_WB_INCANDESCENT_GUIDE,Usar sob luz incandescente
CAMMENU_WB_INCANDESCENT_GUIDE_2,ou luzes de vídeo
CAMMODE_AUTO,Ajustam. Automático
CAMMODE_AUTO_GUIDE,Para fotografar com
CAMMODE_AUTO_GUIDE_2,definições auto
CAMMODE_BEACH,Praia
CAMMODE_BEACH_GUIDE,Fotografa cena de praia
CAMMODE_BEACH_GUIDE_2,com cor azul forte
CAMMODE_COOKING,Gourmet
CAMMODE_COOKING_GUIDE,Foto natural da comida
CAMMODE_COOKING_GUIDE_2,
CAMMODE_EASY,Foto fácil
CAMMODE_EASY_GUIDE,Foto totalmente automática
CAMMODE_EASY_GUIDE_2,com visual simplificada
CAMMODE_FIREWORKS,Fogo artifício
CAMMODE_FIREWORKS_GUIDE,Fotografa fogo artificio
CAMMODE_FIREWORKS_GUIDE_2,em todo o esplendor
CAMMODE_HIGHSENSITIVITY,Alta Sensibilid
CAMMODE_HIGHSENSITIVITY_GUIDE,Fotog. sem flash em baixa
CAMMODE_HIGHSENSITIVITY_GUIDE_2,luminosidade reduzindo desf
CAMMODE_HIGHSPEEDSHUTTER,Obtu. alta vel.
CAMMODE_HIGHSPEEDSHUTTER_GUIDE,Fotografa motivo em mov.
CAMMODE_HIGHSPEEDSHUTTER_GUIDE_2,para parar acção
CAMMODE_LANDSCAPE,Paisagem
CAMMODE_LANDSCAPE_GUIDE,Fotografa paisagens
CAMMODE_LANDSCAPE_GUIDE_2,com foco distante
CAMMODE_MOVIE,Modo de Filme
CAMMODE_MOVIE_GUIDE,Grava filme com som
CAMMODE_MOVIE_GUIDE_2,
CAMMODE_PAUTO,Programa Automático
CAMMODE_PAUTO_GUIDE,Exposição auto com
CAMMODE_PAUTO_GUIDE_2,definições ajustáveis
CAMMODE_SNOW,Neve
CAMMODE_SNOW_GUIDE,Fotografa nitidamente
CAMMODE_SNOW_GUIDE_2,cena esbranquiçada
CAMMODE_SOFTSNAP,Foto suave
CAMMODE_SOFTSNAP_GUIDE,Fotografa motivo com
CAMMODE_SOFTSNAP_GUIDE_2,fundo suave
CAMMODE_TWILIGHT,Crepúsculo
