CAMMENU_0EV,0EV
CAMMENU_100,100
CAMMENU_10M,1.0 m
CAMMENU_1600,1600
CAMMENU_200,200
CAMMENU_30M,3.0 m
CAMMENU_3200,3200
CAMMENU_400,400
CAMMENU_70M,7.0 m
CAMMENU_80,80
CAMMENU_800,800
CAMMENU_BRK_03EV,BRK±0,3EV
CAMMENU_BRK_07EV,BRK±0,7EV
CAMMENU_BRK_10EV,BRK±1,0EV
CAMMENU_BURST,Cерия
CAMMENU_BURST_BRK03EV_GUIDE,3 снимк. с шагом выдержки
CAMMENU_BURST_BRK03EV_GUIDE_2,0,3 EV
CAMMENU_BURST_BRK07EV_GUIDE,3 снимк. с шагом выдержки
CAMMENU_BURST_BRK07EV_GUIDE_2,0,7 EV
CAMMENU_BURST_BRK10EV_GUIDE,3 снимк. с шагом выдержки
CAMMENU_BURST_BRK10EV_GUIDE_2,1,0 EV
CAMMENU_BURST_OFF_GUIDE,Однокр. съемка при
CAMMENU_BURST_OFF_GUIDE_2,однократ нажатии затвора
CAMMENU_BURST_ON_GUIDE,Серийная съемка
CAMMENU_BURST_ON_GUIDE_2,при нажат. кнопки затвора
CAMMENU_CENTER,Центр
CAMMENU_CENTERAF,Центр АF
CAMMENU_CLOSEEYE,Минимизац. закрытых глаз
CAMMENU_CLOSEEYE_AUTO_GUIDE,Анализ глаз во избежание
CAMMENU_CLOSEEYE_AUTO_GUIDE_2,их закрытого состояния
CAMMENU_CLOSEEYE_OFF_GUIDE,Выключение функции
CAMMENU_CLOSEEYE_OFF_GUIDE_2,минимизац. закрытых глаз
CAMMENU_COLOR,Цветовой режим
CAMMENU_COLOR_BW,Черн-Бел
CAMMENU_COLOR_BW_GUIDE,Создание черно-белых
CAMMENU_COLOR_BW_GUIDE_2,изображений
CAMMENU_COLOR_NORMAL_GUIDE,Съемка в стандартном
CAMMENU_COLOR_NORMAL_GUIDE_2,цветном режиме
CAMMENU_COLOR_SEPIA,Сепия
CAMMENU_COLOR_SEPIA_GUIDE,Имитация цвета старинного
CAMMENU_COLOR_SEPIA_GUIDE_2,фото
CAMMENU_COLOR_VIVID,Яркий
CAMMENU_COLOR_VIVID_GUIDE,Устан. глубокого и яркого
CAMMENU_COLOR_VIVID_GUIDE_2,цвета изображения
CAMMENU_CONTINUOUS,Непрерывн
CAMMENU_DRO,DRO
CAMMENU_DRO_ADV,Расширенный
CAMMENU_DRO_ADV_GUIDE,Восстан. темных участков
CAMMENU_DRO_ADV_GUIDE_2,без потери ярких участков
CAMMENU_DRO_OFF_GUIDE,Восстан. темных участков
CAMMENU_DRO_OFF_GUIDE_2,изображения выключено
CAMMENU_DRO_PLUS,DRO plus
CAMMENU_DRO_STANDARD_GUIDE,Восстан. темных участков
CAMMENU_DRO_STANDARD_GUIDE_2,изображения
CAMMENU_DRO_STD,DRO standard
CAMMENU_EV,EV
CAMMENU_EV2,EV
CAMMENU_EV_GUIDE,Регулировка яркости (＋)
CAMMENU_EV_GUIDE2,Регулировка яркости (＋)
CAMMENU_EV_GUIDE2_2,и темности (－) изображен.
CAMMENU_EV_GUIDE_2,и темности (－) изображен.
CAMMENU_FACE,Распознавание лиц
CAMMENU_FACE_ADULT,Приоритет взрослых
CAMMENU_FACE_ADULT_GUIDE,Фокус с приоритетом для
CAMMENU_FACE_ADULT_GUIDE_2,лиц взрослых
CAMMENU_FACE_CHILD,Приоритет детей
CAMMENU_FACE_CHILD_GUIDE,Фокус с приоритетом для
CAMMENU_FACE_CHILD_GUIDE_2,детских лиц
CAMMENU_FACE_ON_GUIDE,Установка приоритета
CAMMENU_FACE_ON_GUIDE_2,фокусир. на лица людей
CAMMENU_FACE_TOUCH_GUIDE,Актив. распознавания лица
CAMMENU_FACE_TOUCH_GUIDE_2,только при прикоснов. лица
CAMMENU_FLASHLEVEL,Уров. вспышки
CAMMENU_FLASHLEVEL_DOWN_GUIDE,Съемка с фотовспышкой
CAMMENU_FLASHLEVEL_DOWN_GUIDE_2,низкой интенсивности
CAMMENU_FLASHLEVEL_NORMAL_GUIDE,Съемка с фотовспышкой
CAMMENU_FLASHLEVEL_NORMAL_GUIDE_2,станрдарт. интенсивности
CAMMENU_FLASHLEVEL_UP_GUIDE,Съемка с фотовспышкой
CAMMENU_FLASHLEVEL_UP_GUIDE_2,высокой интенсивности
CAMMENU_FLASH_SYNCHRO,Медл. синхр
CAMMENU_FOCUS,Фокус
CAMMENU_FOUCS_10M_GUIDE,Установка фокуса
CAMMENU_FOUCS_10M_GUIDE_2,примерно на 1,0 м
CAMMENU_FOUCS_30M_GUIDE,Установка фокуса
CAMMENU_FOUCS_30M_GUIDE_2,примерно на 3,0 м
CAMMENU_FOUCS_70M_GUIDE,Установка фокуса
CAMMENU_FOUCS_70M_GUIDE_2,примерно на 7,0 м
CAMMENU_FOUCS_CENTER_GUIDE,Автофокусировка
CAMMENU_FOUCS_CENTER_GUIDE_2,на объект в центре кадра
CAMMENU_FOUCS_INFINITY_GUIDE,Установка фокуса
CAMMENU_FOUCS_INFINITY_GUIDE_2,на бесконечность
CAMMENU_FOUCS_MANUAL_GUIDE,Установка фокуса вручную
CAMMENU_FOUCS_MANUAL_GUIDE_2,
CAMMENU_FOUCS_MULTI_GUIDE,Автофокусировка
CAMMENU_FOUCS_MULTI_GUIDE_2,по всему кадру
CAMMENU_FOUCS_SPOT_GUIDE,Автофокусировка на
CAMMENU_FOUCS_SPOT_GUIDE_2,центральную точку
CAMMENU_FOUCS_TSPOT_GUIDE,Автофокус при прикоснов.
CAMMENU_FOUCS_TSPOT_GUIDE_2,к любой точке на экране
CAMMENU_IMAGESIZE,Размер изобр
CAMMENU_IMAGESIZE_L,Больш.
CAMMENU_IMAGESIZE_S,Мален.
CAMMENU_INFINITY,∞
CAMMENU_ISO,ISO
CAMMENU_ISO_100_GUIDE,Установка чувствительн.
CAMMENU_ISO_100_GUIDE_2,ISO 100
CAMMENU_ISO_1600_GUIDE,Установка чувствительн.
CAMMENU_ISO_1600_GUIDE_2,ISO 1600
CAMMENU_ISO_200_GUIDE,Установка чувствительн.
CAMMENU_ISO_200_GUIDE_2,ISO 200
CAMMENU_ISO_3200_GUIDE,Установка чувствительн.
CAMMENU_ISO_3200_GUIDE_2,ISO 3200
CAMMENU_ISO_400_GUIDE,Установка чувствительн.
CAMMENU_ISO_400_GUIDE_2,ISO 400
CAMMENU_ISO_64_GUIDE,Установка чувствительн.
CAMMENU_ISO_64_GUIDE_2,ISO 64
CAMMENU_ISO_800_GUIDE,Установка чувствительн.
CAMMENU_ISO_800_GUIDE_2,ISO 800
CAMMENU_ISO_80_GUIDE,Установка чувствительн.
CAMMENU_ISO_80_GUIDE_2,ISO 80
CAMMENU_ISO_AUTO_GUIDE,Авторегулировка
CAMMENU_ISO_AUTO_GUIDE_2,чувствительности
CAMMENU_M03EV,-0.3EV
CAMMENU_M07EV,-0.7EV
CAMMENU_M10EV,-1.0EV
CAMMENU_M13EV,-1.3EV
CAMMENU_M17EV,-1.7EV
CAMMENU_M20EV,-2.0EV
CAMMENU_MACRO,Макро
CAMMENU_MENU,Меню
CAMMENU_METERINGMODE,Режим измер
CAMMENU_METERING_CENTER_GUIDE,Замер экспозиции по
CAMMENU_METERING_CENTER_GUIDE_2,яркости по центру
CAMMENU_METERING_MULTI_GUIDE,Замер экспозиции
CAMMENU_METERING_MULTI_GUIDE_2,по всему кадру
CAMMENU_METERING_SPOT_GUIDE,Замер экспозиции по
CAMMENU_METERING_SPOT_GUIDE_2,яркости центральной точки
CAMMENU_MINUS,－
CAMMENU_MULTI,Мульти
CAMMENU_MULTIAF,Мульти АF
CAMMENU_NORMAL_CAP,Нормальн
CAMMENU_P03EV,+0.3EV
CAMMENU_P07EV,+0.7EV
CAMMENU_P10EV,+1.0EV
CAMMENU_P13EV,+1.3EV
CAMMENU_P17EV,+1.7EV
CAMMENU_P20EV,+2.0EV
CAMMENU_PLUS,＋
CAMMENU_RECMODE,Режим ЗАПИСИ
CAMMENU_RECOGNITION,Распознавание сцен
CAMMENU_RECOGNITION_ADV_GUIDE,Автом. съемка доп. кадра в
CAMMENU_RECOGNITION_ADV_GUIDE2,Автом. съемка доп. кадра в
CAMMENU_RECOGNITION_ADV_GUIDE2_2,сумерк или при задн освещ
CAMMENU_RECOGNITION_ADV_GUIDE_2,сумерк или при задн освещ
CAMMENU_RECOGNITION_AUTO2_GUIDE,Съемка с оптимальными
CAMMENU_RECOGNITION_AUTO2_GUIDE_2,установ. для данной сцены
CAMMENU_RECOGNITION_AUTO_GUIDE,Съемка с оптим. настр. в
CAMMENU_RECOGNITION_AUTO_GUIDE_2,сумерк или при задн освещ
CAMMENU_RECOGNITION_OFF_GUIDE,Распознавание сцен
CAMMENU_RECOGNITION_OFF_GUIDE_2,выключено
CAMMENU_REDEYEREDUCTION,Ум. эфф. кр. глаз
CAMMENU_REDEYE_FACE_GUIDE,Автомат. умен. эф. кр. глаз
CAMMENU_REDEYE_FACE_GUIDE_2,при обнаруж. лиц людей
CAMMENU_REDEYE_OFF_GUIDE,Функция уменьшения
CAMMENU_REDEYE_OFF_GUIDE_2,эф. красных глаз выкл
CAMMENU_REDEYE_ON_GUIDE,Предв. вспышка для умен.
CAMMENU_REDEYE_ON_GUIDE_2,эф. кр. глаз при исп. вспыш
CAMMENU_REMAIN_NUMBER,Прибл. объем изобр.
CAMMENU_REMAIN_TIME,Приблиз. оставш. время
CAMMENU_SATURATION_DOWN_GUIDE,Съемка фотографий с
CAMMENU_SATURATION_DOWN_GUIDE_2,низким насыщением цвета
CAMMENU_SATURATION_NORMAL_GUIDE,Нормальное насыщение
CAMMENU_SATURATION_NORMAL_GUIDE_2,цвета
CAMMENU_SATURATION_UP_GUIDE,Съемка фотографий с
CAMMENU_SATURATION_UP_GUIDE_2,высоким насыщ. цвета
CAMMENU_SELFTIMER,Тайм. самозап
CAMMENU_SELFTIMER_10SEC,Тайм. самоз 10сек
CAMMENU_SELFTIMER_2SEC,Тайм. самоз 2сек
CAMMENU_SELFTIMER_OFF,Тайм. самоз выкл
CAMMENU_SETUP,Установка
CAMMENU_SETUP_CHANGE_GUIDE,Переход к дисплею
CAMMENU_SETUP_CHANGE_GUIDE_2,установок съемки
CAMMENU_SHOOTING,Съемка
CAMMENU_SIZE_10MEG,10M
CAMMENU_SIZE_12M_GUIDE,Для отпечат. формата до
CAMMENU_SIZE_12M_GUIDE_2,А3+
CAMMENU_SIZE_16_9,16:9
CAMMENU_SIZE_16_9_2MEG_GUIDE,Для просмотра в формате
CAMMENU_SIZE_16_9_2MEG_GUIDE_2,HDTV
CAMMENU_SIZE_16_9_A3_GUIDE,Для просм. в форм. HDTV и
CAMMENU_SIZE_16_9_A3_GUIDE_2,печати вплоть до форм. А3
CAMMENU_SIZE_16_9_A4_GUIDE,Для просм. в форм. HDTV и
CAMMENU_SIZE_16_9_A4_GUIDE_2,печати вплоть до форм. А4
CAMMENU_SIZE_16_9_GUIDE,Съемка в формате HDTV
CAMMENU_SIZE_16_9_GUIDE_2,
CAMMENU_SIZE_320,320
CAMMENU_SIZE_320_GUIDE,Съемка малым формат.
CAMMENU_SIZE_320_GUIDE_2,для вложений эл. почты
CAMMENU_SIZE_3MEG,3M
CAMMENU_SIZE_3M_GUIDE,Для отпеч. форм. до 10х15
CAMMENU_SIZE_3M_GUIDE_2,или 13х18 см
CAMMENU_SIZE_3_2_8MEG,3:2(8M)
CAMMENU_SIZE_3_2_GUIDE,Съемка в формате 3:2
CAMMENU_SIZE_3_2_GUIDE_2,
CAMMENU_SIZE_4_3,4:3
CAMMENU_SIZE_5MEG,5M
CAMMENU_SIZE_5M_GUIDE,Для отпечат. формата до
CAMMENU_SIZE_5M_GUIDE_2,А4
CAMMENU_SIZE_640FINE,640(Высококач)
CAMMENU_SIZE_640FINE_GUIDE,Высококач. видеосъемка
CAMMENU_SIZE_640FINE_GUIDE_2,для показа по телевизору
CAMMENU_SIZE_640STD,640(Стандарт)
CAMMENU_SIZE_640STD_GUIDE,Стандартная видеосъемка
CAMMENU_SIZE_640STD_GUIDE_2,для показа по телевизору
CAMMENU_SIZE_8M_GUIDE,Для отпечат. формата до
CAMMENU_SIZE_8M_GUIDE_2,А3
CAMMENU_SIZE_HD_2MEG,16:9(2M)
CAMMENU_SIZE_HD_7MEG,16:9(7M)
CAMMENU_SIZE_HD_VGA,16:9(VGA)
CAMMENU_SIZE_VGA,VGA
CAMMENU_SIZE_VGA_GUIDE,Съемка малым формат.
CAMMENU_SIZE_VGA_GUIDE_2,для вложений эл. почты
CAMMENU_SMILE,Распознавание улыбок
CAMMENU_SMILESHUTTER_HIGH_GUIDE,Съемка с высокой чувств.
CAMMENU_SMILESHUTTER_HIGH_GUIDE_2,обнаружения улыбки
CAMMENU_SMILESHUTTER_LOW_GUIDE,Съемка с низкой чувств.
CAMMENU_SMILESHUTTER_LOW_GUIDE_2,обнаружения улыбки
CAMMENU_SMILESHUTTER_NORMAL_GUIDE,Съемка со стандартной
CAMMENU_SMILESHUTTER_NORMAL_GUIDE_2,чувств. обнаруж. улыбки
CAMMENU_SMILE_DETECTION,Чувств. обнаруж. улыбки
CAMMENU_SPOT,Пятно
CAMMENU_SPOTAF,Пятно АF
CAMMENU_STEADYSHOT,SteadyShot
CAMMENU_STEADYSHOT_CONT_GUIDE,SteadyShot всегда вкл
CAMMENU_STEADYSHOT_CONT_GUIDE_2,
CAMMENU_STEADYSHOT_OFF_GUIDE,SteadyShot выкл
CAMMENU_STEADYSHOT_OFF_GUIDE_2,
CAMMENU_STEADYSHOT_SHOOT_GUIDE,SteadyShot при наполовину
CAMMENU_STEADYSHOT_SHOOT_GUIDE_2,нажатой кнопке затвора
CAMMENU_TOUCH,При прикосновении
CAMMENU_WATERWB,Баланс бел при подв съем
CAMMENU_WATERWB_AUTO_GUIDE,Автонастройка баланса
CAMMENU_WATERWB_AUTO_GUIDE_2,белого при подв. съемке
CAMMENU_WATERWB_FLASH_GUIDE,Используйте при подводн.
CAMMENU_WATERWB_FLASH_GUIDE_2,съемке со вспышкой
CAMMENU_WATERWB_WATER1,Подводный 1
CAMMENU_WATERWB_WATER1_GUIDE,Используйте при съемке
CAMMENU_WATERWB_WATER1_GUIDE_2,в голубой воде
CAMMENU_WATERWB_WATER2,Подводный 2
CAMMENU_WATERWB_WATER2_GUIDE,Используйте при съемке
CAMMENU_WATERWB_WATER2_GUIDE_2,в зеленой воде
CAMMENU_WB2,Баланс белого
CAMMENU_WB_AUTO_GUIDE,Автонастройка
CAMMENU_WB_AUTO_GUIDE_2,естественных цветов
CAMMENU_WB_CLOUDY,Облачный
CAMMENU_WB_CLOUDY_GUIDE,Использ. в облачную
CAMMENU_WB_CLOUDY_GUIDE_2,погоду или в тени
CAMMENU_WB_DAYLIGHT,Дневной свет
CAMMENU_WB_DAYLIGHT_GUIDE,Использ. в солнечн. погоду
CAMMENU_WB_DAYLIGHT_GUIDE_2,или для ночных сцен
CAMMENU_WB_FLASH,Вспышка
CAMMENU_WB_FLASH_GUIDE,Используйте при съемке
CAMMENU_WB_FLASH_GUIDE_2,со вспышкой
CAMMENU_WB_FLUORESCENT1,Флуоресцентный свет 1
CAMMENU_WB_FLUORESCENT1_GUIDE,Используйте при белом
CAMMENU_WB_FLUORESCENT1_GUIDE_2,флуоресцентном свете
CAMMENU_WB_FLUORESCENT2,Флуоресцентный свет 2
CAMMENU_WB_FLUORESCENT2_GUIDE,Использ. при естественном
CAMMENU_WB_FLUORESCENT2_GUIDE_2,белом флуоресцент. свете
CAMMENU_WB_FLUORESCENT3,Флуоресцентный свет 3
CAMMENU_WB_FLUORESCENT3_GUIDE,Использ. при дневн. белом
CAMMENU_WB_FLUORESCENT3_GUIDE_2,флуоресцентном свете
CAMMENU_WB_INCANDESCENT,Лампа накалив
CAMMENU_WB_INCANDESCENT_GUIDE,Исп. при освещ. лампой
CAMMENU_WB_INCANDESCENT_GUIDE_2,накалив. или видеолампой
CAMMODE_AUTO,Автоматич. регулир.
CAMMODE_AUTO_GUIDE,Для съемки с
CAMMODE_AUTO_GUIDE_2,автомат. установ.
CAMMODE_BEACH,Пляж
CAMMODE_BEACH_GUIDE,Съемка у воды с
CAMMODE_BEACH_GUIDE_2,богатой голубизной
CAMMODE_COOKING,Гастрономия
CAMMODE_COOKING_GUIDE,Привлекательная съемка
CAMMODE_COOKING_GUIDE_2,продуктов питания
CAMMODE_EASY,Простая съемка
CAMMODE_EASY_GUIDE,Полностью автом. съемка
CAMMODE_EASY_GUIDE_2,с упрощ. отображением
CAMMODE_FIREWORKS,Фейерверки
CAMMODE_FIREWORKS_GUIDE,Съемка фейерверков
CAMMODE_FIREWORKS_GUIDE_2,во всем их блеске
CAMMODE_HIGHSENSITIVITY,Высок. чувствит.
CAMMODE_HIGHSENSITIVITY_GUIDE,Съемка без вспышк. с четк.
CAMMODE_HIGHSENSITIVITY_GUIDE_2,очерт. при низком освещ.
CAMMODE_HIGHSPEEDSHUTTER,Выс-скор. затвор
CAMMODE_HIGHSPEEDSHUTTER_GUIDE,Съемка движ. объектов
CAMMODE_HIGHSPEEDSHUTTER_GUIDE_2,с останов. движения
CAMMODE_LANDSCAPE,Ландшафт
CAMMODE_LANDSCAPE_GUIDE,Съемка ландш. при
CAMMODE_LANDSCAPE_GUIDE_2,фокус. на отд. объект
CAMMODE_MOVIE,Реж. видеосъемк.
CAMMODE_MOVIE_GUIDE,Видеосъемка со звуком
CAMMODE_MOVIE_GUIDE_2,
CAMMODE_PAUTO,Авто по программе
CAMMODE_PAUTO_GUIDE,Автоматич. экспозиц.
CAMMODE_PAUTO_GUIDE_2,с регулир. установ.
CAMMODE_SNOW,Снег
CAMMODE_SNOW_GUIDE,Яркая съемка
CAMMODE_SNOW_GUIDE_2,беловатой сцены
