CAMMENU_0EV,0EV
CAMMENU_100,100
CAMMENU_10M,1.0 m
CAMMENU_1600,1600
CAMMENU_200,200
CAMMENU_30M,3.0 m
CAMMENU_3200,3200
CAMMENU_400,400
CAMMENU_70M,7.0 m
CAMMENU_80,80
CAMMENU_800,800
CAMMENU_BRK_03EV,BRK±0,3EV
CAMMENU_BRK_07EV,BRK±0,7EV
CAMMENU_BRK_10EV,BRK±1,0EV
CAMMENU_BURST,Ráfaga
CAMMENU_BURST_BRK03EV_GUIDE,Toma 3 imágenes
CAMMENU_BURST_BRK03EV_GUIDE_2,a intervalos de 0,3 EV
CAMMENU_BURST_BRK07EV_GUIDE,Toma 3 imágenes
CAMMENU_BURST_BRK07EV_GUIDE_2,a intervalos de 0,7 EV
CAMMENU_BURST_BRK10EV_GUIDE,Toma 3 imágenes
CAMMENU_BURST_BRK10EV_GUIDE_2,a intervalos de 1,0 EV
CAMMENU_BURST_OFF_GUIDE,Toma una imagen por
CAMMENU_BURST_OFF_GUIDE_2,pulsación de disparador
CAMMENU_BURST_ON_GUIDE,Toma continuamente si tiene
CAMMENU_BURST_ON_GUIDE_2,pulsado el botón disparador
CAMMENU_CENTER,Centro
CAMMENU_CENTERAF,AF centro
CAMMENU_CLOSEEYE,Reducción de ojos cerrados
CAMMENU_CLOSEEYE_AUTO_GUIDE,Analiza ojos para evitar
CAMMENU_CLOSEEYE_AUTO_GUIDE_2,ojos cerrados
CAMMENU_CLOSEEYE_OFF_GUIDE,Desactiva la reducción de
CAMMENU_CLOSEEYE_OFF_GUIDE_2,ojos cerrados
CAMMENU_COLOR,Modo color
CAMMENU_COLOR_BW,B y N
CAMMENU_COLOR_BW_GUIDE,Hace imágenes
CAMMENU_COLOR_BW_GUIDE_2,blanco y negro
CAMMENU_COLOR_NORMAL_GUIDE,Toma en modo color normal
CAMMENU_COLOR_NORMAL_GUIDE_2,
CAMMENU_COLOR_SEPIA,Sepia
CAMMENU_COLOR_SEPIA_GUIDE,Simula colores en fotos
CAMMENU_COLOR_SEPIA_GUIDE_2,antiguas
CAMMENU_COLOR_VIVID,Vívido
CAMMENU_COLOR_VIVID_GUIDE,Ajusta la imagen a color
CAMMENU_COLOR_VIVID_GUIDE_2,profundo y vívido
CAMMENU_CONTINUOUS,Continuo
CAMMENU_DRO,DRO
CAMMENU_DRO_ADV,Avanzado
CAMMENU_DRO_ADV_GUIDE,Recupera detalles en sombra
CAMMENU_DRO_ADV_GUIDE_2,sin perder relevancia
CAMMENU_DRO_OFF_GUIDE,No recupera detalles
CAMMENU_DRO_OFF_GUIDE_2,en sombra
CAMMENU_DRO_PLUS,DRO plus
CAMMENU_DRO_STANDARD_GUIDE,Recupera detalles de imagen
CAMMENU_DRO_STANDARD_GUIDE_2,perdidos en área en sombra
CAMMENU_DRO_STD,DRO standard
CAMMENU_EV,EV
CAMMENU_EV2,EV
CAMMENU_EV_GUIDE,Ajusta el brillo de
CAMMENU_EV_GUIDE2,Ajusta el brillo de
CAMMENU_EV_GUIDE2_2,imagen (＋) y oscuridad (－)
CAMMENU_EV_GUIDE_2,imagen (＋) y oscuridad (－)
CAMMENU_FACE,Detección de cara
CAMMENU_FACE_ADULT,Prioridad adultos
CAMMENU_FACE_ADULT_GUIDE,Enfoca con prioridad a caras
CAMMENU_FACE_ADULT_GUIDE_2,de adultos
CAMMENU_FACE_CHILD,Prioridad niños
CAMMENU_FACE_CHILD_GUIDE,Enfoca con prioridad a caras
CAMMENU_FACE_CHILD_GUIDE_2,de niños
CAMMENU_FACE_ON_GUIDE,Ajusta prioridad a enfoque
CAMMENU_FACE_ON_GUIDE_2,de caras de gente
CAMMENU_FACE_TOUCH_GUIDE,Activa la detección de cara
CAMMENU_FACE_TOUCH_GUIDE_2,sólo cuando se toca una cara
CAMMENU_FLASHLEVEL,Nivel flash
CAMMENU_FLASHLEVEL_DOWN_GUIDE,Toma con intensidad
CAMMENU_FLASHLEVEL_DOWN_GUIDE_2,de flash baja
CAMMENU_FLASHLEVEL_NORMAL_GUIDE,Toma con intensidad
CAMMENU_FLASHLEVEL_NORMAL_GUIDE_2,de flash normal
CAMMENU_FLASHLEVEL_UP_GUIDE,Toma con intensidad
CAMMENU_FLASHLEVEL_UP_GUIDE_2,de flash alta
CAMMENU_FLASH_SYNCHRO,Sinc lenta
CAMMENU_FOCUS,Enfoque
CAMMENU_FOUCS_10M_GUIDE,Ajusta el enfoque a
CAMMENU_FOUCS_10M_GUIDE_2,una distancia de aprox. 1,0 m
CAMMENU_FOUCS_30M_GUIDE,Ajusta el enfoque a
CAMMENU_FOUCS_30M_GUIDE_2,una distancia de aprox. 3,0 m
CAMMENU_FOUCS_70M_GUIDE,Ajusta el enfoque a
CAMMENU_FOUCS_70M_GUIDE_2,una distancia de aprox. 7,0 m
CAMMENU_FOUCS_CENTER_GUIDE,Enfoque automático en
CAMMENU_FOUCS_CENTER_GUIDE_2,un motivo en el centro
CAMMENU_FOUCS_INFINITY_GUIDE,Ajusta el enfoque a
CAMMENU_FOUCS_INFINITY_GUIDE_2,una distancia ilimitada
CAMMENU_FOUCS_MANUAL_GUIDE,Ajusta manualmente el
CAMMENU_FOUCS_MANUAL_GUIDE_2,enfoque
CAMMENU_FOUCS_MULTI_GUIDE,Enfoque automático en
CAMMENU_FOUCS_MULTI_GUIDE_2,todo el cuadro
CAMMENU_FOUCS_SPOT_GUIDE,Enfoque automático en
CAMMENU_FOUCS_SPOT_GUIDE_2,un punto central
CAMMENU_FOUCS_TSPOT_GUIDE,Enfoque automático tocando
CAMMENU_FOUCS_TSPOT_GUIDE_2,un punto de la pantalla
CAMMENU_IMAGESIZE,Tamaño imag
CAMMENU_IMAGESIZE_L,Grande
CAMMENU_IMAGESIZE_S,Pequeño
CAMMENU_INFINITY,∞
CAMMENU_ISO,ISO
CAMMENU_ISO_100_GUIDE,Ajusta la sensibilidad a
CAMMENU_ISO_100_GUIDE_2,ISO 100
CAMMENU_ISO_1600_GUIDE,Ajusta la sensibilidad a
CAMMENU_ISO_1600_GUIDE_2,ISO 1600
CAMMENU_ISO_200_GUIDE,Ajusta la sensibilidad a
CAMMENU_ISO_200_GUIDE_2,ISO 200
CAMMENU_ISO_3200_GUIDE,Ajusta la sensibilidad a
CAMMENU_ISO_3200_GUIDE_2,ISO 3200
CAMMENU_ISO_400_GUIDE,Ajusta la sensibilidad a
CAMMENU_ISO_400_GUIDE_2,ISO 400
CAMMENU_ISO_64_GUIDE,Ajusta la sensibilidad a
CAMMENU_ISO_64_GUIDE_2,ISO 64
CAMMENU_ISO_800_GUIDE,Ajusta la sensibilidad a
CAMMENU_ISO_800_GUIDE_2,ISO 800
CAMMENU_ISO_80_GUIDE,Ajusta la sensibilidad a
CAMMENU_ISO_80_GUIDE_2,ISO 80
CAMMENU_ISO_AUTO_GUIDE,Ajusta la sensibilidad
CAMMENU_ISO_AUTO_GUIDE_2,automáticamente
CAMMENU_M03EV,-0.3EV
CAMMENU_M07EV,-0.7EV
CAMMENU_M10EV,-1.0EV
CAMMENU_M13EV,-1.3EV
CAMMENU_M17EV,-1.7EV
CAMMENU_M20EV,-2.0EV
CAMMENU_MACRO,Macro
CAMMENU_MENU,Menú
CAMMENU_METERINGMODE,Modo medición
CAMMENU_METERING_CENTER_GUIDE,Exposición basada en el
CAMMENU_METERING_CENTER_GUIDE_2,brillo del centro
CAMMENU_METERING_MULTI_GUIDE,Exposición equilibrada en
CAMMENU_METERING_MULTI_GUIDE_2,todo el cuadro
CAMMENU_METERING_SPOT_GUIDE,Exposición basada en el
CAMMENU_METERING_SPOT_GUIDE_2,brillo de un punto central
CAMMENU_MINUS,－
CAMMENU_MULTI,Multi
CAMMENU_MULTIAF,Multi AF
CAMMENU_NORMAL_CAP,Normal
CAMMENU_P03EV,+0.3EV
CAMMENU_P07EV,+0.7EV
CAMMENU_P10EV,+1.0EV
CAMMENU_P13EV,+1.3EV
CAMMENU_P17EV,+1.7EV
CAMMENU_P20EV,+2.0EV
CAMMENU_PLUS,＋
CAMMENU_RECMODE,Modo Grabación
CAMMENU_RECOGNITION,Reconocimiento de escena
CAMMENU_RECOGNITION_ADV_GUIDE,Toma una más en
CAMMENU_RECOGNITION_ADV_GUIDE2,Toma una más en
CAMMENU_RECOGNITION_ADV_GUIDE2_2,crepúsculo o contraluz
CAMMENU_RECOGNITION_ADV_GUIDE_2,crepúsculo o contraluz
CAMMENU_RECOGNITION_AUTO2_GUIDE,Toma con ajustes óptimos
CAMMENU_RECOGNITION_AUTO2_GUIDE_2,para la escena
CAMMENU_RECOGNITION_AUTO_GUIDE,Toma con ajustes óptimos
CAMMENU_RECOGNITION_AUTO_GUIDE_2,en crepúsculo o contraluz
CAMMENU_RECOGNITION_OFF_GUIDE,Desactiva Reconocimiento
CAMMENU_RECOGNITION_OFF_GUIDE_2,de escena
CAMMENU_REDEYEREDUCTION,Reducción ojos rojos
CAMMENU_REDEYE_FACE_GUIDE,Reducción de ojos rojos
CAMMENU_REDEYE_FACE_GUIDE_2,automática al detectar caras
CAMMENU_REDEYE_OFF_GUIDE,Reducción de ojos rojos
CAMMENU_REDEYE_OFF_GUIDE_2,desactivado
CAMMENU_REDEYE_ON_GUIDE,Flash preliminar para reducir
CAMMENU_REDEYE_ON_GUIDE_2,ojos rojos con flash
CAMMENU_REMAIN_NUMBER,Capaci. imagen aprox
CAMMENU_REMAIN_TIME,Tiempo rest. aprox.
CAMMENU_SATURATION_DOWN_GUIDE,Toma imágenes con menor
CAMMENU_SATURATION_DOWN_GUIDE_2,saturación de color
CAMMENU_SATURATION_NORMAL_GUIDE,Ajusta la saturación de color
CAMMENU_SATURATION_NORMAL_GUIDE_2,a normal
CAMMENU_SATURATION_UP_GUIDE,Toma imágenes con mayor
CAMMENU_SATURATION_UP_GUIDE_2,saturación de color
CAMMENU_SELFTIMER,Autodisparador
CAMMENU_SELFTIMER_10SEC,Autodisparador 10 s
CAMMENU_SELFTIMER_2SEC,Autodisparador 2 s
CAMMENU_SELFTIMER_OFF,Autodisparador desac.
CAMMENU_SETUP,Ajustes
CAMMENU_SETUP_CHANGE_GUIDE,Va a la pantalla de ajustes
CAMMENU_SETUP_CHANGE_GUIDE_2,de toma de imagen
CAMMENU_SHOOTING,Tomando
CAMMENU_SIZE_10MEG,10M
CAMMENU_SIZE_12M_GUIDE,Para copias hasta A3+
CAMMENU_SIZE_12M_GUIDE_2,
CAMMENU_SIZE_16_9,16:9
CAMMENU_SIZE_16_9_2MEG_GUIDE,Para ver en HDTV
CAMMENU_SIZE_16_9_2MEG_GUIDE_2,
CAMMENU_SIZE_16_9_A3_GUIDE,Para ver en HDTV e
CAMMENU_SIZE_16_9_A3_GUIDE_2,imprimir hasta A3
CAMMENU_SIZE_16_9_A4_GUIDE,Para ver en HDTV e
CAMMENU_SIZE_16_9_A4_GUIDE_2,imprimir hasta A4
CAMMENU_SIZE_16_9_GUIDE,Toma relación aspecto HDTV
CAMMENU_SIZE_16_9_GUIDE_2,
CAMMENU_SIZE_320,320
CAMMENU_SIZE_320_GUIDE,Toma en tamaño pequeño
CAMMENU_SIZE_320_GUIDE_2,para adjuntar a e-mail
CAMMENU_SIZE_3MEG,3M
CAMMENU_SIZE_3M_GUIDE,Para copias hasta 10x15 cm
CAMMENU_SIZE_3M_GUIDE_2,o 13x18 cm
CAMMENU_SIZE_3_2_8MEG,3:2(8M)
CAMMENU_SIZE_3_2_GUIDE,Toma en relación
CAMMENU_SIZE_3_2_GUIDE_2,de aspecto 3:2
CAMMENU_SIZE_4_3,4:3
CAMMENU_SIZE_5MEG,5M
CAMMENU_SIZE_5M_GUIDE,Para copias hasta A4
CAMMENU_SIZE_5M_GUIDE_2,
CAMMENU_SIZE_640FINE,640(Fina)
CAMMENU_SIZE_640FINE_GUIDE,Toma película de calidad alta
CAMMENU_SIZE_640FINE_GUIDE_2,para ver en televisor
CAMMENU_SIZE_640STD,640(Estándar)
CAMMENU_SIZE_640STD_GUIDE,Toma película de calidad
CAMMENU_SIZE_640STD_GUIDE_2,normal para ver en televisor
CAMMENU_SIZE_8M_GUIDE,Para copias hasta A3
CAMMENU_SIZE_8M_GUIDE_2,
CAMMENU_SIZE_HD_2MEG,16:9(2M)
CAMMENU_SIZE_HD_7MEG,16:9(7M)
CAMMENU_SIZE_HD_VGA,16:9(VGA)
CAMMENU_SIZE_VGA,VGA
CAMMENU_SIZE_VGA_GUIDE,Toma en tamaño de imagen
CAMMENU_SIZE_VGA_GUIDE_2,pequeño para e-mail
CAMMENU_SMILE,Detección sonrisas
CAMMENU_SMILESHUTTER_HIGH_GUIDE,Toma con sensibilidad de
CAMMENU_SMILESHUTTER_HIGH_GUIDE_2,detección de sonrisas alta
CAMMENU_SMILESHUTTER_LOW_GUIDE,Toma con sensibilidad de
CAMMENU_SMILESHUTTER_LOW_GUIDE_2,detección de sonrisas baja
CAMMENU_SMILESHUTTER_NORMAL_GUIDE,Toma con sensibilidad de
CAMMENU_SMILESHUTTER_NORMAL_GUIDE_2,detección de sonrisas normal
CAMMENU_SMILE_DETECTION,Sensib detección sonrisas
CAMMENU_SPOT,Punto
CAMMENU_SPOTAF,AF puntual
CAMMENU_STEADYSHOT,SteadyShot
CAMMENU_STEADYSHOT_CONT_GUIDE,SteadyShot siempre activado
CAMMENU_STEADYSHOT_CONT_GUIDE_2,
CAMMENU_STEADYSHOT_OFF_GUIDE,SteadyShot desactivado
CAMMENU_STEADYSHOT_OFF_GUIDE_2,
CAMMENU_STEADYSHOT_SHOOT_GUIDE,SteadyShot activado al pulsar
CAMMENU_STEADYSHOT_SHOOT_GUIDE_2,botón disparador hasta mitad
CAMMENU_TOUCH,Cuando se toca
CAMMENU_WATERWB,Balance Blanco submarino
CAMMENU_WATERWB_AUTO_GUIDE,Ajuste automático balance
CAMMENU_WATERWB_AUTO_GUIDE_2,blanco para toma submarina
CAMMENU_WATERWB_FLASH_GUIDE,Usar para tomar imágenes
CAMMENU_WATERWB_FLASH_GUIDE_2,submarinas con flash
CAMMENU_WATERWB_WATER1,Submarino 1
CAMMENU_WATERWB_WATER1_GUIDE,Usar para tomar imágenes
CAMMENU_WATERWB_WATER1_GUIDE_2,en aguas azules
CAMMENU_WATERWB_WATER2,Submarino 2
CAMMENU_WATERWB_WATER2_GUIDE,Usar para tomar imágenes
CAMMENU_WATERWB_WATER2_GUIDE_2,en aguas verdes
CAMMENU_WB2,Balance Blanco
CAMMENU_WB_AUTO_GUIDE,Ajuste automático para
CAMMENU_WB_AUTO_GUIDE_2,colores naturales
CAMMENU_WB_CLOUDY,Nublado
CAMMENU_WB_CLOUDY_GUIDE,Usar en días nublados o
CAMMENU_WB_CLOUDY_GUIDE_2,en la sombra
CAMMENU_WB_DAYLIGHT,Luz diurna
CAMMENU_WB_DAYLIGHT_GUIDE,Usar para escenas exteriores
CAMMENU_WB_DAYLIGHT_GUIDE_2,al sol o escenas de noche
CAMMENU_WB_FLASH,Flash
CAMMENU_WB_FLASH_GUIDE,Usar cuando la toma se haga
CAMMENU_WB_FLASH_GUIDE_2,con flash
CAMMENU_WB_FLUORESCENT1,Luz fluorescente 1
CAMMENU_WB_FLUORESCENT1_GUIDE,Usar con luz fluorescente
CAMMENU_WB_FLUORESCENT1_GUIDE_2,blanca
CAMMENU_WB_FLUORESCENT2,Luz fluorescente 2
CAMMENU_WB_FLUORESCENT2_GUIDE,Usar con luz fluorescente
CAMMENU_WB_FLUORESCENT2_GUIDE_2,blanca natural
CAMMENU_WB_FLUORESCENT3,Luz fluorescente 3
CAMMENU_WB_FLUORESCENT3_GUIDE,Usar con luz fluorescente
CAMMENU_WB_FLUORESCENT3_GUIDE_2,blanca de día
CAMMENU_WB_INCANDESCENT,Incandescente
CAMMENU_WB_INCANDESCENT_GUIDE,Usar con luz incandescente
CAMMENU_WB_INCANDESCENT_GUIDE_2,o luces de vídeo
CAMMODE_AUTO,Ajuste automático
CAMMODE_AUTO_GUIDE,Para tomar imágenes
CAMMODE_AUTO_GUIDE_2,con ajustes automát.
CAMMODE_BEACH,Playa
CAMMODE_BEACH_GUIDE,Toma escena de rivera
CAMMODE_BEACH_GUIDE_2,con color azul vivo
CAMMODE_COOKING,Gourmet
CAMMODE_COOKING_GUIDE,Toma natural de comidas
CAMMODE_COOKING_GUIDE_2,
CAMMODE_EASY,Toma fácil
CAMMODE_EASY_GUIDE,Toma totalmente automática
CAMMODE_EASY_GUIDE_2,con visualizaciónSimplificada
CAMMODE_FIREWORKS,Fuegos artificiales
CAMMODE_FIREWORKS_GUIDE,Toma fuegos artifls.
CAMMODE_FIREWORKS_GUIDE_2,en todo su esplendor
CAMMODE_HIGHSENSITIVITY,Alta sensibilidad
CAMMODE_HIGHSENSITIVITY_GUIDE,Toma sin flash con poca
CAMMODE_HIGHSENSITIVITY_GUIDE_2,luz reduciendo desenf.
CAMMODE_HIGHSPEEDSHUTTER,Obturador rápido
CAMMODE_HIGHSPEEDSHUTTER_GUIDE,Toma motivos en mo-
CAMMODE_HIGHSPEEDSHUTTER_GUIDE_2,vimiento rápido
CAMMODE_LANDSCAPE,Paisaje
CAMMODE_LANDSCAPE_GUIDE,Toma paisajes
CAMMODE_LANDSCAPE_GUIDE_2,con enfoque distante
CAMMODE_MOVIE,Modo película
CAMMODE_MOVIE_GUIDE,Graba película
CAMMODE_MOVIE_GUIDE_2,con sonido
CAMMODE_PAUTO,Programa automático
CAMMODE_PAUTO_GUIDE,Exposición automática con
CAMMODE_PAUTO_GUIDE_2,opciones ajustables
CAMMODE_SNOW,Nieve
CAMMODE_SNOW_GUIDE,Toma escena luminosa
CAMMODE_SNOW_GUIDE_2,blanquecina
CAMMODE_SOFTSNAP,Instantánea suave
CAMMODE_SOFTSNAP_GUIDE,Toma objetos con
