CAMMENU_0EV,0EV
CAMMENU_100,100
CAMMENU_10M,1,0 m
CAMMENU_1600,1600
CAMMENU_200,200
CAMMENU_30M,3,0 m
CAMMENU_3200,3200
CAMMENU_400,400
CAMMENU_70M,7,0 m
CAMMENU_80,80
CAMMENU_800,800
CAMMENU_BRK_03EV,BRK±0,3EV
CAMMENU_BRK_07EV,BRK±0,7EV
CAMMENU_BRK_10EV,BRK±1,0EV
CAMMENU_BURST,Burst
CAMMENU_BURST_BRK03EV_GUIDE,Ta 3 bilder med 0,3 EV steg
CAMMENU_BURST_BRK03EV_GUIDE_2,
CAMMENU_BURST_BRK07EV_GUIDE,Ta 3 bilder med 0,7 EV steg
CAMMENU_BURST_BRK07EV_GUIDE_2,
CAMMENU_BURST_BRK10EV_GUIDE,Ta 3 bilder med 1,0 EV steg
CAMMENU_BURST_BRK10EV_GUIDE_2,
CAMMENU_BURST_OFF_GUIDE,En bild per tryckning
CAMMENU_BURST_OFF_GUIDE_2,på avtryckaren
CAMMENU_BURST_ON_GUIDE,Bilder tas oavbrutet så länge
CAMMENU_BURST_ON_GUIDE_2,avtryckaren hålls nedtryckt
CAMMENU_CENTER,Centrumvägd
CAMMENU_CENTERAF,Centrumvägd AF
CAMMENU_CLOSEEYE,Blundningsreducering
CAMMENU_CLOSEEYE_AUTO_GUIDE,Ansiktsanalys för att undvika
CAMMENU_CLOSEEYE_AUTO_GUIDE_2,blundning
CAMMENU_CLOSEEYE_OFF_GUIDE,Blundningsreduceringen
CAMMENU_CLOSEEYE_OFF_GUIDE_2,avstängd
CAMMENU_COLOR,Färgläge
CAMMENU_COLOR_BW,Svartvitt
CAMMENU_COLOR_BW_GUIDE,Tagning i svartvitt
CAMMENU_COLOR_BW_GUIDE_2,
CAMMENU_COLOR_NORMAL_GUIDE,Tagning med standardfärger
CAMMENU_COLOR_NORMAL_GUIDE_2,
CAMMENU_COLOR_SEPIA,Brunton
CAMMENU_COLOR_SEPIA_GUIDE,Tagning med färger som på
CAMMENU_COLOR_SEPIA_GUIDE_2,gamla foton
CAMMENU_COLOR_VIVID,Levande
CAMMENU_COLOR_VIVID_GUIDE,Tagning med djupare och
CAMMENU_COLOR_VIVID_GUIDE_2,mer levande färger
CAMMENU_CONTINUOUS,Kontinuerlig
CAMMENU_DRO,DRO
CAMMENU_DRO_ADV,Avancerad
CAMMENU_DRO_ADV_GUIDE,Kontrasten ställs in på
CAMMENU_DRO_ADV_GUIDE_2,lämpligaste sätt
CAMMENU_DRO_OFF_GUIDE,Kontrasten justeras ej
CAMMENU_DRO_OFF_GUIDE_2,
CAMMENU_DRO_PLUS,DRO plus
CAMMENU_DRO_STANDARD_GUIDE,Kontrasten justeras
CAMMENU_DRO_STANDARD_GUIDE_2,automatiskt
CAMMENU_DRO_STD,DRO standard
CAMMENU_EV,EV
CAMMENU_EV2,EV
CAMMENU_EV_GUIDE,Justera exponeringen:
CAMMENU_EV_GUIDE2,Justera exponeringen:
CAMMENU_EV_GUIDE2_2,Ljusare (＋) / mörkare (－)
CAMMENU_EV_GUIDE_2,Ljusare (＋) / mörkare (－)
CAMMENU_FACE,Ansiktsavkänning
CAMMENU_FACE_ADULT,Vuxenprioritet
CAMMENU_FACE_ADULT_GUIDE,Skärpan ställs in med före-
CAMMENU_FACE_ADULT_GUIDE_2,träde för vuxnas ansikten
CAMMENU_FACE_CHILD,Barnprioritet
CAMMENU_FACE_CHILD_GUIDE,Skärpan ställs in med före-
CAMMENU_FACE_CHILD_GUIDE_2,träde för barns ansikten
CAMMENU_FACE_ON_GUIDE,Prioritera skärpa
CAMMENU_FACE_ON_GUIDE_2,på ansikten
CAMMENU_FACE_TOUCH_GUIDE,Aktivera ansiktsavkänning
CAMMENU_FACE_TOUCH_GUIDE_2,bara när ett ansikte vidrörs
CAMMENU_FLASHLEVEL,Blixtnivå
CAMMENU_FLASHLEVEL_DOWN_GUIDE,Sänkt blixtstyrka
CAMMENU_FLASHLEVEL_DOWN_GUIDE_2,
CAMMENU_FLASHLEVEL_NORMAL_GUIDE,Normal blixtstyrka
CAMMENU_FLASHLEVEL_NORMAL_GUIDE_2,
CAMMENU_FLASHLEVEL_UP_GUIDE,Förstärkt blixtstyrka
CAMMENU_FLASHLEVEL_UP_GUIDE_2,
CAMMENU_FLASH_SYNCHRO,Långsam synkronisering
CAMMENU_FOCUS,Skärpa
CAMMENU_FOUCS_10M_GUIDE,Skärpan ställs in
CAMMENU_FOUCS_10M_GUIDE_2,på ca 1,0 m avstånd
CAMMENU_FOUCS_30M_GUIDE,Skärpan ställs in
CAMMENU_FOUCS_30M_GUIDE_2,på ca 3,0 m avstånd
CAMMENU_FOUCS_70M_GUIDE,Skärpan ställs in
CAMMENU_FOUCS_70M_GUIDE_2,på ca 7,0 m avstånd
CAMMENU_FOUCS_CENTER_GUIDE,Autofokus för motivet
CAMMENU_FOUCS_CENTER_GUIDE_2,i mitten
CAMMENU_FOUCS_INFINITY_GUIDE,Skärpan ställs in
CAMMENU_FOUCS_INFINITY_GUIDE_2,på oändligt avstånd
CAMMENU_FOUCS_MANUAL_GUIDE,Ställ in skärpan för hand
CAMMENU_FOUCS_MANUAL_GUIDE_2,
CAMMENU_FOUCS_MULTI_GUIDE,Autofokus för hela bilden
CAMMENU_FOUCS_MULTI_GUIDE_2,
CAMMENU_FOUCS_SPOT_GUIDE,Autofokus på en punkt
CAMMENU_FOUCS_SPOT_GUIDE_2,i mitten
CAMMENU_FOUCS_TSPOT_GUIDE,Autofokus för vidrört
CAMMENU_FOUCS_TSPOT_GUIDE_2,ställe på skärmen
CAMMENU_IMAGESIZE,Bildstorlek
CAMMENU_IMAGESIZE_L,Stor
CAMMENU_IMAGESIZE_S,Liten
CAMMENU_INFINITY,∞
CAMMENU_ISO,ISO
CAMMENU_ISO_100_GUIDE,Känsligheten ställs in på
CAMMENU_ISO_100_GUIDE_2,ISO 100
CAMMENU_ISO_1600_GUIDE,Känsligheten ställs in på
CAMMENU_ISO_1600_GUIDE_2,ISO 1600
CAMMENU_ISO_200_GUIDE,Känsligheten ställs in på
CAMMENU_ISO_200_GUIDE_2,ISO 200
CAMMENU_ISO_3200_GUIDE,Känsligheten ställs in på
CAMMENU_ISO_3200_GUIDE_2,ISO 3200
CAMMENU_ISO_400_GUIDE,Känsligheten ställs in på
CAMMENU_ISO_400_GUIDE_2,ISO 400
CAMMENU_ISO_64_GUIDE,Känsligheten ställs in på
CAMMENU_ISO_64_GUIDE_2,ISO 64
CAMMENU_ISO_800_GUIDE,Känsligheten ställs in på
CAMMENU_ISO_800_GUIDE_2,ISO 800
CAMMENU_ISO_80_GUIDE,Känsligheten ställs in på
CAMMENU_ISO_80_GUIDE_2,ISO 80
CAMMENU_ISO_AUTO_GUIDE,Justera känsligheten
CAMMENU_ISO_AUTO_GUIDE_2,automatiskt
CAMMENU_M03EV,-0.3EV
CAMMENU_M07EV,-0.7EV
CAMMENU_M10EV,-1.0EV
CAMMENU_M13EV,-1.3EV
CAMMENU_M17EV,-1.7EV
CAMMENU_M20EV,-2.0EV
CAMMENU_MACRO,Makro
CAMMENU_MENU,Meny
CAMMENU_METERINGMODE,Mätmetod
CAMMENU_METERING_CENTER_GUIDE,Exponeringen baserad på
CAMMENU_METERING_CENTER_GUIDE_2,ljusstyrkan i mitten
CAMMENU_METERING_MULTI_GUIDE,Exponeringen balanserad
CAMMENU_METERING_MULTI_GUIDE_2,för hela bilden
CAMMENU_METERING_SPOT_GUIDE,Exp. baserad på ljusstyrkan
CAMMENU_METERING_SPOT_GUIDE_2,för en punkt i mitten
CAMMENU_MINUS,－
CAMMENU_MULTI,Multi
CAMMENU_MULTIAF,Multi-AF
CAMMENU_NORMAL_CAP,Normal
CAMMENU_P03EV,+0.3EV
CAMMENU_P07EV,+0.7EV
CAMMENU_P10EV,+1.0EV
CAMMENU_P13EV,+1.3EV
CAMMENU_P17EV,+1.7EV
CAMMENU_P20EV,+2.0EV
CAMMENU_PLUS,＋
CAMMENU_RECMODE,Inspelningssätt
CAMMENU_RECOGNITION,Scenigenkänning
CAMMENU_RECOGNITION_ADV_GUIDE,Autom. tagn. av 1 extra bild
CAMMENU_RECOGNITION_ADV_GUIDE2,Autom. tagn. av 1 extra bild
CAMMENU_RECOGNITION_ADV_GUIDE2_2,i skymnings- eller motljus
CAMMENU_RECOGNITION_ADV_GUIDE_2,i skymnings- eller motljus
CAMMENU_RECOGNITION_AUTO2_GUIDE,Ta bilder med optimala
CAMMENU_RECOGNITION_AUTO2_GUIDE_2,inställningar för scentypen
CAMMENU_RECOGNITION_AUTO_GUIDE,Tagning med optimala inst.
CAMMENU_RECOGNITION_AUTO_GUIDE_2,i skymnings- eller motljus
CAMMENU_RECOGNITION_OFF_GUIDE,Scenigenkänning avstängd
CAMMENU_RECOGNITION_OFF_GUIDE_2,
CAMMENU_REDEYEREDUCTION,Rödögereducering
CAMMENU_REDEYE_FACE_GUIDE,Automatisk rödögereduc.
CAMMENU_REDEYE_FACE_GUIDE_2,när ansikten avkänns
CAMMENU_REDEYE_OFF_GUIDE,Rödögereducering av
CAMMENU_REDEYE_OFF_GUIDE_2,
CAMMENU_REDEYE_ON_GUIDE,En förblixt utlöses för att
CAMMENU_REDEYE_ON_GUIDE_2,minska röda ögon med blixt
CAMMENU_REMAIN_NUMBER,Ung. kapacitet
CAMMENU_REMAIN_TIME,Ung. återstående tid
CAMMENU_SATURATION_DOWN_GUIDE,Ta bilder med blekare färger
CAMMENU_SATURATION_DOWN_GUIDE_2,
CAMMENU_SATURATION_NORMAL_GUIDE,Ta bilder med normal
CAMMENU_SATURATION_NORMAL_GUIDE_2,färgmättnad
CAMMENU_SATURATION_UP_GUIDE,Ta bilder med mer
CAMMENU_SATURATION_UP_GUIDE_2,mättade färger
CAMMENU_SELFTIMER,Självutlösare
CAMMENU_SELFTIMER_10SEC,Självutlösare 10 s
CAMMENU_SELFTIMER_2SEC,Självutlösare 2 s
CAMMENU_SELFTIMER_OFF,Självutlösare av
CAMMENU_SETUP,Inställningar
CAMMENU_SETUP_CHANGE_GUIDE,Gå till skärmen för
CAMMENU_SETUP_CHANGE_GUIDE_2,tagningsinställningar
CAMMENU_SHOOTING,Tagning
CAMMENU_SIZE_10MEG,10M
CAMMENU_SIZE_12M_GUIDE,För utskrift i upp till
CAMMENU_SIZE_12M_GUIDE_2,A3+-format
CAMMENU_SIZE_16_9,16:9
CAMMENU_SIZE_16_9_2MEG_GUIDE,För uppspelning på en
CAMMENU_SIZE_16_9_2MEG_GUIDE_2,HD-TV
CAMMENU_SIZE_16_9_A3_GUIDE,För uppspelning på en HD-
CAMMENU_SIZE_16_9_A3_GUIDE_2,TV och utskrift i upp till A3
CAMMENU_SIZE_16_9_A4_GUIDE,För uppspelning på en HD-
CAMMENU_SIZE_16_9_A4_GUIDE_2,TV och utskrift i upp till A4
CAMMENU_SIZE_16_9_GUIDE,Tagning med HDTV-aspekt
CAMMENU_SIZE_16_9_GUIDE_2,
CAMMENU_SIZE_320,320
CAMMENU_SIZE_320_GUIDE,Tagning i litet bildformat
CAMMENU_SIZE_320_GUIDE_2,för epostbilagor
CAMMENU_SIZE_3MEG,3M
CAMMENU_SIZE_3M_GUIDE,För utskrift i upp till 10x15
CAMMENU_SIZE_3M_GUIDE_2,eller 13x18 cm
CAMMENU_SIZE_3_2_8MEG,3:2(8M)
CAMMENU_SIZE_3_2_GUIDE,Tagning med 3:2-aspekt
CAMMENU_SIZE_3_2_GUIDE_2,
CAMMENU_SIZE_4_3,4:3
CAMMENU_SIZE_5MEG,5M
CAMMENU_SIZE_5M_GUIDE,För utskrift i upp till
CAMMENU_SIZE_5M_GUIDE_2,A4-format
CAMMENU_SIZE_640FINE,640(Fin)
CAMMENU_SIZE_640FINE_GUIDE,Filminsp. med hög kvalitet
CAMMENU_SIZE_640FINE_GUIDE_2,för TV-uppspelning
CAMMENU_SIZE_640STD,640(Standard)
CAMMENU_SIZE_640STD_GUIDE,Filminsp. med standardkval.
CAMMENU_SIZE_640STD_GUIDE_2,för TV-uppspelning
CAMMENU_SIZE_8M_GUIDE,För utskrift i upp till
CAMMENU_SIZE_8M_GUIDE_2,A3-format
CAMMENU_SIZE_HD_2MEG,16:9(2M)
CAMMENU_SIZE_HD_7MEG,16:9(7M)
CAMMENU_SIZE_HD_VGA,16:9(VGA)
CAMMENU_SIZE_VGA,VGA
CAMMENU_SIZE_VGA_GUIDE,Tagning i litet bildformat
CAMMENU_SIZE_VGA_GUIDE_2,för epostbilagor
CAMMENU_SMILE,Leendeavkänning
CAMMENU_SMILESHUTTER_HIGH_GUIDE,Hög känslighet
CAMMENU_SMILESHUTTER_HIGH_GUIDE_2,för leendeavkänning
CAMMENU_SMILESHUTTER_LOW_GUIDE,Låg känslighet
CAMMENU_SMILESHUTTER_LOW_GUIDE_2,för leendeavkänning
CAMMENU_SMILESHUTTER_NORMAL_GUIDE,Normal känslighet
CAMMENU_SMILESHUTTER_NORMAL_GUIDE_2,för leendeavkänning
CAMMENU_SMILE_DETECTION,Känsl. för leendeavkänning
CAMMENU_SPOT,Spot
CAMMENU_SPOTAF,Spot-AF
CAMMENU_STEADYSHOT,SteadyShot
CAMMENU_STEADYSHOT_CONT_GUIDE,SteadyShot alltid på
CAMMENU_STEADYSHOT_CONT_GUIDE_2,
CAMMENU_STEADYSHOT_OFF_GUIDE,SteadyShot av
CAMMENU_STEADYSHOT_OFF_GUIDE_2,
CAMMENU_STEADYSHOT_SHOOT_GUIDE,SteadyShot på när avtr.
CAMMENU_STEADYSHOT_SHOOT_GUIDE_2,trycks ned halvvägs
CAMMENU_TOUCH,När skärmen vidrörs
CAMMENU_WATERWB,Undervattensvitbalans
CAMMENU_WATERWB_AUTO_GUIDE,Automatisk justering av vit-
CAMMENU_WATERWB_AUTO_GUIDE_2,balans för undervattentagn.
CAMMENU_WATERWB_FLASH_GUIDE,Undervattenstagning
CAMMENU_WATERWB_FLASH_GUIDE_2,med blixt
CAMMENU_WATERWB_WATER1,Undervatten 1
CAMMENU_WATERWB_WATER1_GUIDE,Undervattenstagning i
CAMMENU_WATERWB_WATER1_GUIDE_2,blått vatten
CAMMENU_WATERWB_WATER2,Undervatten 2
CAMMENU_WATERWB_WATER2_GUIDE,Undervattenstagning i
CAMMENU_WATERWB_WATER2_GUIDE_2,grönt vatten
CAMMENU_WB2,Vitbalans
CAMMENU_WB_AUTO_GUIDE,Automatisk justering
CAMMENU_WB_AUTO_GUIDE_2,för naturliga färger
CAMMENU_WB_CLOUDY,Molnigt
CAMMENU_WB_CLOUDY_GUIDE,För tagning en molnig dag
CAMMENU_WB_CLOUDY_GUIDE_2,eller i skuggan
CAMMENU_WB_DAYLIGHT,Dagsljus
CAMMENU_WB_DAYLIGHT_GUIDE,För utomhustagning i
CAMMENU_WB_DAYLIGHT_GUIDE_2,solsken eller nattscener
CAMMENU_WB_FLASH,Blixt
CAMMENU_WB_FLASH_GUIDE,För tagning med blixt
CAMMENU_WB_FLASH_GUIDE_2,
CAMMENU_WB_FLUORESCENT1,Lysrör 1
CAMMENU_WB_FLUORESCENT1_GUIDE,För tagning under vita lysrör
CAMMENU_WB_FLUORESCENT1_GUIDE_2,
CAMMENU_WB_FLUORESCENT2,Lysrör 2
CAMMENU_WB_FLUORESCENT2_GUIDE,För tagning under naturligt
CAMMENU_WB_FLUORESCENT2_GUIDE_2,vita lysrör
CAMMENU_WB_FLUORESCENT3,Lysrör 3
CAMMENU_WB_FLUORESCENT3_GUIDE,För tagning under lysrör
CAMMENU_WB_FLUORESCENT3_GUIDE_2,med naturligt ljus
CAMMENU_WB_INCANDESCENT,Glödlampa
CAMMENU_WB_INCANDESCENT_GUIDE,För tagning i glödlamps-
CAMMENU_WB_INCANDESCENT_GUIDE_2,eller videobelysning
CAMMODE_AUTO,Autom. inställningar
CAMMODE_AUTO_GUIDE,Tagning med
CAMMODE_AUTO_GUIDE_2,automatiska inställningar
CAMMODE_BEACH,Strand
CAMMODE_BEACH_GUIDE,Tagning vid vatten
CAMMODE_BEACH_GUIDE_2,med en djup blå färg
CAMMODE_COOKING,Gourmet
CAMMODE_COOKING_GUIDE,Naturliga bilder på mat
CAMMODE_COOKING_GUIDE_2,
CAMMODE_EASY,Enkel tagning
CAMMODE_EASY_GUIDE,Helautomatisk tagning
CAMMODE_EASY_GUIDE_2,med förenklad display
CAMMODE_FIREWORKS,Fyrverkeri
CAMMODE_FIREWORKS_GUIDE,Ta vackra bilder
CAMMODE_FIREWORKS_GUIDE_2,på fyrverkerier
CAMMODE_HIGHSENSITIVITY,Hög känslighet
CAMMODE_HIGHSENSITIVITY_GUIDE,Ta skarpa bilder utan blixt i
CAMMODE_HIGHSENSITIVITY_GUIDE_2,svag belysning
CAMMODE_HIGHSPEEDSHUTTER,Snabbslutarläge
CAMMODE_HIGHSPEEDSHUTTER_GUIDE,Frysning av motiv
CAMMODE_HIGHSPEEDSHUTTER_GUIDE_2,som rör sig snabbt
CAMMODE_LANDSCAPE,Landskap
CAMMODE_LANDSCAPE_GUIDE,Tagning med
CAMMODE_LANDSCAPE_GUIDE_2,oändligt avstånd
CAMMODE_MOVIE,Filmläge
CAMMODE_MOVIE_GUIDE,Filminspelning med ljud
CAMMODE_MOVIE_GUIDE_2,
CAMMODE_PAUTO,Autoprogram
CAMMODE_PAUTO_GUIDE,Automatisk exponering med
CAMMODE_PAUTO_GUIDE_2,olika inställningsmöjligheter
CAMMODE_SNOW,Snö
CAMMODE_SNOW_GUIDE,För ljusa bilder på vitaktiga
CAMMODE_SNOW_GUIDE_2,scener
CAMMODE_SOFTSNAP,Soft Snap
CAMMODE_SOFTSNAP_GUIDE,För mjuka bilder på
CAMMODE_SOFTSNAP_GUIDE_2,människor, blommor, osv
