CAMMENU_0EV,0EV
CAMMENU_100,100
CAMMENU_10M,1.0 m
CAMMENU_1600,1600
CAMMENU_200,200
CAMMENU_30M,3.0 m
CAMMENU_3200,3200
CAMMENU_400,400
CAMMENU_70M,7.0 m
CAMMENU_80,80
CAMMENU_800,800
CAMMENU_BRK_03EV,BRK±0.3EV
CAMMENU_BRK_07EV,BRK±0.7EV
CAMMENU_BRK_10EV,BRK±1.0EV
CAMMENU_BURST,連拍
CAMMENU_BURST_BRK03EV_GUIDE,以0.3 EV的間隔拍攝三張
CAMMENU_BURST_BRK03EV_GUIDE_2,
CAMMENU_BURST_BRK07EV_GUIDE,以0.7 EV的間隔拍攝三張
CAMMENU_BURST_BRK07EV_GUIDE_2,
CAMMENU_BURST_BRK10EV_GUIDE,以1.0 EV的間隔拍攝三張
CAMMENU_BURST_BRK10EV_GUIDE_2,
CAMMENU_BURST_OFF_GUIDE,每按一下快門按鈕拍攝一次
CAMMENU_BURST_OFF_GUIDE_2,
CAMMENU_BURST_ON_GUIDE,按住快門按鈕時連續拍攝
CAMMENU_BURST_ON_GUIDE_2,
CAMMENU_CENTER,偏重中央測光
CAMMENU_CENTERAF,中心AF
CAMMENU_CLOSEEYE,閉眼減弱功能
CAMMENU_CLOSEEYE_AUTO_GUIDE,分析眼睛以避免
CAMMENU_CLOSEEYE_AUTO_GUIDE_2,閉眼效應
CAMMENU_CLOSEEYE_OFF_GUIDE,關閉閉眼減弱功能
CAMMENU_CLOSEEYE_OFF_GUIDE_2,
CAMMENU_COLOR,色彩模式
CAMMENU_COLOR_BW,黑白
CAMMENU_COLOR_BW_GUIDE,讓影像成為黑白影像
CAMMENU_COLOR_BW_GUIDE_2,
CAMMENU_COLOR_NORMAL_GUIDE,以標準色彩模式拍攝
CAMMENU_COLOR_NORMAL_GUIDE_2,
CAMMENU_COLOR_SEPIA,棕褐色
CAMMENU_COLOR_SEPIA_GUIDE,模擬舊照片的色彩
CAMMENU_COLOR_SEPIA_GUIDE_2,
CAMMENU_COLOR_VIVID,鮮明
CAMMENU_COLOR_VIVID_GUIDE,將影像設定為濃烈鮮明的色彩
CAMMENU_COLOR_VIVID_GUIDE_2,
CAMMENU_CONTINUOUS,連續
CAMMENU_DRO,DRO
CAMMENU_DRO_ADV,進階
CAMMENU_DRO_ADV_GUIDE,還原陰影細節而不
CAMMENU_DRO_ADV_GUIDE_2,失去明亮部分
CAMMENU_DRO_OFF_GUIDE,不還原陰影細節
CAMMENU_DRO_OFF_GUIDE_2,
CAMMENU_DRO_PLUS,DRO plus
CAMMENU_DRO_STANDARD_GUIDE,還原在陰影區域
CAMMENU_DRO_STANDARD_GUIDE_2,失去的影像細節
CAMMENU_DRO_STD,DRO standard
CAMMENU_EV,EV
CAMMENU_EV2,EV
CAMMENU_EV_GUIDE,調整影像的亮度(＋)
CAMMENU_EV_GUIDE2,調整影像的亮度(＋)
CAMMENU_EV_GUIDE2_2,與暗度(－)
CAMMENU_EV_GUIDE_2,與暗度(－)
CAMMENU_FACE,面孔偵測
CAMMENU_FACE_ADULT,成人優先
CAMMENU_FACE_ADULT_GUIDE,優先對成人面孔對焦
CAMMENU_FACE_ADULT_GUIDE_2,
CAMMENU_FACE_CHILD,孩童優先
CAMMENU_FACE_CHILD_GUIDE,優先對孩童面孔對焦
CAMMENU_FACE_CHILD_GUIDE_2,
CAMMENU_FACE_ON_GUIDE,設定對面孔對焦
CAMMENU_FACE_ON_GUIDE_2,的優先性
CAMMENU_FACE_TOUCH_GUIDE,只在觸摸面孔時
CAMMENU_FACE_TOUCH_GUIDE_2,啟用面孔偵測
CAMMENU_FLASHLEVEL,閃光燈亮度
CAMMENU_FLASHLEVEL_DOWN_GUIDE,用較低的閃光燈亮度拍攝
CAMMENU_FLASHLEVEL_DOWN_GUIDE_2,
CAMMENU_FLASHLEVEL_NORMAL_GUIDE,用標準的閃光燈亮度拍攝
CAMMENU_FLASHLEVEL_NORMAL_GUIDE_2,
CAMMENU_FLASHLEVEL_UP_GUIDE,用較高的閃光燈亮度拍攝
CAMMENU_FLASHLEVEL_UP_GUIDE_2,
CAMMENU_FLASH_SYNCHRO,低速同步
CAMMENU_FOCUS,對焦
CAMMENU_FOUCS_10M_GUIDE,將焦點設定在約1.0公尺遠處
CAMMENU_FOUCS_10M_GUIDE_2,
CAMMENU_FOUCS_30M_GUIDE,將焦點設定在約3.0公尺遠處
CAMMENU_FOUCS_30M_GUIDE_2,
CAMMENU_FOUCS_70M_GUIDE,將焦點設定在約7.0公尺遠處
CAMMENU_FOUCS_70M_GUIDE_2,
CAMMENU_FOUCS_CENTER_GUIDE,針對中央的被攝體自動對焦
CAMMENU_FOUCS_CENTER_GUIDE_2,
CAMMENU_FOUCS_INFINITY_GUIDE,將焦點設定在無限遠處
CAMMENU_FOUCS_INFINITY_GUIDE_2,
CAMMENU_FOUCS_MANUAL_GUIDE,手動設定焦點
CAMMENU_FOUCS_MANUAL_GUIDE_2,
CAMMENU_FOUCS_MULTI_GUIDE,針對整個畫面自動對焦
CAMMENU_FOUCS_MULTI_GUIDE_2,
CAMMENU_FOUCS_SPOT_GUIDE,針對中心點自動對焦
CAMMENU_FOUCS_SPOT_GUIDE_2,
CAMMENU_FOUCS_TSPOT_GUIDE,以觸摸螢屏上任一點
CAMMENU_FOUCS_TSPOT_GUIDE_2,的方式自動對焦
CAMMENU_IMAGESIZE,影像尺寸
CAMMENU_IMAGESIZE_L,大
CAMMENU_IMAGESIZE_S,小
CAMMENU_INFINITY,∞
CAMMENU_ISO,ISO
CAMMENU_ISO_100_GUIDE,將感光度調整為ISO 100
CAMMENU_ISO_100_GUIDE_2,
CAMMENU_ISO_1600_GUIDE,將感光度調整為ISO 1600
CAMMENU_ISO_1600_GUIDE_2,
CAMMENU_ISO_200_GUIDE,將感光度調整為ISO 200
CAMMENU_ISO_200_GUIDE_2,
CAMMENU_ISO_3200_GUIDE,將感光度調整為ISO 3200
CAMMENU_ISO_3200_GUIDE_2,
CAMMENU_ISO_400_GUIDE,將感光度調整為ISO 400
CAMMENU_ISO_400_GUIDE_2,
CAMMENU_ISO_64_GUIDE,將感光度調整為ISO 64
CAMMENU_ISO_64_GUIDE_2,
CAMMENU_ISO_800_GUIDE,將感光度調整為ISO 800
CAMMENU_ISO_800_GUIDE_2,
CAMMENU_ISO_80_GUIDE,將感光度調整為ISO 80
CAMMENU_ISO_80_GUIDE_2,
CAMMENU_ISO_AUTO_GUIDE,自動調整感光度
CAMMENU_ISO_AUTO_GUIDE_2,
CAMMENU_M03EV,-0.3EV
CAMMENU_M07EV,-0.7EV
CAMMENU_M10EV,-1.0EV
CAMMENU_M13EV,-1.3EV
CAMMENU_M17EV,-1.7EV
CAMMENU_M20EV,-2.0EV
CAMMENU_MACRO,超近拍攝
CAMMENU_MENU,功能表
CAMMENU_METERINGMODE,測光模式
CAMMENU_METERING_CENTER_GUIDE,根據中央亮度曝光
CAMMENU_METERING_CENTER_GUIDE_2,
CAMMENU_METERING_MULTI_GUIDE,整個畫面均勻曝光
CAMMENU_METERING_MULTI_GUIDE_2,
CAMMENU_METERING_SPOT_GUIDE,根據中心點的亮度曝光
CAMMENU_METERING_SPOT_GUIDE_2,
CAMMENU_MINUS,－
CAMMENU_MULTI,多重測光
CAMMENU_MULTIAF,多重AF
CAMMENU_NORMAL_CAP,普通
CAMMENU_P03EV,+0.3EV
CAMMENU_P07EV,+0.7EV
CAMMENU_P10EV,+1.0EV
CAMMENU_P13EV,+1.3EV
CAMMENU_P17EV,+1.7EV
CAMMENU_P20EV,+2.0EV
CAMMENU_PLUS,＋
CAMMENU_RECMODE,拍攝模式
CAMMENU_RECOGNITION,場景辨識
CAMMENU_RECOGNITION_ADV_GUIDE,在微光或逆光時
CAMMENU_RECOGNITION_ADV_GUIDE2,在微光或逆光時
CAMMENU_RECOGNITION_ADV_GUIDE2_2,自動多拍一張
CAMMENU_RECOGNITION_ADV_GUIDE_2,自動多拍一張
CAMMENU_RECOGNITION_AUTO2_GUIDE,以最適合場景的設定
CAMMENU_RECOGNITION_AUTO2_GUIDE_2,拍攝
CAMMENU_RECOGNITION_AUTO_GUIDE,在微光或逆光時
CAMMENU_RECOGNITION_AUTO_GUIDE_2,以最佳設定拍攝
CAMMENU_RECOGNITION_OFF_GUIDE,關閉場景辨識
CAMMENU_RECOGNITION_OFF_GUIDE_2,
CAMMENU_REDEYEREDUCTION,紅眼減弱
CAMMENU_REDEYE_FACE_GUIDE,偵測到面孔時自動啟用
CAMMENU_REDEYE_FACE_GUIDE_2,紅眼減弱功能
CAMMENU_REDEYE_OFF_GUIDE,紅眼減弱功能關閉
CAMMENU_REDEYE_OFF_GUIDE_2,
CAMMENU_REDEYE_ON_GUIDE,預先閃光以便在使用閃光燈
CAMMENU_REDEYE_ON_GUIDE_2,時減弱紅眼效果
CAMMENU_REMAIN_NUMBER,大略的影像容量
CAMMENU_REMAIN_TIME,大略的剩餘拍攝時間
CAMMENU_SATURATION_DOWN_GUIDE,以較低的色彩飽和度
CAMMENU_SATURATION_DOWN_GUIDE_2,拍攝影像
CAMMENU_SATURATION_NORMAL_GUIDE,將色彩飽和度
CAMMENU_SATURATION_NORMAL_GUIDE_2,設定為一般
CAMMENU_SATURATION_UP_GUIDE,以較高的色彩飽和度
CAMMENU_SATURATION_UP_GUIDE_2,拍攝影像
CAMMENU_SELFTIMER,自拍定時器
CAMMENU_SELFTIMER_10SEC,自拍定時器10秒
CAMMENU_SELFTIMER_2SEC,自拍定時器2秒
CAMMENU_SELFTIMER_OFF,自拍定時器關閉
CAMMENU_SETUP,設置
CAMMENU_SETUP_CHANGE_GUIDE,前往拍攝設定
CAMMENU_SETUP_CHANGE_GUIDE_2,顯示畫面
CAMMENU_SHOOTING,拍攝
CAMMENU_SIZE_10MEG,10M
CAMMENU_SIZE_12M_GUIDE,用於列印A3＋相片
CAMMENU_SIZE_12M_GUIDE_2,
CAMMENU_SIZE_16_9,16:9
CAMMENU_SIZE_16_9_2MEG_GUIDE,用於在HDTV上觀看
CAMMENU_SIZE_16_9_2MEG_GUIDE_2,
CAMMENU_SIZE_16_9_A3_GUIDE,用於在HDTV上觀看和
CAMMENU_SIZE_16_9_A3_GUIDE_2,列印A3相片
CAMMENU_SIZE_16_9_A4_GUIDE,用於在HDTV上觀看和
CAMMENU_SIZE_16_9_A4_GUIDE_2,列印A4相片
CAMMENU_SIZE_16_9_GUIDE,以HDTV的長寬比拍攝
CAMMENU_SIZE_16_9_GUIDE_2,
CAMMENU_SIZE_320,320
CAMMENU_SIZE_320_GUIDE,拍攝用於電子郵件
CAMMENU_SIZE_320_GUIDE_2,附件的小尺寸影像
CAMMENU_SIZE_3MEG,3M
CAMMENU_SIZE_3M_GUIDE,用於列印10x15公分或
CAMMENU_SIZE_3M_GUIDE_2,13x18公分的相片
CAMMENU_SIZE_3_2_8MEG,3:2(8M)
CAMMENU_SIZE_3_2_GUIDE,用於列印長寬比為3:2的相片
CAMMENU_SIZE_3_2_GUIDE_2,
CAMMENU_SIZE_4_3,4:3
CAMMENU_SIZE_5MEG,5M
CAMMENU_SIZE_5M_GUIDE,用於列印A4相片
CAMMENU_SIZE_5M_GUIDE_2,
CAMMENU_SIZE_640FINE,640(精細)
CAMMENU_SIZE_640FINE_GUIDE,拍攝高品質動態影像
CAMMENU_SIZE_640FINE_GUIDE_2,在電視上顯示
CAMMENU_SIZE_640STD,640(標準)
CAMMENU_SIZE_640STD_GUIDE,拍攝標準品質動態影像
CAMMENU_SIZE_640STD_GUIDE_2,在電視上顯示
CAMMENU_SIZE_8M_GUIDE,用於列印A3相片
CAMMENU_SIZE_8M_GUIDE_2,
CAMMENU_SIZE_HD_2MEG,16:9(2M)
CAMMENU_SIZE_HD_7MEG,16:9(7M)
CAMMENU_SIZE_HD_VGA,16:9(VGA)
CAMMENU_SIZE_VGA,VGA
CAMMENU_SIZE_VGA_GUIDE,以小尺寸拍攝用於電子
CAMMENU_SIZE_VGA_GUIDE_2,郵件附件的影像
CAMMENU_SMILE,微笑偵測
CAMMENU_SMILESHUTTER_HIGH_GUIDE,以高感度的微笑偵測拍攝
CAMMENU_SMILESHUTTER_HIGH_GUIDE_2,
CAMMENU_SMILESHUTTER_LOW_GUIDE,以低感度的微笑偵測拍攝
CAMMENU_SMILESHUTTER_LOW_GUIDE_2,
CAMMENU_SMILESHUTTER_NORMAL_GUIDE,以標準感度的微笑偵測拍攝
CAMMENU_SMILESHUTTER_NORMAL_GUIDE_2,
CAMMENU_SMILE_DETECTION,微笑偵測靈敏度
CAMMENU_SPOT,定點測光
CAMMENU_SPOTAF,定點AF
CAMMENU_STEADYSHOT,SteadyShot
CAMMENU_STEADYSHOT_CONT_GUIDE,SteadyShot永遠啟用
CAMMENU_STEADYSHOT_CONT_GUIDE_2,
CAMMENU_STEADYSHOT_OFF_GUIDE,SteadyShot關閉
CAMMENU_STEADYSHOT_OFF_GUIDE_2,
CAMMENU_STEADYSHOT_SHOOT_GUIDE,半按下快門按鈕時啟用
CAMMENU_STEADYSHOT_SHOOT_GUIDE_2,SteadyShot
CAMMENU_TOUCH,觸摸時
CAMMENU_WATERWB,水底白平衡
CAMMENU_WATERWB_AUTO_GUIDE,自動調整白平衡
CAMMENU_WATERWB_AUTO_GUIDE_2,以便在水底拍攝
CAMMENU_WATERWB_FLASH_GUIDE,用於在水底以閃光燈拍攝時
CAMMENU_WATERWB_FLASH_GUIDE_2,
CAMMENU_WATERWB_WATER1,水底1
CAMMENU_WATERWB_WATER1_GUIDE,用於在藍色的水中拍攝時
CAMMENU_WATERWB_WATER1_GUIDE_2,
CAMMENU_WATERWB_WATER2,水底2
CAMMENU_WATERWB_WATER2_GUIDE,用於在綠色的水中拍攝時
CAMMENU_WATERWB_WATER2_GUIDE_2,
CAMMENU_WB2,白平衡
CAMMENU_WB_AUTO_GUIDE,自動調整為自然色彩
CAMMENU_WB_AUTO_GUIDE_2,
CAMMENU_WB_CLOUDY,多雲
CAMMENU_WB_CLOUDY_GUIDE,用於陰天或陰暗處
CAMMENU_WB_CLOUDY_GUIDE_2,
CAMMENU_WB_DAYLIGHT,日光
CAMMENU_WB_DAYLIGHT_GUIDE,用於陽光普照的室外場景或
CAMMENU_WB_DAYLIGHT_GUIDE_2,夜景
CAMMENU_WB_FLASH,閃光燈
CAMMENU_WB_FLASH_GUIDE,用於以閃光燈拍攝時
CAMMENU_WB_FLASH_GUIDE_2,
CAMMENU_WB_FLUORESCENT1,螢光照明1
CAMMENU_WB_FLUORESCENT1_GUIDE,用於白色的螢光燈下
CAMMENU_WB_FLUORESCENT1_GUIDE_2,
CAMMENU_WB_FLUORESCENT2,螢光照明2
CAMMENU_WB_FLUORESCENT2_GUIDE,用於自然白色的螢光燈下
CAMMENU_WB_FLUORESCENT2_GUIDE_2,
CAMMENU_WB_FLUORESCENT3,螢光照明3
CAMMENU_WB_FLUORESCENT3_GUIDE,用於日光白色的螢光燈下
CAMMENU_WB_FLUORESCENT3_GUIDE_2,
CAMMENU_WB_INCANDESCENT,白熾燈
CAMMENU_WB_INCANDESCENT_GUIDE,用於白熾燈或攝影燈下
CAMMENU_WB_INCANDESCENT_GUIDE_2,
CAMMODE_AUTO,自動調整
CAMMODE_AUTO_GUIDE,用於以自動設定拍攝
CAMMODE_AUTO_GUIDE_2,
CAMMODE_BEACH,海邊
CAMMODE_BEACH_GUIDE,以鮮明的藍色拍攝水邊
CAMMODE_BEACH_GUIDE_2,場景
CAMMODE_COOKING,美食
CAMMODE_COOKING_GUIDE,拍攝令人垂涎的食物
CAMMODE_COOKING_GUIDE_2,
CAMMODE_EASY,輕鬆拍攝
CAMMODE_EASY_GUIDE,以簡化的顯示
CAMMODE_EASY_GUIDE_2,全自動拍攝
CAMMODE_FIREWORKS,煙火
CAMMODE_FIREWORKS_GUIDE,拍攝璀璨的煙火
CAMMODE_FIREWORKS_GUIDE_2,
CAMMODE_HIGHSENSITIVITY,高感光度
CAMMODE_HIGHSENSITIVITY_GUIDE,低亮度時不用閃光燈拍攝
CAMMODE_HIGHSENSITIVITY_GUIDE_2,也可以減少模糊現象
CAMMODE_HIGHSPEEDSHUTTER,高速快門
CAMMODE_HIGHSPEEDSHUTTER_GUIDE,拍攝移動的被攝體
CAMMODE_HIGHSPEEDSHUTTER_GUIDE_2,以凍結其動作
CAMMODE_LANDSCAPE,風景
CAMMODE_LANDSCAPE_GUIDE,以遙遠的焦點拍攝風景
CAMMODE_LANDSCAPE_GUIDE_2,
CAMMODE_MOVIE,動態影像模式
CAMMODE_MOVIE_GUIDE,拍攝有聲音的動態影像
CAMMODE_MOVIE_GUIDE_2,
CAMMODE_PAUTO,程式自動
CAMMODE_PAUTO_GUIDE,可調整設定的自動曝光
CAMMODE_PAUTO_GUIDE_2,
CAMMODE_SNOW,雪地
CAMMODE_SNOW_GUIDE,明亮地拍攝白色場景
CAMMODE_SNOW_GUIDE_2,
CAMMODE_SOFTSNAP,柔焦快拍
CAMMODE_SOFTSNAP_GUIDE,以柔和的背景拍攝被攝體
CAMMODE_SOFTSNAP_GUIDE_2,
CAMMODE_TWILIGHT,夜景
CAMMODE_TWILIGHTPORTRAIT,夜景肖像
CAMMODE_TWILIGHTPORTRAIT_GUIDE,用閃光燈在昏暗的地方
CAMMODE_TWILIGHTPORTRAIT_GUIDE_2,拍攝肖像
CAMMODE_TWILIGHTTRIPOD_GUIDE,用三腳架拍攝
CAMMODE_TWILIGHTTRIPOD_GUIDE_2,低亮度的場景
CAMMODE_WATER,水底
CAMMODE_WATER_GUIDE,用防水盒在水底以
CAMMODE_WATER_GUIDE_2,自然的色彩拍攝
CLOCKMENU_APR,APR
CLOCKMENU_AUG,AUG
CLOCKMENU_DEC,DEC
CLOCKMENU_DMY,日-月-年
