[dut.csv]
ID_STR_O_BR_BUTTON_BROWSER_INFORMATION,"Webbrowserinformatie"
ID_STR_O_BR_BUTTON_CACERT,"CA-certificaat"
ID_STR_O_BR_BUTTON_CACHE,"Cache"
ID_STR_O_BR_BUTTON_CACHE_ALL_DELETE,"Hele cache wissen"
ID_STR_O_BR_BUTTON_CHARSET,"Tekencodering"
ID_STR_O_BR_BUTTON_CHARSET_BIG5,"Traditioneel Ch. (Big5)"
ID_STR_O_BR_BUTTON_CHARSET_EUC_JP,"Japans (EUC-JP)"
ID_STR_O_BR_BUTTON_CHARSET_EUC_KR,"Koreaans (EUC-KR)"
ID_STR_O_BR_BUTTON_CHARSET_GB18030,"Vereenv. Ch. (GB18030)"
ID_STR_O_BR_BUTTON_CHARSET_ISO2022JP,"Japans (ISO-2002-JP)"
ID_STR_O_BR_BUTTON_CHARSET_ISO_8859_1,"Westers (ISO-8859-1)"
ID_STR_O_BR_BUTTON_CHARSET_SJIS,"Japans (Shift-JIS)"
ID_STR_O_BR_BUTTON_CHARSET_UTF8,"Unicode (UTF-8)"
ID_STR_O_BR_BUTTON_COOKIE,"Cookie"
ID_STR_O_BR_BUTTON_COOKIE_ALL_DELETE,"Alle cookies wissen"
ID_STR_O_BR_BUTTON_DETAILE_INFORMATION,"Gedetail. displayinstel."
ID_STR_O_BR_BUTTON_DOWN,"Omlaag"
ID_STR_O_BR_BUTTON_HOMEPAGE,"Startpagina"
ID_STR_O_BR_BUTTON_HTTPS_PORT,"HTTPS-poort"
ID_STR_O_BR_BUTTON_HTTP_PORT,"HTTP-poort"
ID_STR_O_BR_BUTTON_JUSTFIT,"Just-Fit Rendering"
ID_STR_O_BR_BUTTON_LARGE,"Groot"
ID_STR_O_BR_BUTTON_LARGEST,"Grootste tekstgrootte"
ID_STR_O_BR_BUTTON_LAYOUTMODE,"Weergavefunctie-instel."
ID_STR_O_BR_BUTTON_MIDDLE,"Normaal"
ID_STR_O_BR_BUTTON_NORMAL,"Normaal"
ID_STR_O_BR_BUTTON_OFFLINE,"Offline"
ID_STR_O_BR_BUTTON_PROXY_DEPEND_ON_NWSETTING,"Gebruik verbindingsinst."
ID_STR_O_BR_BUTTON_PROXY_SERVER,"Proxyserver"
ID_STR_O_BR_BUTTON_PROXY_SETTING,"Proxy"
ID_STR_O_BR_BUTTON_ROOTCERT,"Root-certificaat"
ID_STR_O_BR_BUTTON_SECURUTY,"Beveiliging"
ID_STR_O_BR_BUTTON_SMALL,"Klein"
ID_STR_O_BR_BUTTON_SMALLEST,"Kleinste tekstgrootte"
ID_STR_O_BR_BUTTON_SMARTFIT,"Smart-Fit Rendering"
ID_STR_O_BR_BUTTON_TEXTSIZE,"Tekstgrootte"
ID_STR_O_BR_BUTTON_TOP,"Omhoog"
ID_STR_O_BR_GUIDE_BROWSER_INFORMATION,"Webbrowserinformatie weergeven"
ID_STR_O_BR_GUIDE_BUTTON_OK,"OK"
ID_STR_O_BR_GUIDE_CACHE,"Cache-instellingen veranderen"
ID_STR_O_BR_GUIDE_CHARSET,"Tekencodering selecteren"
ID_STR_O_BR_GUIDE_COOKIE,"Cookies instellen"
ID_STR_O_BR_GUIDE_DETAILE_INFORMATION,"Gedetailleerde weergave-instellingen maken"
ID_STR_O_BR_GUIDE_HOMEPAGE,"Startpagina-instellingen maken"
ID_STR_O_BR_GUIDE_LAYOUTMODE,"Weergavefunctie veranderen"
ID_STR_O_BR_GUIDE_PROXY_SETTING,"Proxy instellen"
ID_STR_O_BR_GUIDE_SECURUTY,"Beveiligingsinstellingen maken"
ID_STR_O_BR_GUIDE_TEXTSIZE,"Tekstgrootte instellen"
ID_STR_O_BR_MENU_CERTINVALIDATE,"Uitschakelen"
ID_STR_O_BR_MENU_CERTVALIDATE,"Inschakelen"
ID_STR_O_BR_MENU_CLOSE_TAB,"Tabblad sluiten"
ID_STR_O_BR_MENU_NEW_TAB,"In nieuw tabblad openen"
ID_STR_O_BR_MENU_OPEN_TO_NEW_TAB,"Pag. in nw. tabblad openen"
ID_STR_O_BR_MENU_TITLE_VIEW,"Titelweergave"
ID_STR_O_BR_MENU_URL_VIEW,"Adresweergave"
ID_STR_O_BR_SELECT_TAB,"Dit tabblad openen"
ID_STR_O_BR_TEXT_ALL_DELEATE,"Alles wissen"
ID_STR_O_BR_TEXT_ANIMETION,"Animatie"
ID_STR_O_BR_TEXT_AUTHENTICATION_KEEP_DATA,"ID/wachtwoord opslaan"
ID_STR_O_BR_TEXT_AUTHENTICATION_PASSWORD,"Wachtwoord"
ID_STR_O_BR_TEXT_AUTHENTICATION_USERID,"ID"
ID_STR_O_BR_TEXT_BOOKMARK_ADD,"Deze pagina aan bladwijzers toevoegen"
ID_STR_O_BR_TEXT_BOOKMARK_ADDR_OR_TITLE,"Kan niet aan bladwijzers toevoegen\n\nDe titel of het adres is verkeerd"
ID_STR_O_BR_TEXT_BOOKMARK_ALREADY_REGISTERED,"Kan niet aan bladwijzers toevoegen\n\nHetzelfde adres bestaat reeds"
ID_STR_O_BR_TEXT_BOOKMARK_DEFAULT_TITLE,"Geen titel"
ID_STR_O_BR_TEXT_BOOKMARK_EDIT,"Bladwijzer bewerken"
ID_STR_O_BR_TEXT_BOOKMARK_GENERIC_ERROR,"Kan niet aan bladwijzers toevoegen\n\nEen onbekende fout is opgetreden"
ID_STR_O_BR_TEXT_BOOKMARK_NOT_REGISTERED,"Geen bladwijzers toegevoegd"
ID_STR_O_BR_TEXT_BOOKMARK_TOO_LONG_TITLE,"De titel is te lang\n\nAlleen de gespecificeerde lengte wordt\nopgeslagen"
ID_STR_O_BR_TEXT_BOOKMARK_TOO_LONG_URL,"Kan niet aan bladwijzers toevoegen\n\nHet adres is te lang"
ID_STR_O_BR_TEXT_BROWSERERROR_BADURL,"Het adres is ongeldig\n\nControleer het adres dat u hebt\ningevoerd"
ID_STR_O_BR_TEXT_BROWSERERROR_MIXEDSECURETYPE,"Beveiligde en onbeveiligde pagina's\nkomen naast elkaar voor"
ID_STR_O_BR_TEXT_BROWSERERROR_TOTAL_SIZEOVER,"De pagina is te groot\n\nDe pagina wordt mogelijk niet goed\nweergegeven"
ID_STR_O_BR_TEXT_CERTIFICATEINFO_ISSUER,"Uitgever"
ID_STR_O_BR_TEXT_CERTIFICATEINFO_RDN_C,"Naam van het land (C)"
ID_STR_O_BR_TEXT_CERTIFICATEINFO_RDN_CN,"Naam in dagelijks gebruik (CN)"
ID_STR_O_BR_TEXT_CERTIFICATEINFO_RDN_O,"Naam van organisatie (O)"
ID_STR_O_BR_TEXT_CERTIFICATEINFO_RDN_OU,"Naam van organisatie-eenheid (OU)"
ID_STR_O_BR_TEXT_CERTIFICATEINFO_SERIAL_NUMBER,"Serienummer"
ID_STR_O_BR_TEXT_CERTIFICATEINFO_SUBJECT,"Uitgegeven aan"
ID_STR_O_BR_TEXT_CERTIFICATEINFO_VALIDITY_END,"Vervaldatum"
ID_STR_O_BR_TEXT_CHANGE_HOMEPAGE,"Nieuwe startpagina"
ID_STR_O_BR_TEXT_CONTENTERROR_AUTH_FORMAT,"Kan de pagina niet weergeven\n\nServer-authenticatie is mislukt"
ID_STR_O_BR_TEXT_CONTENTERROR_AUTH_NOHEADER,"Kan de pagina niet weergeven\n\nServer-authenticatie is mislukt"
ID_STR_O_BR_TEXT_CONTENTERROR_AUTH_UNKNOWN,"Kan de pagina niet weergeven\n\nServer-authenticatie is mislukt"
ID_STR_O_BR_TEXT_CONTENTERROR_BADMIMETYPE,"Een onbekende fout is opgetreden\n\nDeze pagina wordt niet ondersteund"
ID_STR_O_BR_TEXT_CONTENTERROR_DNS_INVAL,"DNS is ongeldig\n\nControleer de instellingen van de\nnetwerkverbinding"
ID_STR_O_BR_TEXT_CONTENTERROR_DNS_NOSERVER,"Geen DNS-instelling\n\nControleer de instellingen van de\nnetwerkverbinding"
ID_STR_O_BR_TEXT_CONTENTERROR_DNS_NOTFOUND,"Geen DNS-server\n\nControleer de instellingen van de\nnetwerkverbinding"
ID_STR_O_BR_TEXT_CONTENTERROR_DNS_TIMEOUT,"DNS-timeout\n\nControleer de instellingen van de\nnetwerkverbinding"
ID_STR_O_BR_TEXT_CONTENTERROR_FILE_OPEN,"Kan dit bestand niet openen"
ID_STR_O_BR_TEXT_CONTENTERROR_FILE_READ,"Kan dit bestand niet openen"
ID_STR_O_BR_TEXT_CONTENTERROR_GENERIC,"Een onbekende fout is opgetreden"
ID_STR_O_BR_TEXT_CONTENTERROR_NO_CONTENT,"Kan de pagina niet weergeven\n\nControleer de netwerkverbinding en het\nadres"
ID_STR_O_BR_TEXT_CONTENTERROR_REDIRECT_CANCELED,"Lezen van het bestand is geannuleerd"
ID_STR_O_BR_TEXT_CONTENTERROR_REDIRECT_FORMAT,"Kan de pagina niet weergeven\n\nDoorverwijzingsfout"
ID_STR_O_BR_TEXT_CONTENTERROR_REQ_BODY_SIZEOVER,"Kan de pagina niet weergeven\n\nDe te zenden data is te groot"
ID_STR_O_BR_TEXT_CONTENTERROR_REQ_HEADER_SIZEOVER,"Kan de pagina niet weergeven\n\nDe te zenden data is te groot"
ID_STR_O_BR_TEXT_CONTENTERROR_REQ_TIMEOUT,"Verbinding met server duurde te lang\n\nProbeer het later opnieuw"
ID_STR_O_BR_TEXT_CONTENTERROR_REQ_TOOMANYCONTINUE,"Kan de pagina niet weergeven\n\nMogelijk probleem met de server indien\nandere pagina's wel goed weergegeven"
ID_STR_O_BR_TEXT_CONTENTERROR_RSP_HEADER_SIZEOVER,"Kan de pagina niet weergeven\n\nDe te ontvangen data is te groot"
ID_STR_O_BR_TEXT_CONTENTERROR_RSP_TIMEOUT,"Verbinding met server duurde te lang\n\nProbeer het later opnieuw"
ID_STR_O_BR_TEXT_CONTENTERROR_SIZEOVER,"Kan de pagina niet weergeven\n\nDe pagina is te groot"
ID_STR_O_BR_TEXT_CONTENTERROR_SSL_CONNECT,"SSL-verbindingsfout\n\nControleer de instellingen van de\nnetwerkverbinding"
ID_STR_O_BR_TEXT_CONTENTERROR_SSL_HANDSHAKE,"SSL-handshakefout\n\nControleer de instellingen van de\nnetwerkverbinding"
ID_STR_O_BR_TEXT_CONTENTERROR_SSL_READ,"SSL-leesfout\n\nControleer de instellingen van de\nnetwerkverbinding"
ID_STR_O_BR_TEXT_CONTENTERROR_SSL_WRITE,"SSL-schrijffout\n\nControleer de instellingen van de\nnetwerkverbinding"
ID_STR_O_BR_TEXT_CONTENTERROR_TCP_CONNECT,"TCP-verbindingsfout\n\nControleer de instellingen van de\nnetwerkverbinding"
ID_STR_O_BR_TEXT_CONTENTERROR_TCP_OPEN,"TCP-openingsfout\n\nControleer de instellingen van de\nnetwerkverbinding"
ID_STR_O_BR_TEXT_CONTENTERROR_TCP_READ,"TCP-leesfout\n\nControleer de instellingen van de\nnetwerkverbinding"
ID_STR_O_BR_TEXT_CONTENTERROR_TCP_WRITE,"TCP-schrijffout\n\nControleer de instellingen van de\nnetwerkverbinding"
ID_STR_O_BR_TEXT_CONTENTERROR_TLS_INTOLERANT,"Kan de pagina niet weergeven\n\nServer-authenticatie is mislukt"
ID_STR_O_BR_TEXT_CONTENTERROR_TOOMANYAUTH,"Kan de pagina niet weergeven\n\nServer-authenticatie is mislukt"
ID_STR_O_BR_TEXT_CONTENTERROR_TOOMANYREDIRECT,"Kan de pagina niet weergeven\n\nTe hoog aantal doorverwijzingen"
